history:GTC_Multisite_Inwi/AGA-MCO T°c Exterieur

Timestamp,Trend Flags,Status,Value (°C)
15-May-25 1:00:01 PM WEST,{start},{ok},22.3
15-May-25 1:15:01 PM WEST,{ },{ok},22.5
15-May-25 1:30:02 PM WEST,{ },{ok},22.9
15-May-25 1:45:02 PM WEST,{ },{ok},22.9
15-May-25 2:00:01 PM WEST,{ },{ok},23.3
15-May-25 2:15:02 PM WEST,{ },{ok},23.3
15-May-25 2:30:02 PM WEST,{ },{ok},23.1
15-May-25 2:45:02 PM WEST,{ },{ok},22.9
15-May-25 3:00:01 PM WEST,{ },{ok},22.8
15-May-25 3:15:01 PM WEST,{ },{ok},22.3
15-May-25 3:30:02 PM WEST,{ },{ok},22.1
15-May-25 3:45:02 PM WEST,{ },{ok},21.9
15-May-25 4:00:03 PM WEST,{ },{ok},22.1
15-May-25 4:15:02 PM WEST,{ },{ok},22.2
15-May-25 4:30:02 PM WEST,{ },{ok},22.8
15-May-25 4:45:01 PM WEST,{ },{ok},23.1
15-May-25 5:00:01 PM WEST,{ },{ok},22.8
15-May-25 5:15:03 PM WEST,{ },{ok},22.7
15-May-25 5:30:01 PM WEST,{ },{ok},22.6
15-May-25 5:45:02 PM WEST,{ },{ok},22.4
15-May-25 6:00:01 PM WEST,{ },{ok},22.6
15-May-25 6:15:02 PM WEST,{ },{ok},22.5
15-May-25 6:30:01 PM WEST,{ },{ok},22.4
15-May-25 6:45:01 PM WEST,{ },{ok},22.4
15-May-25 7:00:02 PM WEST,{ },{ok},22.1
15-May-25 7:15:02 PM WEST,{ },{ok},22.2
15-May-25 7:30:02 PM WEST,{ },{ok},22.3
15-May-25 7:45:01 PM WEST,{ },{ok},22.5
15-May-25 8:00:02 PM WEST,{ },{ok},22.7
15-May-25 8:15:02 PM WEST,{ },{ok},21.8
15-May-25 8:30:01 PM WEST,{ },{ok},21.4
15-May-25 8:45:01 PM WEST,{ },{ok},21.1
15-May-25 9:00:01 PM WEST,{ },{ok},21.0
15-May-25 9:15:01 PM WEST,{ },{ok},20.9
15-May-25 9:30:01 PM WEST,{ },{ok},20.9
15-May-25 9:45:02 PM WEST,{ },{ok},20.7
15-May-25 10:00:03 PM WEST,{ },{ok},20.5
15-May-25 10:15:02 PM WEST,{ },{ok},20.5
15-May-25 10:30:02 PM WEST,{ },{ok},20.5
15-May-25 10:45:02 PM WEST,{ },{ok},20.6
15-May-25 11:00:02 PM WEST,{ },{ok},20.7
15-May-25 11:15:02 PM WEST,{ },{ok},20.6
15-May-25 11:30:02 PM WEST,{ },{ok},20.7
15-May-25 11:45:02 PM WEST,{ },{ok},20.8
16-May-25 12:00:02 AM WEST,{ },{ok},20.8
