history:GTC_Multisite_Inwi/AGA-ONE2 Contact PORTE

Timestamp,Trend Flags,Status,Value
12-May-25 5:17:19 PM WEST,{start},{ok},Fermé
14-May-25 8:02:45 PM WEST,{ },{ok},Ouvert
14-May-25 10:54:25 PM WEST,{ },{ok},Fermé
15-May-25 11:19:54 AM WEST,{ },{ok},Ouvert
15-May-25 11:26:44 AM WEST,{ },{ok},Fermé
15-May-25 1:49:05 PM WEST,{ },{ok},Ouvert
15-May-25 1:49:44 PM WEST,{ },{ok},Fermé
15-May-25 2:41:24 PM WEST,{ },{ok},Ouvert
15-May-25 2:44:14 PM WEST,{ },{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
20-May-25 3:16:53 PM WEST,{ },{ok},Ouvert
20-May-25 3:20:53 PM WEST,{ },{ok},Fermé
20-May-25 3:55:53 PM WEST,{ },{ok},Ouvert
20-May-25 3:56:03 PM WEST,{ },{ok},Fermé
20-May-25 4:33:13 PM WEST,{ },{ok},Ouvert
20-May-25 4:33:23 PM WEST,{ },{ok},Fermé
20-May-25 5:01:55 PM WEST,{ },{ok},Ouvert
20-May-25 5:02:25 PM WEST,{ },{ok},Fermé
20-May-25 6:39:25 PM WEST,{ },{ok},Ouvert
20-May-25 6:39:54 PM WEST,{ },{ok},Fermé
21-May-25 11:47:34 AM WEST,{ },{ok},Ouvert
21-May-25 11:48:14 AM WEST,{ },{ok},Fermé
21-May-25 11:49:14 AM WEST,{ },{ok},Ouvert
21-May-25 11:49:25 AM WEST,{ },{ok},Fermé
21-May-25 12:55:24 PM WEST,{ },{ok},Ouvert
21-May-25 12:55:34 PM WEST,{ },{ok},Fermé
21-May-25 2:04:14 PM WEST,{ },{ok},Ouvert
21-May-25 2:09:20 PM WEST,{ },{down},Ouvert
21-May-25 2:40:55 PM WEST,{ },{ok},Ouvert
21-May-25 2:45:33 PM WEST,{ },{ok},Fermé
24-May-25 11:12:32 AM WEST,{ },{ok},Ouvert
24-May-25 11:19:12 AM WEST,{ },{ok},Fermé
04-Jun-25 6:12:07 PM WEST,{ },{ok},Ouvert
04-Jun-25 6:17:27 PM WEST,{ },{ok},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{ok},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{ok},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{ok},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{ok},Fermé
19-Jun-25 1:01:54 PM WEST,{ },{down},Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:10 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:11 AM WEST,{ },{ok},Fermé
25-Jun-25 9:31:43 AM WEST,{start},{ok},Fermé
25-Jun-25 2:13:37 PM WEST,{ },{ok},Ouvert
25-Jun-25 3:29:08 PM WEST,{ },{ok},Fermé
27-Jun-25 1:02:54 AM WEST,{ },{ok},Ouvert
27-Jun-25 1:20:44 AM WEST,{ },{ok},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{ok},Fermé
09-Jul-25 3:49:23 PM WEST,{start},{ok},Fermé
09-Jul-25 5:30:36 PM WEST,{start},{ok},Fermé
16-Jul-25 8:39:41 AM WEST,{ },{ok},Ouvert
16-Jul-25 8:39:50 AM WEST,{ },{ok},Fermé
16-Jul-25 9:01:51 AM WEST,{ },{ok},Ouvert
16-Jul-25 9:52:41 AM WEST,{ },{ok},Fermé
16-Jul-25 9:52:51 AM WEST,{ },{ok},Ouvert
16-Jul-25 10:18:50 AM WEST,{ },{ok},Fermé
16-Jul-25 11:58:41 AM WEST,{start},{ok},Fermé
16-Jul-25 12:09:59 PM WEST,{ },{ok},Ouvert
16-Jul-25 12:10:50 PM WEST,{ },{ok},Fermé
16-Jul-25 12:34:59 PM WEST,{ },{ok},Ouvert
16-Jul-25 12:35:10 PM WEST,{ },{ok},Fermé
16-Jul-25 2:20:45 PM WEST,{start},{ok},Fermé
16-Jul-25 4:37:36 PM WEST,{ },{ok},Ouvert
16-Jul-25 4:45:06 PM WEST,{ },{ok},Fermé
16-Jul-25 4:49:26 PM WEST,{ },{ok},Ouvert
16-Jul-25 6:22:05 PM WEST,{ },{ok},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{ok},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{ok},Fermé
31-Jul-25 9:04:57 AM WEST,{ },{ok},Ouvert
31-Jul-25 9:05:06 AM WEST,{ },{ok},Fermé
31-Jul-25 9:28:46 AM WEST,{ },{ok},Ouvert
31-Jul-25 9:28:56 AM WEST,{ },{ok},Fermé
31-Jul-25 10:12:26 AM WEST,{ },{ok},Ouvert
31-Jul-25 10:13:36 AM WEST,{ },{ok},Fermé
31-Jul-25 11:09:25 AM WEST,{ },{ok},Ouvert
31-Jul-25 11:09:35 AM WEST,{ },{ok},Fermé
31-Jul-25 4:45:52 PM WEST,{ },{ok},Ouvert
31-Jul-25 4:46:32 PM WEST,{ },{ok},Fermé
31-Jul-25 4:54:22 PM WEST,{ },{ok},Ouvert
31-Jul-25 4:54:32 PM WEST,{ },{ok},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{ok},Fermé
11-Aug-25 9:13:24 PM WEST,{ },{ok},Ouvert
11-Aug-25 9:30:43 PM WEST,{ },{ok},Fermé
11-Aug-25 9:51:53 PM WEST,{ },{ok},Ouvert
11-Aug-25 10:21:23 PM WEST,{ },{ok},Fermé
11-Aug-25 10:21:34 PM WEST,{ },{ok},Ouvert
11-Aug-25 10:59:33 PM WEST,{ },{ok},Fermé
11-Aug-25 11:06:23 PM WEST,{ },{ok},Ouvert
11-Aug-25 11:06:33 PM WEST,{ },{ok},Fermé
11-Aug-25 11:17:33 PM WEST,{ },{ok},Ouvert
11-Aug-25 11:19:52 PM WEST,{ },{ok},Fermé
11-Aug-25 11:53:13 PM WEST,{ },{ok},Ouvert
11-Aug-25 11:53:53 PM WEST,{ },{ok},Fermé
11-Aug-25 11:56:02 PM WEST,{ },{ok},Ouvert
11-Aug-25 11:57:32 PM WEST,{ },{ok},Fermé
25-Aug-25 9:34:01 AM WEST,{start},{ok},Fermé
25-Aug-25 10:05:47 AM WEST,{ },{ok},Ouvert
25-Aug-25 10:18:07 AM WEST,{ },{ok},Fermé
25-Aug-25 10:18:27 AM WEST,{ },{ok},Ouvert
25-Aug-25 10:50:26 AM WEST,{ },{ok},Fermé
25-Aug-25 10:52:16 AM WEST,{ },{ok},Ouvert
25-Aug-25 10:56:17 AM WEST,{ },{ok},Fermé
25-Aug-25 11:28:27 AM WEST,{start},{ok},Ouvert
25-Aug-25 11:28:44 AM WEST,{ },{ok},Fermé
27-Aug-25 9:02:32 AM WEST,{start},{ok},Fermé
28-Aug-25 10:31:55 AM WEST,{start},{ok},Fermé
01-Sep-25 5:27:03 PM WEST,{start},{ok},Fermé
02-Sep-25 9:07:22 AM WEST,{start},{ok},Fermé
11-Sep-25 10:04:30 AM WEST,{ },{ok},Ouvert
11-Sep-25 2:57:19 PM WEST,{ },{ok},Fermé
11-Sep-25 2:57:39 PM WEST,{ },{ok},Ouvert
11-Sep-25 2:58:08 PM WEST,{ },{ok},Fermé
11-Sep-25 4:05:49 PM WEST,{ },{ok},Ouvert
11-Sep-25 5:36:49 PM WEST,{ },{ok},Fermé
12-Sep-25 9:38:55 AM WEST,{ },{ok},Ouvert
12-Sep-25 1:31:33 PM WEST,{ },{ok},Fermé
12-Sep-25 3:22:44 PM WEST,{ },{ok},Ouvert
