history:GTC_Multisite_Inwi/Etat de la Porte GLM-ONE

Timestamp,Trend Flags,Status,Value
14-May-25 11:29:36 AM WEST,{start},{ok},Fermé
18-May-25 11:13:00 PM WEST,{ },{ok},Ouvert
18-May-25 11:15:01 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-May-25 11:19:09 PM WEST,{ },{unackedAlarm},Fermé
18-May-25 11:19:30 PM WEST,{ },{unackedAlarm},Ouvert
18-May-25 11:19:50 PM WEST,{ },{unackedAlarm},Fermé
19-May-25 12:21:25 PM WEST,{ },{unackedAlarm},Ouvert
19-May-25 12:23:25 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
19-May-25 12:33:45 PM WEST,{ },{unackedAlarm},Fermé
20-May-25 9:01:32 AM WEST,{start},{unackedAlarm},Fermé
20-May-25 4:15:01 PM WEST,{ },{unackedAlarm},Ouvert
20-May-25 4:17:01 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-May-25 4:31:17 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
20-May-25 6:50:23 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-May-25 7:45:43 PM WEST,{ },{unackedAlarm},Fermé
04-Jun-25 4:02:06 PM WEST,{ },{unackedAlarm},Ouvert
04-Jun-25 4:04:06 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Jun-25 4:04:24 PM WEST,{ },{unackedAlarm},Fermé
04-Jun-25 4:04:34 PM WEST,{ },{unackedAlarm},Ouvert
04-Jun-25 4:06:35 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Jun-25 4:07:03 PM WEST,{ },{unackedAlarm},Fermé
04-Jun-25 4:46:19 PM WEST,{ },{unackedAlarm},Ouvert
04-Jun-25 4:46:24 PM WEST,{ },{unackedAlarm},Fermé
04-Jun-25 5:01:31 PM WEST,{ },{unackedAlarm},Ouvert
04-Jun-25 5:02:20 PM WEST,{ },{unackedAlarm},Fermé
04-Jun-25 5:02:23 PM WEST,{ },{unackedAlarm},Ouvert
04-Jun-25 5:03:16 PM WEST,{ },{unackedAlarm},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{unackedAlarm},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{unackedAlarm},Fermé
19-Jun-25 1:01:54 PM WEST,{ },"{down,unackedAlarm}",Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:10 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:10 AM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 9:31:42 AM WEST,{start},{unackedAlarm},Fermé
25-Jun-25 10:43:20 AM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 10:44:57 AM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 11:46:44 AM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 11:48:44 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Jun-25 12:12:08 PM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 12:42:30 PM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 12:44:30 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Jun-25 12:50:37 PM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 1:05:30 PM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 1:06:51 PM WEST,{ },{unackedAlarm},Fermé
25-Jun-25 1:06:55 PM WEST,{ },{unackedAlarm},Ouvert
25-Jun-25 1:06:56 PM WEST,{ },{unackedAlarm},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{unackedAlarm},Fermé
08-Jul-25 12:01:13 AM WEST,{ },{unackedAlarm},Ouvert
08-Jul-25 12:01:19 AM WEST,{ },{unackedAlarm},Fermé
08-Jul-25 12:03:03 AM WEST,{ },"{down,unackedAlarm}",Fermé
08-Jul-25 12:08:07 AM WEST,{ },{unackedAlarm},Fermé
08-Jul-25 12:17:54 AM WEST,{ },{unackedAlarm},Ouvert
08-Jul-25 12:18:03 AM WEST,{ },{unackedAlarm},Fermé
09-Jul-25 3:49:23 PM WEST,{start},{unackedAlarm},Fermé
09-Jul-25 5:30:36 PM WEST,{start},{unackedAlarm},Fermé
16-Jul-25 2:20:45 PM WEST,{start},{unackedAlarm},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{unackedAlarm},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{unackedAlarm},Fermé
04-Aug-25 10:12:31 AM WEST,{ },{unackedAlarm},Ouvert
04-Aug-25 10:14:31 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Aug-25 11:09:59 AM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:13:11 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 12:15:11 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Aug-25 12:18:19 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:23:16 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 12:23:56 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:27:44 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 12:28:28 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:34:16 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 12:36:16 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Aug-25 12:38:41 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:39:17 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 12:39:21 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 12:59:55 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 1:00:03 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 1:05:36 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 1:05:44 PM WEST,{ },{unackedAlarm},Fermé
09-Aug-25 1:15:12 PM WEST,{ },{unackedAlarm},Ouvert
09-Aug-25 1:15:18 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 2:37:20 PM WEST,{ },{unackedAlarm},Ouvert
10-Aug-25 2:37:23 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 2:44:56 PM WEST,{ },{unackedAlarm},Ouvert
10-Aug-25 2:45:01 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{unackedAlarm},Fermé
12-Aug-25 12:31:01 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 12:31:05 PM WEST,{ },{unackedAlarm},Fermé
12-Aug-25 12:32:49 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 12:32:52 PM WEST,{ },{unackedAlarm},Fermé
12-Aug-25 12:39:46 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 12:39:52 PM WEST,{ },{unackedAlarm},Fermé
12-Aug-25 12:40:26 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 12:40:46 PM WEST,{ },{unackedAlarm},Fermé
12-Aug-25 12:43:24 PM WEST,{ },{unackedAlarm},Ouvert
12-Aug-25 12:43:28 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 11:08:17 AM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 11:10:17 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 12:08:12 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 12:09:14 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 12:11:14 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 5:42:53 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:43:08 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:43:16 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:43:43 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:43:53 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:44:15 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:46:16 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 5:46:45 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:47:19 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:49:09 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:49:40 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:51:40 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 5:52:19 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 5:52:43 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 5:54:44 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 6:00:21 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 6:00:56 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 6:00:58 PM WEST,{ },{unackedAlarm},Fermé
18-Aug-25 6:06:40 PM WEST,{ },{unackedAlarm},Ouvert
18-Aug-25 6:08:41 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Aug-25 6:18:55 PM WEST,{ },{unackedAlarm},Fermé
19-Aug-25 7:57:43 AM WEST,{ },{unackedAlarm},Ouvert
19-Aug-25 7:59:43 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
19-Aug-25 2:09:31 PM WEST,{ },{unackedAlarm},Fermé
22-Aug-25 5:59:37 AM WEST,{ },{unackedAlarm},Ouvert
22-Aug-25 5:59:41 AM WEST,{ },{unackedAlarm},Fermé
22-Aug-25 6:05:33 AM WEST,{ },{unackedAlarm},Ouvert
22-Aug-25 6:05:38 AM WEST,{ },{unackedAlarm},Fermé
25-Aug-25 9:34:01 AM WEST,{start},{unackedAlarm},Fermé
25-Aug-25 11:28:27 AM WEST,{start},{unackedAlarm},Fermé
25-Aug-25 11:24:08 PM WEST,{ },{unackedAlarm},Ouvert
25-Aug-25 11:24:12 PM WEST,{ },{unackedAlarm},Fermé
25-Aug-25 11:24:26 PM WEST,{ },{unackedAlarm},Ouvert
25-Aug-25 11:24:31 PM WEST,{ },{unackedAlarm},Fermé
27-Aug-25 9:02:31 AM WEST,{start},{unackedAlarm},Fermé
28-Aug-25 10:31:55 AM WEST,{start},{unackedAlarm},Fermé
01-Sep-25 5:27:03 PM WEST,{start},{unackedAlarm},Fermé
02-Sep-25 9:07:22 AM WEST,{start},{unackedAlarm},Fermé
22-Sep-25 10:35:44 AM WEST,{ },{unackedAlarm},Ouvert
22-Sep-25 10:37:45 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
22-Sep-25 1:24:16 PM WEST,{start},"{fault,stale}",Ouvert
23-Sep-25 11:40:17 AM WEST,{start},"{fault,stale}",Ouvert
23-Sep-25 5:51:13 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
23-Sep-25 5:51:15 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 9:30:37 AM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 9:32:37 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
24-Sep-25 7:59:38 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:01:02 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:01:05 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:11:22 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:11:30 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:11:38 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:11:56 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:12:00 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:12:08 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:12:14 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:12:20 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:12:33 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:13:04 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:13:15 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:13:37 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:13:47 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:14:13 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:14:21 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:14:23 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:14:26 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:14:43 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:14:50 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:15:17 PM WEST,{ },{unackedAlarm},Fermé
24-Sep-25 8:15:26 PM WEST,{ },{unackedAlarm},Ouvert
24-Sep-25 8:16:49 PM WEST,{ },{unackedAlarm},Fermé
