history:GTC_Multisite_Inwi/GLM-ONE Température Ambiante

Timestamp,Trend Flags,Status,Value (°C)
07-May-25 12:00:00 PM WEST,{start},{unackedAlarm},25.8
07-May-25 12:15:00 PM WEST,{ },{unackedAlarm},25.6
07-May-25 12:30:02 PM WEST,{ },{unackedAlarm},25.5
07-May-25 12:45:01 PM WEST,{ },{unackedAlarm},26.0
07-May-25 1:00:01 PM WEST,{ },{unackedAlarm},26.5
07-May-25 1:15:01 PM WEST,{ },{unackedAlarm},25.8
07-May-25 1:30:01 PM WEST,{ },{unackedAlarm},25.9
07-May-25 1:45:01 PM WEST,{ },{unackedAlarm},25.7
07-May-25 2:00:01 PM WEST,{ },{unackedAlarm},25.5
07-May-25 2:15:02 PM WEST,{ },{unackedAlarm},25.3
07-May-25 2:30:02 PM WEST,{ },{unackedAlarm},25.1
07-May-25 2:45:24 PM WEST,{ },{unackedAlarm},25.6
07-May-25 3:00:00 PM WEST,{ },{unackedAlarm},25.5
07-May-25 3:15:00 PM WEST,{ },{unackedAlarm},25.6
07-May-25 3:30:01 PM WEST,{ },{unackedAlarm},25.5
07-May-25 3:45:02 PM WEST,{ },{unackedAlarm},25.3
07-May-25 4:00:01 PM WEST,{ },{unackedAlarm},25.2
07-May-25 4:15:01 PM WEST,{ },{unackedAlarm},25.3
07-May-25 4:30:01 PM WEST,{ },{unackedAlarm},26.0
07-May-25 4:45:01 PM WEST,{ },{unackedAlarm},25.7
07-May-25 5:00:01 PM WEST,{ },{unackedAlarm},25.5
07-May-25 5:15:01 PM WEST,{ },{unackedAlarm},25.3
07-May-25 5:30:01 PM WEST,{ },{unackedAlarm},25.1
07-May-25 5:45:01 PM WEST,{ },{unackedAlarm},24.9
07-May-25 6:00:01 PM WEST,{ },{unackedAlarm},25.9
07-May-25 6:15:02 PM WEST,{ },{unackedAlarm},25.2
07-May-25 6:30:01 PM WEST,{ },{unackedAlarm},25.0
07-May-25 6:45:01 PM WEST,{ },{unackedAlarm},24.6
07-May-25 7:00:02 PM WEST,{ },{unackedAlarm},24.2
07-May-25 7:15:01 PM WEST,{ },{unackedAlarm},24.0
07-May-25 7:30:02 PM WEST,{ },{unackedAlarm},22.9
07-May-25 7:45:01 PM WEST,{ },{unackedAlarm},23.2
07-May-25 8:00:01 PM WEST,{ },{unackedAlarm},23.0
07-May-25 8:15:02 PM WEST,{ },{unackedAlarm},23.1
07-May-25 8:30:01 PM WEST,{ },{unackedAlarm},23.0
07-May-25 8:45:01 PM WEST,{ },{unackedAlarm},22.8
07-May-25 9:00:01 PM WEST,{ },{unackedAlarm},23.0
07-May-25 9:15:02 PM WEST,{ },{unackedAlarm},22.7
07-May-25 9:30:02 PM WEST,{ },{unackedAlarm},23.0
07-May-25 9:45:02 PM WEST,{ },{unackedAlarm},22.9
07-May-25 10:00:01 PM WEST,{ },{unackedAlarm},22.8
07-May-25 10:15:01 PM WEST,{ },{unackedAlarm},23.0
07-May-25 10:30:01 PM WEST,{ },{unackedAlarm},22.7
07-May-25 10:45:02 PM WEST,{ },{unackedAlarm},23.0
07-May-25 11:00:02 PM WEST,{ },{unackedAlarm},22.8
07-May-25 11:15:01 PM WEST,{ },{unackedAlarm},22.8
07-May-25 11:30:01 PM WEST,{ },{unackedAlarm},23.0
07-May-25 11:45:01 PM WEST,{ },{unackedAlarm},22.6
08-May-25 12:00:01 AM WEST,{ },{unackedAlarm},22.8
08-May-25 12:15:01 AM WEST,{ },{unackedAlarm},23.0
08-May-25 12:30:01 AM WEST,{ },{unackedAlarm},22.6
08-May-25 12:45:01 AM WEST,{ },{unackedAlarm},23.0
08-May-25 1:00:01 AM WEST,{ },{unackedAlarm},22.7
08-May-25 1:15:02 AM WEST,{ },{unackedAlarm},22.8
08-May-25 1:30:01 AM WEST,{ },{unackedAlarm},22.9
08-May-25 1:45:03 AM WEST,{ },{unackedAlarm},22.6
08-May-25 2:00:03 AM WEST,{ },{unackedAlarm},23.0
08-May-25 2:15:03 AM WEST,{ },{unackedAlarm},22.6
08-May-25 2:30:04 AM WEST,{ },{unackedAlarm},22.9
08-May-25 2:45:02 AM WEST,{ },{unackedAlarm},22.6
08-May-25 3:00:02 AM WEST,{ },{unackedAlarm},22.9
08-May-25 3:15:03 AM WEST,{ },{unackedAlarm},22.7
08-May-25 3:30:03 AM WEST,{ },{unackedAlarm},22.7
08-May-25 3:45:03 AM WEST,{ },{unackedAlarm},22.9
08-May-25 4:00:01 AM WEST,{ },{unackedAlarm},22.7
08-May-25 4:15:02 AM WEST,{ },{unackedAlarm},23.0
08-May-25 4:30:01 AM WEST,{ },{unackedAlarm},22.6
08-May-25 4:45:02 AM WEST,{ },{unackedAlarm},23.0
08-May-25 5:00:03 AM WEST,{ },{unackedAlarm},22.6
08-May-25 5:15:03 AM WEST,{ },{unackedAlarm},22.7
08-May-25 5:30:02 AM WEST,{ },{unackedAlarm},23.9
08-May-25 5:45:01 AM WEST,{ },{unackedAlarm},26.0
08-May-25 6:00:02 AM WEST,{ },{unackedAlarm},27.7
08-May-25 6:15:02 AM WEST,{ },"{alarm,unackedAlarm}",29.2
08-May-25 6:30:01 AM WEST,{ },"{alarm,unackedAlarm}",30.5
08-May-25 6:45:02 AM WEST,{ },"{alarm,unackedAlarm}",31.0
08-May-25 7:00:02 AM WEST,{ },"{alarm,unackedAlarm}",28.2
