history:GTC_Multisite_Inwi/Etat de la Porte TNT_ONE

Timestamp,Trend Flags,Status,Value
17-Jul-25 11:48:07 AM WEST,{start},{unackedAlarm},Fermé
17-Jul-25 11:53:56 PM WEST,{ },{unackedAlarm},Ouvert
17-Jul-25 11:55:56 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Jul-25 12:23:01 AM WEST,{ },{unackedAlarm},Fermé
23-Jul-25 4:31:11 PM WEST,{start},{unackedAlarm},Fermé
23-Jul-25 4:41:37 PM WEST,{start},{unackedAlarm},Fermé
24-Jul-25 12:00:25 PM WEST,{ },{unackedAlarm},Ouvert
24-Jul-25 12:02:03 PM WEST,{ },{unackedAlarm},Fermé
24-Jul-25 12:02:04 PM WEST,{ },{unackedAlarm},Ouvert
24-Jul-25 12:02:06 PM WEST,{ },{unackedAlarm},Fermé
24-Jul-25 12:28:06 PM WEST,{ },{unackedAlarm},Ouvert
24-Jul-25 12:28:29 PM WEST,{ },{unackedAlarm},Fermé
24-Jul-25 12:38:38 PM WEST,{ },{unackedAlarm},Ouvert
24-Jul-25 12:38:58 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 1:01:21 PM WEST,{ },{unackedAlarm},Ouvert
10-Aug-25 1:02:47 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 3:44:05 PM WEST,{start},{unackedAlarm},Fermé
10-Aug-25 7:52:13 PM WEST,{ },{unackedAlarm},Ouvert
10-Aug-25 7:54:13 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Aug-25 7:56:31 PM WEST,{ },{unackedAlarm},Fermé
10-Aug-25 8:13:44 PM WEST,{ },{unackedAlarm},Ouvert
10-Aug-25 8:14:15 PM WEST,{ },{unackedAlarm},Fermé
11-Aug-25 8:42:57 PM WEST,{ },{unackedAlarm},Ouvert
11-Aug-25 8:44:57 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
