history:GTC_Multisite_Inwi/TNT_ONE Active Power Total_Clim

Timestamp,Trend Flags,Status,Value (kW)
08-May-25 11:45:01 AM WEST,{start},{ok},0.2
08-May-25 12:00:01 PM WEST,{ },{ok},3.2
08-May-25 12:15:01 PM WEST,{ },{ok},3.0
08-May-25 12:30:01 PM WEST,{ },{ok},0.2
08-May-25 12:45:02 PM WEST,{ },{ok},0.2
08-May-25 1:00:01 PM WEST,{ },{ok},3.3
08-May-25 1:15:02 PM WEST,{ },{ok},3.1
08-May-25 1:30:01 PM WEST,{ },{ok},0.2
08-May-25 1:45:01 PM WEST,{ },{ok},0.2
08-May-25 2:00:01 PM WEST,{ },{ok},3.3
08-May-25 2:15:01 PM WEST,{ },{ok},3.4
08-May-25 2:30:01 PM WEST,{ },{ok},0.2
08-May-25 2:45:01 PM WEST,{ },{ok},0.2
08-May-25 3:00:02 PM WEST,{ },{ok},3.2
08-May-25 3:15:01 PM WEST,{ },{ok},0.2
08-May-25 3:30:01 PM WEST,{ },{ok},0.2
08-May-25 3:45:01 PM WEST,{ },{ok},3.3
08-May-25 4:00:01 PM WEST,{ },{ok},3.1
08-May-25 4:15:01 PM WEST,{ },{ok},0.2
08-May-25 4:30:02 PM WEST,{ },{ok},0.2
08-May-25 4:45:01 PM WEST,{ },{ok},3.2
08-May-25 5:00:02 PM WEST,{ },{ok},3.1
08-May-25 5:15:01 PM WEST,{ },{ok},0.2
08-May-25 5:30:02 PM WEST,{ },{ok},0.2
08-May-25 5:45:01 PM WEST,{ },{ok},3.1
08-May-25 6:00:02 PM WEST,{ },{ok},3.4
08-May-25 6:15:01 PM WEST,{ },{ok},0.2
08-May-25 6:30:01 PM WEST,{ },{ok},0.2
08-May-25 6:45:01 PM WEST,{ },{ok},3.1
08-May-25 7:00:01 PM WEST,{ },{ok},3.1
08-May-25 7:15:01 PM WEST,{ },{ok},2.9
08-May-25 7:30:01 PM WEST,{ },{ok},0.2
08-May-25 7:45:02 PM WEST,{ },{ok},0.2
08-May-25 8:00:01 PM WEST,{ },{ok},0.2
08-May-25 8:15:01 PM WEST,{ },{ok},0.2
08-May-25 8:30:01 PM WEST,{ },{ok},0.2
08-May-25 8:45:01 PM WEST,{ },{ok},0.2
08-May-25 9:00:01 PM WEST,{ },{ok},0.2
08-May-25 9:15:01 PM WEST,{ },{ok},0.2
08-May-25 9:30:01 PM WEST,{ },{ok},2.1
08-May-25 9:45:01 PM WEST,{ },{ok},2.8
08-May-25 10:00:01 PM WEST,{ },{ok},2.9
08-May-25 10:15:01 PM WEST,{ },{ok},0.2
08-May-25 10:30:01 PM WEST,{ },{ok},0.2
08-May-25 10:45:01 PM WEST,{ },{ok},0.2
08-May-25 11:00:01 PM WEST,{ },{ok},0.2
08-May-25 11:15:01 PM WEST,{ },{ok},2.8
08-May-25 11:30:02 PM WEST,{ },{ok},2.9
08-May-25 11:45:01 PM WEST,{ },{ok},0.2
09-May-25 12:00:01 AM WEST,{ },{ok},0.2
09-May-25 12:15:02 AM WEST,{ },{ok},0.2
09-May-25 12:30:01 AM WEST,{ },{ok},2.9
09-May-25 12:45:01 AM WEST,{ },{ok},2.8
09-May-25 1:00:02 AM WEST,{ },{ok},0.2
09-May-25 1:15:01 AM WEST,{ },{ok},0.2
09-May-25 1:30:01 AM WEST,{ },{ok},0.2
09-May-25 1:45:02 AM WEST,{ },{ok},2.8
09-May-25 2:00:01 AM WEST,{ },{ok},0.2
09-May-25 2:15:01 AM WEST,{ },{ok},0.2
09-May-25 2:30:01 AM WEST,{ },{ok},0.2
09-May-25 2:45:01 AM WEST,{ },{ok},0.2
09-May-25 3:00:02 AM WEST,{ },{ok},0.2
09-May-25 3:15:01 AM WEST,{ },{ok},2.8
09-May-25 3:30:01 AM WEST,{ },{ok},0.2
09-May-25 3:45:02 AM WEST,{ },{ok},0.2
09-May-25 4:00:01 AM WEST,{ },{ok},0.5
09-May-25 4:15:01 AM WEST,{ },{ok},0.2
09-May-25 4:30:01 AM WEST,{ },{ok},2.7
09-May-25 4:45:01 AM WEST,{ },{ok},0.2
09-May-25 5:00:01 AM WEST,{ },{ok},2.8
09-May-25 5:15:01 AM WEST,{ },{ok},0.2
09-May-25 5:30:01 AM WEST,{ },{ok},2.8
09-May-25 5:45:01 AM WEST,{ },{ok},0.2
09-May-25 6:00:01 AM WEST,{ },{ok},0.2
