history:GTC_Multisite_Inwi/TNT_ONE Température Ambiante

Timestamp,Trend Flags,Status,Value (°C)
08-May-25 11:45:01 AM WEST,{start},{ok},18.8
08-May-25 12:00:01 PM WEST,{ },{ok},19.5
08-May-25 12:15:01 PM WEST,{ },{ok},19.6
08-May-25 12:30:01 PM WEST,{ },{ok},18.8
08-May-25 12:45:02 PM WEST,{ },{ok},18.8
08-May-25 1:00:01 PM WEST,{ },{ok},19.6
08-May-25 1:15:02 PM WEST,{ },{ok},19.5
08-May-25 1:30:01 PM WEST,{ },{ok},18.7
08-May-25 1:45:01 PM WEST,{ },{ok},19.0
08-May-25 2:00:01 PM WEST,{ },{ok},19.7
08-May-25 2:15:01 PM WEST,{ },{ok},19.3
08-May-25 2:30:01 PM WEST,{ },{ok},18.6
08-May-25 2:45:01 PM WEST,{ },{ok},19.1
08-May-25 3:00:02 PM WEST,{ },{ok},19.8
08-May-25 3:15:01 PM WEST,{ },{ok},19.1
08-May-25 3:30:01 PM WEST,{ },{ok},18.4
08-May-25 3:45:01 PM WEST,{ },{ok},19.5
08-May-25 4:00:01 PM WEST,{ },{ok},19.6
08-May-25 4:15:01 PM WEST,{ },{ok},18.7
08-May-25 4:30:02 PM WEST,{ },{ok},18.8
08-May-25 4:45:01 PM WEST,{ },{ok},19.6
08-May-25 5:00:02 PM WEST,{ },{ok},19.3
08-May-25 5:15:01 PM WEST,{ },{ok},18.6
08-May-25 5:30:02 PM WEST,{ },{ok},18.8
08-May-25 5:45:01 PM WEST,{ },{ok},19.6
08-May-25 6:00:02 PM WEST,{ },{ok},19.2
08-May-25 6:15:01 PM WEST,{ },{ok},18.6
08-May-25 6:30:01 PM WEST,{ },{ok},18.7
08-May-25 6:45:01 PM WEST,{ },{ok},19.1
08-May-25 7:00:01 PM WEST,{ },{ok},19.5
08-May-25 7:15:01 PM WEST,{ },{ok},19.3
08-May-25 7:30:01 PM WEST,{ },{ok},19.1
08-May-25 7:45:02 PM WEST,{ },{ok},18.7
08-May-25 8:00:01 PM WEST,{ },{ok},18.6
08-May-25 8:15:01 PM WEST,{ },{ok},18.6
08-May-25 8:30:01 PM WEST,{ },{ok},18.5
08-May-25 8:45:01 PM WEST,{ },{ok},18.6
08-May-25 9:00:01 PM WEST,{ },{ok},18.6
08-May-25 9:15:01 PM WEST,{ },{ok},18.8
08-May-25 9:30:01 PM WEST,{ },{ok},19.1
08-May-25 9:45:01 PM WEST,{ },{ok},19.4
08-May-25 10:00:01 PM WEST,{ },{ok},19.3
08-May-25 10:15:01 PM WEST,{ },{ok},19.0
08-May-25 10:30:01 PM WEST,{ },{ok},18.8
08-May-25 10:45:01 PM WEST,{ },{ok},18.6
08-May-25 11:00:01 PM WEST,{ },{ok},19.0
08-May-25 11:15:01 PM WEST,{ },{ok},19.4
08-May-25 11:30:02 PM WEST,{ },{ok},19.3
08-May-25 11:45:01 PM WEST,{ },{ok},18.9
09-May-25 12:00:01 AM WEST,{ },{ok},18.6
09-May-25 12:15:02 AM WEST,{ },{ok},18.9
09-May-25 12:30:01 AM WEST,{ },{ok},19.3
09-May-25 12:45:01 AM WEST,{ },{ok},19.3
09-May-25 1:00:02 AM WEST,{ },{ok},19.0
09-May-25 1:15:01 AM WEST,{ },{ok},18.6
09-May-25 1:30:01 AM WEST,{ },{ok},18.9
09-May-25 1:45:02 AM WEST,{ },{ok},19.4
09-May-25 2:00:01 AM WEST,{ },{ok},19.2
09-May-25 2:15:01 AM WEST,{ },{ok},18.6
09-May-25 2:30:01 AM WEST,{ },{ok},19.0
09-May-25 2:45:01 AM WEST,{ },{ok},19.0
09-May-25 3:00:02 AM WEST,{ },{ok},18.6
09-May-25 3:15:01 AM WEST,{ },{ok},19.2
09-May-25 3:30:01 AM WEST,{ },{ok},18.7
09-May-25 3:45:02 AM WEST,{ },{ok},18.9
09-May-25 4:00:01 AM WEST,{ },{ok},19.0
09-May-25 4:15:01 AM WEST,{ },{ok},18.7
09-May-25 4:30:01 AM WEST,{ },{ok},19.2
09-May-25 4:45:01 AM WEST,{ },{ok},18.6
09-May-25 5:00:01 AM WEST,{ },{ok},19.1
09-May-25 5:15:01 AM WEST,{ },{ok},18.6
09-May-25 5:30:01 AM WEST,{ },{ok},19.1
09-May-25 5:45:01 AM WEST,{ },{ok},18.7
09-May-25 6:00:01 AM WEST,{ },{ok},18.9
09-May-25 6:15:01 AM WEST,{ },{ok},19.0
09-May-25 6:30:01 AM WEST,{ },{ok},18.6
09-May-25 6:45:01 AM WEST,{ },{ok},19.2
09-May-25 7:00:01 AM WEST,{ },{ok},18.6
09-May-25 7:15:01 AM WEST,{ },{ok},19.0
09-May-25 7:30:01 AM WEST,{ },{ok},18.6
09-May-25 7:45:01 AM WEST,{ },{ok},19.0
09-May-25 8:00:01 AM WEST,{ },{ok},19.0
09-May-25 8:15:02 AM WEST,{ },{ok},18.6
09-May-25 8:30:02 AM WEST,{ },{ok},19.3
09-May-25 8:45:01 AM WEST,{ },{ok},19.3
09-May-25 9:00:01 AM WEST,{ },{ok},18.9
09-May-25 9:15:01 AM WEST,{ },{ok},18.8
09-May-25 9:30:01 AM WEST,{ },{ok},18.6
09-May-25 9:45:01 AM WEST,{ },{ok},18.7
09-May-25 10:00:01 AM WEST,{ },{ok},18.7
09-May-25 10:15:02 AM WEST,{ },{ok},18.6
09-May-25 10:30:02 AM WEST,{ },{ok},18.7
09-May-25 10:45:01 AM WEST,{ },{ok},18.6
09-May-25 11:00:01 AM WEST,{ },{ok},18.8
09-May-25 11:15:02 AM WEST,{ },{ok},19.2
09-May-25 11:30:01 AM WEST,{ },{ok},19.7
09-May-25 11:45:01 AM WEST,{ },{ok},19.6
09-May-25 12:00:01 PM WEST,{ },{ok},18.9
09-May-25 12:15:01 PM WEST,{ },{ok},18.6
09-May-25 12:30:01 PM WEST,{ },{ok},19.4
09-May-25 12:45:01 PM WEST,{ },{ok},19.7
09-May-25 1:00:01 PM WEST,{ },{ok},19.1
09-May-25 1:15:02 PM WEST,{ },{ok},18.6
09-May-25 1:30:01 PM WEST,{ },{ok},19.4
09-May-25 1:45:01 PM WEST,{ },{ok},19.5
09-May-25 2:00:01 PM WEST,{ },{ok},19.0
09-May-25 2:15:02 PM WEST,{ },{ok},18.4
09-May-25 2:30:01 PM WEST,{ },{ok},19.0
09-May-25 2:45:01 PM WEST,{ },{ok},19.6
09-May-25 3:00:02 PM WEST,{ },{ok},19.3
09-May-25 3:15:01 PM WEST,{ },{ok},18.9
09-May-25 3:30:01 PM WEST,{ },{ok},18.6
09-May-25 3:45:01 PM WEST,{ },{ok},19.0
09-May-25 4:00:02 PM WEST,{ },{ok},19.5
09-May-25 4:15:03 PM WEST,{ },{ok},19.7
09-May-25 4:30:01 PM WEST,{ },{ok},19.2
09-May-25 4:45:02 PM WEST,{ },{ok},18.8
09-May-25 5:00:01 PM WEST,{ },{ok},18.6
09-May-25 5:15:01 PM WEST,{ },{ok},19.0
09-May-25 5:30:02 PM WEST,{ },{ok},19.6
09-May-25 5:45:02 PM WEST,{ },{ok},19.5
09-May-25 6:00:01 PM WEST,{ },{ok},19.3
09-May-25 6:15:01 PM WEST,{ },{ok},19.0
