history:GTC_Multisite_Inwi/BEN-MCO Active Power Arrivé

Timestamp,Trend Flags,Status,Value (kW)
11-Aug-24 5:45:00 PM WEST,{start},{ok},6.6
11-Aug-24 6:00:00 PM WEST,{ },{ok},6.4
11-Aug-24 6:15:00 PM WEST,{ },{ok},6.4
11-Aug-24 6:30:00 PM WEST,{ },{ok},6.6
11-Aug-24 6:45:00 PM WEST,{ },{ok},6.7
11-Aug-24 7:00:00 PM WEST,{ },{ok},6.7
11-Aug-24 7:15:00 PM WEST,{ },{ok},4.7
11-Aug-24 7:30:00 PM WEST,{ },{ok},6.8
11-Aug-24 7:45:00 PM WEST,{ },{ok},6.5
11-Aug-24 8:00:01 PM WEST,{ },{ok},6.5
11-Aug-24 8:15:01 PM WEST,{ },{ok},6.0
11-Aug-24 8:30:00 PM WEST,{ },{ok},3.3
11-Aug-24 8:45:00 PM WEST,{ },{ok},5.4
11-Aug-24 9:00:00 PM WEST,{ },{ok},5.6
11-Aug-24 9:15:00 PM WEST,{ },{ok},5.3
11-Aug-24 9:30:00 PM WEST,{ },{ok},5.2
11-Aug-24 9:45:00 PM WEST,{ },{ok},5.2
11-Aug-24 10:00:00 PM WEST,{ },{ok},5.2
11-Aug-24 10:15:00 PM WEST,{ },{ok},5.4
11-Aug-24 10:30:00 PM WEST,{ },{ok},5.6
11-Aug-24 10:45:00 PM WEST,{ },{ok},4.8
11-Aug-24 11:00:00 PM WEST,{ },{ok},3.5
11-Aug-24 11:15:00 PM WEST,{ },{ok},6.4
11-Aug-24 11:30:00 PM WEST,{ },{ok},6.5
11-Aug-24 11:45:00 PM WEST,{ },{ok},6.5
12-Aug-24 12:00:00 AM WEST,{ },{ok},3.6
12-Aug-24 12:15:00 AM WEST,{ },{ok},6.3
12-Aug-24 12:30:00 AM WEST,{ },{ok},6.3
12-Aug-24 12:45:00 AM WEST,{ },{ok},5.6
12-Aug-24 1:00:00 AM WEST,{ },{ok},3.6
12-Aug-24 1:15:00 AM WEST,{ },{ok},5.4
12-Aug-24 1:30:01 AM WEST,{ },{ok},5.6
12-Aug-24 1:45:00 AM WEST,{ },{ok},39.1
12-Aug-24 2:00:00 AM WEST,{ },{ok},31.3
12-Aug-24 2:15:00 AM WEST,{ },{ok},38.5
12-Aug-24 2:30:01 AM WEST,{ },{ok},38.6
12-Aug-24 2:45:00 AM WEST,{ },{ok},31.0
12-Aug-24 3:00:00 AM WEST,{ },{ok},38.3
12-Aug-24 3:15:00 AM WEST,{ },{ok},38.1
12-Aug-24 3:30:00 AM WEST,{ },{ok},37.5
12-Aug-24 3:45:00 AM WEST,{ },{ok},37.5
12-Aug-24 4:00:01 AM WEST,{ },{ok},37.5
12-Aug-24 4:15:00 AM WEST,{ },{ok},37.4
12-Aug-24 4:30:00 AM WEST,{ },{ok},37.1
12-Aug-24 4:45:00 AM WEST,{ },{ok},37.4
12-Aug-24 5:00:00 AM WEST,{ },{ok},37.2
12-Aug-24 5:15:00 AM WEST,{ },{ok},34.2
12-Aug-24 5:30:01 AM WEST,{ },{ok},37.3
12-Aug-24 5:45:00 AM WEST,{ },{ok},37.3
12-Aug-24 6:00:00 AM WEST,{ },{ok},37.3
12-Aug-24 6:15:00 AM WEST,{ },{ok},37.5
12-Aug-24 6:30:00 AM WEST,{ },{ok},37.1
12-Aug-24 6:45:00 AM WEST,{ },{ok},40.0
12-Aug-24 7:00:00 AM WEST,{ },{ok},30.4
12-Aug-24 7:15:00 AM WEST,{ },{ok},40.2
12-Aug-24 7:30:00 AM WEST,{ },{ok},37.6
12-Aug-24 7:45:00 AM WEST,{ },{ok},37.6
12-Aug-24 8:00:00 AM WEST,{ },{ok},30.6
12-Aug-24 8:15:00 AM WEST,{ },{ok},37.8
12-Aug-24 8:30:00 AM WEST,{ },{ok},37.7
12-Aug-24 8:45:00 AM WEST,{ },{ok},28.1
12-Aug-24 9:00:00 AM WEST,{ },{ok},38.1
12-Aug-24 9:15:00 AM WEST,{ },{ok},38.3
12-Aug-24 9:30:00 AM WEST,{ },{ok},41.8
12-Aug-24 9:45:00 AM WEST,{ },{ok},34.6
12-Aug-24 10:00:00 AM WEST,{ },{ok},42.3
