history:GTC_Multisite_Inwi/Etat de la porte BEN_ONE

Timestamp,Trend Flags,Status,Value
19-Nov-24 12:44:37 AM WEST,{start},{ok},Fermé
20-Nov-24 11:26:49 AM WEST,{ },{ok},Ouvert
20-Nov-24 11:28:49 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 5:45:44 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 12:45:23 PM WEST,{ },{unackedAlarm},Ouvert
21-Nov-24 12:47:23 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 6:15:55 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 6:15:56 PM WEST,{ },{unackedAlarm},Ouvert
21-Nov-24 6:15:58 PM WEST,{ },{unackedAlarm},Fermé
22-Nov-24 10:38:52 AM WEST,{ },{unackedAlarm},Ouvert
22-Nov-24 10:40:52 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
22-Nov-24 4:52:09 PM WEST,{ },{unackedAlarm},Fermé
22-Nov-24 5:18:23 PM WEST,{ },"{down,unackedAlarm}",Fermé
22-Nov-24 5:23:28 PM WEST,{ },{unackedAlarm},Fermé
22-Nov-24 5:23:28 PM WEST,{ },"{stale,unackedAlarm}",Ouvert
22-Nov-24 5:23:33 PM WEST,{ },{unackedAlarm},Fermé
25-Nov-24 12:03:06 PM WEST,{ },{unackedAlarm},Ouvert
25-Nov-24 12:05:06 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Nov-24 12:24:38 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 11:32:35 AM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 11:34:35 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 11:49:36 AM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
04-Dec-24 4:33:22 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 4:33:22 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
04-Dec-24 4:33:24 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 6:15:11 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
04-Dec-24 6:15:34 PM WEST,{ },"{fault,down,alarm,unackedAlarm}",Ouvert
04-Dec-24 6:20:34 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
04-Dec-24 7:00:20 PM WEST,{ },"{fault,down,alarm,unackedAlarm}",Ouvert
04-Dec-24 7:05:26 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
10-Dec-24 11:34:06 AM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 11:24:16 AM WEST,{ },{unackedAlarm},Ouvert
18-Dec-24 11:26:16 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 4:21:35 PM WEST,{ },{unackedAlarm},Fermé
24-Dec-24 1:11:38 PM WEST,{ },{unackedAlarm},Ouvert
24-Dec-24 1:13:39 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
24-Dec-24 1:27:18 PM WEST,{ },{unackedAlarm},Fermé
26-Dec-24 12:03:04 PM WEST,{ },{unackedAlarm},Ouvert
26-Dec-24 12:05:05 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
26-Dec-24 12:11:24 PM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 1:22:45 PM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 1:24:46 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
08-Jan-25 3:09:25 PM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 3:17:55 PM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 3:19:55 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
08-Jan-25 4:08:05 PM WEST,{ },{unackedAlarm},Fermé
09-Jan-25 3:24:43 PM WEST,{ },{unackedAlarm},Ouvert
09-Jan-25 3:26:43 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 3:30:43 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
09-Jan-25 4:40:07 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 4:40:07 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
09-Jan-25 4:40:09 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 4:49:02 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
17-Jan-25 1:05:49 PM WEST,{start},"{fault,stale}",Ouvert
