history:GTC_Multisite_Inwi/Température Extérieure BEN-ONE

Timestamp,Trend Flags,Status,Value (°C)
05-Aug-24 9:45:00 PM WEST,{start},{ok},25.3
05-Aug-24 10:00:00 PM WEST,{ },{ok},24.0
05-Aug-24 10:15:00 PM WEST,{ },{ok},22.7
05-Aug-24 10:30:00 PM WEST,{ },{ok},23.4
05-Aug-24 10:45:01 PM WEST,{ },{ok},22.4
05-Aug-24 11:00:00 PM WEST,{ },{down},23.9
05-Aug-24 11:15:01 PM WEST,{ },{ok},23.3
05-Aug-24 11:30:00 PM WEST,{ },{down},21.0
05-Aug-24 11:45:00 PM WEST,{ },{ok},20.2
06-Aug-24 12:00:00 AM WEST,{ },{down},20.6
06-Aug-24 12:15:00 AM WEST,{ },{ok},21.3
06-Aug-24 12:30:00 AM WEST,{ },{ok},21.0
06-Aug-24 12:45:00 AM WEST,{ },{ok},20.2
06-Aug-24 1:00:00 AM WEST,{ },{down},19.3
06-Aug-24 1:15:00 AM WEST,{ },{ok},19.2
06-Aug-24 1:30:00 AM WEST,{ },{ok},17.7
06-Aug-24 1:45:00 AM WEST,{ },{ok},18.2
06-Aug-24 2:00:00 AM WEST,{ },{ok},17.5
06-Aug-24 2:15:00 AM WEST,{ },{ok},17.9
06-Aug-24 2:30:00 AM WEST,{ },{ok},17.5
06-Aug-24 2:45:00 AM WEST,{ },{ok},17.9
06-Aug-24 3:00:00 AM WEST,{ },{ok},16.3
06-Aug-24 3:15:00 AM WEST,{ },{ok},17.4
06-Aug-24 3:30:00 AM WEST,{ },{down},16.7
06-Aug-24 3:45:00 AM WEST,{ },{down},16.7
06-Aug-24 4:00:00 AM WEST,{ },{ok},16.2
06-Aug-24 4:15:00 AM WEST,{ },{down},16.3
06-Aug-24 4:30:00 AM WEST,{ },{down},15.5
06-Aug-24 4:45:00 AM WEST,{ },{down},14.3
06-Aug-24 5:00:00 AM WEST,{ },{ok},14.7
06-Aug-24 5:15:00 AM WEST,{ },{down},14.1
06-Aug-24 5:30:04 AM WEST,{ },{ok},14.2
06-Aug-24 5:45:00 AM WEST,{ },{ok},13.5
06-Aug-24 6:00:00 AM WEST,{ },{down},13.7
06-Aug-24 6:15:00 AM WEST,{ },{ok},12.5
06-Aug-24 6:30:00 AM WEST,{ },{ok},12.7
06-Aug-24 6:45:00 AM WEST,{ },{ok},12.8
06-Aug-24 7:00:00 AM WEST,{ },{down},12.3
06-Aug-24 7:15:00 AM WEST,{ },{ok},11.4
06-Aug-24 7:30:00 AM WEST,{ },{ok},14.5
06-Aug-24 7:45:00 AM WEST,{ },{ok},15.0
06-Aug-24 8:00:00 AM WEST,{ },{ok},14.0
06-Aug-24 8:15:00 AM WEST,{ },{ok},13.2
06-Aug-24 8:30:00 AM WEST,{ },{down},14.2
06-Aug-24 8:45:00 AM WEST,{ },{down},15.6
06-Aug-24 9:00:00 AM WEST,{ },{ok},16.4
06-Aug-24 9:15:00 AM WEST,{ },{ok},16.8
06-Aug-24 9:30:00 AM WEST,{ },{ok},16.2
06-Aug-24 9:45:00 AM WEST,{ },{ok},16.6
06-Aug-24 10:00:00 AM WEST,{ },{down},18.9
06-Aug-24 10:15:00 AM WEST,{ },{down},20.2
06-Aug-24 10:30:00 AM WEST,{ },{ok},19.2
06-Aug-24 10:45:01 AM WEST,{ },{ok},20.9
06-Aug-24 11:00:00 AM WEST,{ },{down},20.5
06-Aug-24 11:15:00 AM WEST,{ },{ok},21.6
06-Aug-24 11:30:00 AM WEST,{ },{ok},23.8
06-Aug-24 11:45:00 AM WEST,{ },{down},21.6
06-Aug-24 12:00:00 PM WEST,{ },{ok},23.1
06-Aug-24 12:15:00 PM WEST,{ },{ok},25.1
06-Aug-24 12:30:00 PM WEST,{ },{down},24.1
06-Aug-24 12:45:00 PM WEST,{ },{ok},24.7
06-Aug-24 1:00:00 PM WEST,{ },{down},27.2
06-Aug-24 1:15:00 PM WEST,{ },{down},27.2
06-Aug-24 1:30:00 PM WEST,{ },{down},27.4
06-Aug-24 1:45:00 PM WEST,{ },{ok},30.5
06-Aug-24 2:00:00 PM WEST,{ },{ok},30.7
06-Aug-24 2:15:00 PM WEST,{ },{ok},33.0
06-Aug-24 2:30:00 PM WEST,{ },{down},32.2
06-Aug-24 2:45:00 PM WEST,{ },{down},33.1
06-Aug-24 3:00:00 PM WEST,{ },{down},34.0
06-Aug-24 3:15:00 PM WEST,{ },{ok},34.3
06-Aug-24 3:30:00 PM WEST,{ },{ok},33.6
06-Aug-24 3:45:00 PM WEST,{ },{ok},33.0
