history:GTC_Multisite_Inwi/Etat de la porte BER_ONCF

Timestamp,Trend Flags,Status,Value
18-Nov-24 5:50:32 PM WEST,{start},{unackedAlarm},Fermé
18-Nov-24 6:12:04 PM WEST,{ },{ok},Fermé
25-Nov-24 11:36:38 AM WEST,{ },{ok},Ouvert
25-Nov-24 11:36:59 AM WEST,{ },{ok},Fermé
27-Nov-24 3:25:45 PM WEST,{ },{ok},Ouvert
27-Nov-24 3:27:45 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 3:31:11 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
27-Nov-24 5:50:21 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 6:19:04 PM WEST,{ },{unackedAlarm},Fermé
27-Nov-24 6:19:09 PM WEST,{ },{unackedAlarm},Ouvert
27-Nov-24 6:21:09 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 6:46:42 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
27-Nov-24 6:56:49 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 6:56:49 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
27-Nov-24 6:56:51 PM WEST,{ },{unackedAlarm},Fermé
28-Nov-24 10:08:25 AM WEST,{ },{ok},Fermé
08-Dec-24 9:46:19 AM WEST,{ },{down},Fermé
08-Dec-24 10:44:57 AM WEST,{ },{ok},Fermé
08-Dec-24 10:44:59 AM WEST,{ },{ok},Ouvert
08-Dec-24 10:46:59 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
08-Dec-24 10:55:34 AM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 5:39:34 PM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 5:41:35 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Dec-24 6:49:48 PM WEST,{ },{unackedAlarm},Fermé
12-Dec-24 1:41:39 PM WEST,{ },{unackedAlarm},Ouvert
12-Dec-24 1:43:39 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
12-Dec-24 1:50:24 PM WEST,{ },{unackedAlarm},Fermé
12-Dec-24 1:54:26 PM WEST,{ },{unackedAlarm},Ouvert
12-Dec-24 1:54:27 PM WEST,{ },{unackedAlarm},Fermé
12-Dec-24 4:33:30 PM WEST,{ },{unackedAlarm},Ouvert
12-Dec-24 4:35:30 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
12-Dec-24 4:36:33 PM WEST,{ },{unackedAlarm},Fermé
12-Dec-24 4:46:27 PM WEST,{ },{unackedAlarm},Ouvert
12-Dec-24 4:46:31 PM WEST,{ },{unackedAlarm},Fermé
12-Dec-24 4:54:41 PM WEST,{ },{unackedAlarm},Ouvert
