history:GTC_Multisite_Inwi/ZENITH-MCO Contacte Porte_IT

Timestamp,Trend Flags,Status,Value
13-Mar-25 11:30:23 AM WET,{start},"{alarm,unackedAlarm}",Ouvert
13-Mar-25 11:31:00 AM WET,{ },{ok},Ouvert
27-Mar-25 5:22:07 PM WET,{ },{ok},Fermé
27-Mar-25 7:10:50 PM WET,{ },{ok},Ouvert
09-Apr-25 4:23:38 PM WEST,{start},{ok},Ouvert
13-Apr-25 8:05:42 PM WEST,{start},{ok},Ouvert
23-Apr-25 12:10:54 PM WEST,{start},{ok},Ouvert
28-Apr-25 7:31:12 AM WEST,{ },{ok},Fermé
28-Apr-25 7:31:14 AM WEST,{ },{ok},Ouvert
29-Apr-25 7:31:15 AM WEST,{ },{ok},Fermé
29-Apr-25 7:31:16 AM WEST,{ },{ok},Ouvert
30-Apr-25 7:31:37 AM WEST,{ },{ok},Fermé
30-Apr-25 7:31:38 AM WEST,{ },{ok},Ouvert
07-May-25 7:29:10 AM WEST,{ },{ok},Fermé
07-May-25 7:29:11 AM WEST,{ },{ok},Ouvert
20-May-25 9:01:32 AM WEST,{start},{ok},Ouvert
21-May-25 3:57:44 PM WEST,{ },{ok},Fermé
21-May-25 3:57:45 PM WEST,{ },{ok},Ouvert
28-May-25 11:33:38 AM WEST,{ },{ok},Fermé
28-May-25 11:33:39 AM WEST,{ },{ok},Ouvert
28-May-25 12:00:52 PM WEST,{ },{down},Ouvert
28-May-25 12:05:56 PM WEST,{ },{ok},Ouvert
12-Jun-25 11:10:52 AM WEST,{start},{ok},Ouvert
12-Jun-25 12:16:54 PM WEST,{start},{ok},Ouvert
12-Jun-25 12:26:50 PM WEST,{start},{ok},Ouvert
12-Jun-25 12:29:23 PM WEST,{start},{ok},Ouvert
19-Jun-25 2:39:15 AM WEST,{ },{down},Ouvert
19-Jun-25 2:44:16 AM WEST,{ },{ok},Ouvert
19-Jun-25 1:01:54 PM WEST,{ },{down},Ouvert
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:09 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:09 AM WEST,{ },{ok},Ouvert
25-Jun-25 9:31:43 AM WEST,{start},{ok},Ouvert
25-Jun-25 3:57:19 PM WEST,{ },{ok},Fermé
25-Jun-25 3:57:20 PM WEST,{ },{ok},Ouvert
02-Jul-25 12:29:13 PM WEST,{start},{ok},Ouvert
09-Jul-25 3:49:23 PM WEST,{start},{ok},Ouvert
