history:GTC_Multisite_Inwi/Etat de la Porte CASA-NU

Timestamp,Trend Flags,Status,Value
12-Nov-24 8:38:23 PM WEST,{start},"{fault,stale}",Ouvert
13-Nov-24 11:10:49 AM WEST,{ },"{fault,stale}",Ouvert
13-Nov-24 11:11:03 AM WEST,{ },"{fault,stale}",Ouvert
14-Nov-24 11:41:22 AM WEST,{ },{ok},Fermé
17-Nov-24 12:01:07 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Nov-24 7:16:00 AM WEST,{ },{unackedAlarm},Fermé
19-Nov-24 1:10:50 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 5:32:37 PM WEST,{ },{unackedAlarm},Fermé
20-Nov-24 5:33:57 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 5:38:31 PM WEST,{ },{unackedAlarm},Fermé
20-Nov-24 5:40:03 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 5:45:43 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 12:00:25 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 12:01:51 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 12:42:54 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 12:43:00 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 1:07:45 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 1:07:54 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 1:29:31 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 1:29:48 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 2:26:07 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 2:44:47 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 2:44:54 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 2:45:22 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 3:46:41 PM WEST,{ },"{fault,unackedAlarm}",Fermé
21-Nov-24 4:52:07 PM WEST,{ },{fault},Fermé
24-Nov-24 9:01:10 PM WEST,{ },{ok},Fermé
24-Nov-24 9:01:37 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
24-Nov-24 9:04:15 PM WEST,{ },{unackedAlarm},Ouvert
25-Nov-24 9:06:55 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
27-Nov-24 10:46:55 AM WEST,{ },{unackedAlarm},Ouvert
27-Nov-24 1:08:17 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
27-Nov-24 9:33:44 PM WEST,{ },{unackedAlarm},Ouvert
28-Nov-24 3:15:51 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
28-Nov-24 8:48:13 PM WEST,{ },{unackedAlarm},Ouvert
29-Nov-24 11:37:35 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
29-Nov-24 11:59:39 AM WEST,{ },{unackedAlarm},Ouvert
29-Nov-24 12:18:20 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
29-Nov-24 12:18:31 PM WEST,{ },{unackedAlarm},Ouvert
29-Nov-24 12:18:42 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
29-Nov-24 12:22:43 PM WEST,{ },{unackedAlarm},Ouvert
29-Nov-24 2:07:18 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
29-Nov-24 2:07:29 PM WEST,{ },{unackedAlarm},Ouvert
30-Nov-24 10:19:49 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 9:45:47 AM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 10:03:12 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 10:03:13 AM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 10:03:34 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 10:03:45 AM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 10:14:44 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 11:13:52 AM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 11:51:54 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 12:10:35 PM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 12:17:28 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 12:17:36 PM WEST,{ },{unackedAlarm},Ouvert
02-Dec-24 6:07:35 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
02-Dec-24 6:07:47 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 10:09:53 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
03-Dec-24 10:57:59 AM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 11:02:57 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
03-Dec-24 11:03:00 AM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 12:33:33 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
03-Dec-24 12:33:49 PM WEST,{ },{unackedAlarm},Ouvert
03-Dec-24 5:47:57 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
06-Dec-24 4:51:05 PM WEST,{ },{unackedAlarm},Ouvert
06-Dec-24 6:06:31 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
