history:GTC_Multisite_Inwi/Etat de la porte JAD_ONE

Timestamp,Trend Flags,Status,Value
19-Nov-24 2:25:37 PM WEST,{start},{ok},Fermé
19-Nov-24 11:56:47 PM WEST,{ },{ok},Ouvert
20-Nov-24 12:09:10 AM WEST,{ },{ok},Fermé
20-Nov-24 12:09:17 AM WEST,{ },{ok},Ouvert
20-Nov-24 12:09:20 AM WEST,{ },{ok},Fermé
20-Nov-24 12:09:22 AM WEST,{ },{ok},Ouvert
20-Nov-24 12:09:23 AM WEST,{ },{ok},Fermé
20-Nov-24 12:10:04 AM WEST,{ },{ok},Ouvert
20-Nov-24 12:27:29 AM WEST,{ },{down},Ouvert
20-Nov-24 12:32:54 AM WEST,{ },{ok},Ouvert
20-Nov-24 12:32:54 AM WEST,{ },{stale},Ouvert
20-Nov-24 12:32:56 AM WEST,{ },{ok},Ouvert
20-Nov-24 12:50:58 AM WEST,{ },{ok},Fermé
22-Nov-24 7:12:17 PM WEST,{ },{down},Fermé
22-Nov-24 7:17:23 PM WEST,{ },{ok},Fermé
22-Nov-24 7:17:23 PM WEST,{ },{stale},Ouvert
22-Nov-24 7:17:25 PM WEST,{ },{ok},Fermé
28-Nov-24 2:10:15 PM WEST,{ },{ok},Ouvert
28-Nov-24 3:11:53 PM WEST,{ },{ok},Fermé
28-Nov-24 3:11:55 PM WEST,{ },{ok},Ouvert
28-Nov-24 3:12:00 PM WEST,{ },{ok},Fermé
28-Nov-24 3:14:33 PM WEST,{ },{ok},Ouvert
28-Nov-24 3:14:37 PM WEST,{ },{ok},Fermé
28-Nov-24 3:14:38 PM WEST,{ },{ok},Ouvert
28-Nov-24 4:25:08 PM WEST,{ },{fault},Ouvert
28-Nov-24 4:34:17 PM WEST,{ },"{fault,down}",Ouvert
28-Nov-24 5:27:17 PM WEST,{ },{fault},Ouvert
04-Dec-24 2:30:19 AM WEST,{ },"{fault,down}",Ouvert
04-Dec-24 2:56:50 AM WEST,{ },{fault},Ouvert
04-Dec-24 3:04:15 AM WEST,{ },"{fault,down}",Ouvert
04-Dec-24 4:02:58 AM WEST,{ },{fault},Ouvert
04-Dec-24 4:06:03 AM WEST,{ },"{fault,down}",Ouvert
04-Dec-24 4:27:12 AM WEST,{ },{fault},Ouvert
04-Dec-24 5:32:29 PM WEST,{ },"{fault,down}",Ouvert
04-Dec-24 5:37:31 PM WEST,{ },{fault},Ouvert
17-Jan-25 1:05:50 PM WEST,{start},"{fault,stale}",Ouvert
28-Jan-25 4:53:16 PM WEST,{start},"{fault,stale}",Ouvert
29-Jan-25 9:27:30 AM WEST,{start},"{fault,stale}",Ouvert
29-Jan-25 11:16:18 AM WEST,{ },{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
11-Feb-25 11:37:27 AM WEST,{start},{ok},Fermé
11-Feb-25 3:05:11 PM WEST,{ },{ok},Ouvert
11-Feb-25 3:27:44 PM WEST,{ },{ok},Fermé
12-Feb-25 2:26:07 AM WEST,{ },{down},Fermé
12-Feb-25 2:57:23 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:43 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:36 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
26-Feb-25 2:16:37 AM WET,{ },{down},Fermé
26-Feb-25 2:21:41 AM WET,{ },{ok},Fermé
27-Feb-25 11:38:59 AM WET,{ },{ok},Ouvert
27-Feb-25 2:35:09 PM WET,{ },{ok},Fermé
27-Feb-25 6:53:08 PM WET,{ },{ok},Ouvert
27-Feb-25 6:53:09 PM WET,{ },{ok},Fermé
28-Feb-25 1:52:57 AM WET,{ },{down},Fermé
28-Feb-25 1:58:06 AM WET,{ },{ok},Fermé
20-Mar-25 2:04:31 PM WET,{ },{ok},Ouvert
20-Mar-25 2:04:41 PM WET,{ },{ok},Fermé
20-Mar-25 3:44:14 PM WET,{ },{ok},Ouvert
20-Mar-25 3:44:16 PM WET,{ },{ok},Fermé
20-Mar-25 4:07:09 PM WET,{ },{ok},Ouvert
