history:GTC_Multisite_Inwi/Température Ambiante JAD_ONE

Timestamp,Trend Flags,Status,Value (°C)
10-Aug-24 5:15:00 PM WEST,{start},{ok},22.4
10-Aug-24 5:30:00 PM WEST,{ },{ok},22.5
10-Aug-24 5:45:00 PM WEST,{ },{ok},22.6
10-Aug-24 6:00:00 PM WEST,{ },{ok},22.7
10-Aug-24 6:15:00 PM WEST,{ },{ok},18.2
10-Aug-24 6:30:00 PM WEST,{ },{ok},17.6
10-Aug-24 6:45:00 PM WEST,{ },{ok},17.2
10-Aug-24 7:00:00 PM WEST,{ },{ok},17.5
10-Aug-24 7:15:00 PM WEST,{ },{ok},17.0
10-Aug-24 7:30:00 PM WEST,{ },{ok},17.2
10-Aug-24 7:45:00 PM WEST,{ },{ok},17.4
10-Aug-24 8:00:00 PM WEST,{ },{ok},17.0
10-Aug-24 8:15:00 PM WEST,{ },{ok},21.0
10-Aug-24 8:30:00 PM WEST,{ },{ok},22.6
10-Aug-24 8:45:00 PM WEST,{ },{ok},22.4
10-Aug-24 9:00:00 PM WEST,{ },{ok},22.3
10-Aug-24 9:15:00 PM WEST,{ },{ok},22.2
10-Aug-24 9:30:00 PM WEST,{ },{ok},22.2
10-Aug-24 9:45:00 PM WEST,{ },{ok},22.1
10-Aug-24 10:00:00 PM WEST,{ },{ok},22.0
10-Aug-24 10:15:00 PM WEST,{ },{ok},17.1
10-Aug-24 10:30:00 PM WEST,{ },{ok},16.5
10-Aug-24 10:45:00 PM WEST,{ },{ok},16.0
10-Aug-24 11:00:00 PM WEST,{ },{ok},19.7
10-Aug-24 11:15:00 PM WEST,{ },{ok},16.4
10-Aug-24 11:30:01 PM WEST,{ },{ok},16.5
10-Aug-24 11:45:00 PM WEST,{ },{ok},17.1
11-Aug-24 12:00:00 AM WEST,{ },{ok},16.4
11-Aug-24 12:15:00 AM WEST,{ },{ok},20.6
11-Aug-24 12:30:00 AM WEST,{ },{ok},21.7
11-Aug-24 12:45:00 AM WEST,{ },{ok},21.4
11-Aug-24 1:00:00 AM WEST,{ },{ok},21.2
11-Aug-24 1:15:01 AM WEST,{ },{ok},21.1
11-Aug-24 1:30:00 AM WEST,{ },{ok},21.0
11-Aug-24 1:45:00 AM WEST,{ },{ok},20.8
11-Aug-24 2:00:00 AM WEST,{ },{ok},21.5
11-Aug-24 2:15:00 AM WEST,{ },{ok},16.4
11-Aug-24 2:30:00 AM WEST,{ },{ok},16.0
11-Aug-24 2:45:01 AM WEST,{ },{ok},15.9
11-Aug-24 3:00:00 AM WEST,{ },{ok},16.2
11-Aug-24 3:15:00 AM WEST,{ },{ok},15.8
11-Aug-24 3:30:00 AM WEST,{ },{ok},15.8
11-Aug-24 3:45:00 AM WEST,{ },{ok},15.7
11-Aug-24 4:00:00 AM WEST,{ },{ok},15.5
11-Aug-24 4:15:00 AM WEST,{ },{ok},21.3
11-Aug-24 4:30:00 AM WEST,{ },{ok},21.4
11-Aug-24 4:45:01 AM WEST,{ },{ok},20.8
11-Aug-24 5:00:00 AM WEST,{ },{ok},20.8
11-Aug-24 5:15:01 AM WEST,{ },{ok},21.0
11-Aug-24 5:30:00 AM WEST,{ },{ok},21.2
11-Aug-24 5:45:00 AM WEST,{ },{ok},21.3
11-Aug-24 6:00:00 AM WEST,{ },{ok},16.5
11-Aug-24 6:15:00 AM WEST,{ },{ok},15.8
11-Aug-24 6:30:00 AM WEST,{ },{ok},15.7
11-Aug-24 6:45:00 AM WEST,{ },{ok},16.1
11-Aug-24 7:00:00 AM WEST,{ },{ok},15.5
11-Aug-24 7:15:01 AM WEST,{ },{ok},15.5
