history:GTC_Multisite_Inwi/Etat de la Porte KHO_ONE

Timestamp,Trend Flags,Status,Value
19-Nov-24 11:03:22 PM WEST,{start},{unackedAlarm},Fermé
19-Nov-24 11:12:54 PM WEST,{ },{ok},Fermé
23-Nov-24 9:50:20 AM WEST,{ },{down},Fermé
23-Nov-24 9:55:26 AM WEST,{ },{ok},Fermé
23-Nov-24 9:55:26 AM WEST,{ },{stale},Ouvert
23-Nov-24 9:55:28 AM WEST,{ },{ok},Fermé
27-Nov-24 12:02:57 AM WEST,{ },{ok},Ouvert
27-Nov-24 12:04:57 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Nov-24 12:25:32 AM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 11:43:35 AM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 11:45:35 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 1:54:10 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
04-Dec-24 5:06:58 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 5:06:58 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
04-Dec-24 5:07:00 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 5:45:29 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:41:22 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:43:22 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 6:44:33 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:45:56 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:45:57 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:46:05 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:46:16 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:52:25 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:52:26 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:52:37 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:52:38 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:53:08 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:53:09 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:54:21 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:54:25 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:54:27 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:54:31 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:54:38 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:54:44 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:54:45 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:54:50 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:54:51 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:56:51 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
04-Dec-24 6:59:12 PM WEST,{ },{unackedAlarm},Fermé
04-Dec-24 6:59:18 PM WEST,{ },{unackedAlarm},Ouvert
04-Dec-24 6:59:19 PM WEST,{ },{unackedAlarm},Fermé
10-Dec-24 12:39:32 PM WEST,{ },{unackedAlarm},Ouvert
10-Dec-24 12:41:33 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
10-Dec-24 1:00:06 PM WEST,{ },{unackedAlarm},Fermé
11-Dec-24 12:36:49 PM WEST,{ },{unackedAlarm},Ouvert
11-Dec-24 12:38:49 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
11-Dec-24 5:44:27 PM WEST,{ },{unackedAlarm},Fermé
19-Dec-24 1:27:21 PM WEST,{ },{unackedAlarm},Ouvert
19-Dec-24 1:29:21 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
19-Dec-24 1:45:08 PM WEST,{ },{unackedAlarm},Fermé
27-Dec-24 1:04:36 PM WEST,{ },{unackedAlarm},Ouvert
27-Dec-24 1:06:37 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
27-Dec-24 2:29:52 PM WEST,{ },{unackedAlarm},Fermé
08-Jan-25 2:53:47 PM WEST,{ },{unackedAlarm},Ouvert
08-Jan-25 2:55:48 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
08-Jan-25 3:04:46 PM WEST,{ },{unackedAlarm},Fermé
09-Jan-25 10:41:01 AM WEST,{ },{unackedAlarm},Ouvert
09-Jan-25 10:43:01 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 10:49:29 AM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
09-Jan-25 11:21:23 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 11:21:24 AM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
09-Jan-25 11:21:26 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 11:46:45 AM WEST,{ },{unackedAlarm},Fermé
09-Jan-25 11:46:58 AM WEST,{ },{unackedAlarm},Ouvert
09-Jan-25 11:48:58 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
09-Jan-25 1:03:48 PM WEST,{ },{unackedAlarm},Fermé
13-Jan-25 9:13:04 AM WEST,{ },{unackedAlarm},Ouvert
13-Jan-25 9:15:04 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
13-Jan-25 1:04:54 PM WEST,{ },{unackedAlarm},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{unackedAlarm},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{unackedAlarm},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{unackedAlarm},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{unackedAlarm},Fermé
11-Feb-25 11:37:27 AM WEST,{start},{unackedAlarm},Fermé
