history:GTC_Multisite_Inwi/Température Ambiante KHO_ONE

Timestamp,Trend Flags,Status,Value (°C)
14-Aug-25 10:15:01 AM WEST,{ },{unackedAlarm},25.5
14-Aug-25 10:30:00 AM WEST,{ },{unackedAlarm},25.1
14-Aug-25 10:45:00 AM WEST,{ },{unackedAlarm},25.3
14-Aug-25 11:00:00 AM WEST,{ },{unackedAlarm},25.6
14-Aug-25 11:15:00 AM WEST,{ },{unackedAlarm},26.0
14-Aug-25 11:30:00 AM WEST,{ },{unackedAlarm},26.0
14-Aug-25 11:45:00 AM WEST,{ },{unackedAlarm},26.0
14-Aug-25 12:00:00 PM WEST,{ },{unackedAlarm},26.1
14-Aug-25 12:15:00 PM WEST,{ },"{alarm,unackedAlarm}",26.2
14-Aug-25 12:30:01 PM WEST,{ },{unackedAlarm},26.0
14-Aug-25 12:45:00 PM WEST,{ },{unackedAlarm},26.2
14-Aug-25 1:00:01 PM WEST,{ },"{alarm,unackedAlarm}",26.3
14-Aug-25 1:15:01 PM WEST,{ },"{alarm,unackedAlarm}",26.7
14-Aug-25 1:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.8
14-Aug-25 1:45:00 PM WEST,{ },"{alarm,unackedAlarm}",26.9
14-Aug-25 2:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.1
14-Aug-25 2:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.4
14-Aug-25 2:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.1
14-Aug-25 2:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
14-Aug-25 3:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.7
14-Aug-25 3:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 3:30:00 PM WEST,{ },"{alarm,unackedAlarm}",28.0
14-Aug-25 3:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.9
14-Aug-25 4:00:00 PM WEST,{ },"{alarm,unackedAlarm}",28.0
14-Aug-25 4:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.3
14-Aug-25 4:30:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 4:45:01 PM WEST,{ },"{alarm,unackedAlarm}",28.3
14-Aug-25 5:00:00 PM WEST,{ },"{alarm,unackedAlarm}",28.6
14-Aug-25 5:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.7
14-Aug-25 5:30:00 PM WEST,{ },"{alarm,unackedAlarm}",26.4
14-Aug-25 5:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.8
14-Aug-25 6:00:01 PM WEST,{ },"{alarm,unackedAlarm}",28.0
14-Aug-25 6:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 6:30:00 PM WEST,{ },"{alarm,unackedAlarm}",28.2
14-Aug-25 6:45:00 PM WEST,{ },"{alarm,unackedAlarm}",28.4
14-Aug-25 7:00:01 PM WEST,{ },"{alarm,unackedAlarm}",28.6
14-Aug-25 7:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.6
14-Aug-25 7:30:00 PM WEST,{ },"{alarm,unackedAlarm}",28.4
14-Aug-25 7:45:01 PM WEST,{ },"{alarm,unackedAlarm}",28.2
14-Aug-25 8:00:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 8:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.2
14-Aug-25 8:30:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 8:45:00 PM WEST,{ },"{alarm,unackedAlarm}",28.3
14-Aug-25 9:00:00 PM WEST,{ },"{alarm,unackedAlarm}",28.2
14-Aug-25 9:15:01 PM WEST,{ },"{alarm,unackedAlarm}",28.3
14-Aug-25 9:30:01 PM WEST,{ },"{alarm,unackedAlarm}",28.2
14-Aug-25 9:45:01 PM WEST,{ },"{alarm,unackedAlarm}",28.0
14-Aug-25 10:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.9
14-Aug-25 10:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.9
14-Aug-25 10:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.7
14-Aug-25 10:45:02 PM WEST,{ },"{alarm,unackedAlarm}",27.9
14-Aug-25 11:00:01 PM WEST,{ },"{alarm,unackedAlarm}",28.0
14-Aug-25 11:15:00 PM WEST,{ },"{alarm,unackedAlarm}",28.1
14-Aug-25 11:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.8
14-Aug-25 11:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
15-Aug-25 12:00:00 AM WEST,{ },"{alarm,unackedAlarm}",27.4
15-Aug-25 12:15:00 AM WEST,{ },"{alarm,unackedAlarm}",27.5
15-Aug-25 12:30:00 AM WEST,{ },"{alarm,unackedAlarm}",27.2
15-Aug-25 12:45:01 AM WEST,{ },"{alarm,unackedAlarm}",27.3
15-Aug-25 1:00:00 AM WEST,{ },"{alarm,unackedAlarm}",27.4
15-Aug-25 1:15:01 AM WEST,{ },"{alarm,unackedAlarm}",27.4
15-Aug-25 1:30:00 AM WEST,{ },"{alarm,unackedAlarm}",27.0
15-Aug-25 1:45:00 AM WEST,{ },"{alarm,unackedAlarm}",26.7
15-Aug-25 2:00:01 AM WEST,{ },"{alarm,unackedAlarm}",26.6
15-Aug-25 2:15:00 AM WEST,{ },"{alarm,unackedAlarm}",26.7
15-Aug-25 2:30:00 AM WEST,{ },"{alarm,unackedAlarm}",26.6
15-Aug-25 2:45:00 AM WEST,{ },"{alarm,unackedAlarm}",26.6
15-Aug-25 3:00:00 AM WEST,{ },"{alarm,unackedAlarm}",26.7
15-Aug-25 3:15:00 AM WEST,{ },"{alarm,unackedAlarm}",26.6
15-Aug-25 3:30:00 AM WEST,{ },"{alarm,unackedAlarm}",26.1
15-Aug-25 3:45:00 AM WEST,{ },{unackedAlarm},25.9
15-Aug-25 4:00:00 AM WEST,{ },{unackedAlarm},25.8
15-Aug-25 4:15:00 AM WEST,{ },{unackedAlarm},26.0
15-Aug-25 4:30:00 AM WEST,{ },{unackedAlarm},26.0
15-Aug-25 4:45:00 AM WEST,{ },{unackedAlarm},26.3
15-Aug-25 5:00:00 AM WEST,{ },"{alarm,unackedAlarm}",26.5
15-Aug-25 5:15:00 AM WEST,{ },{unackedAlarm},26.0
15-Aug-25 5:30:00 AM WEST,{ },{unackedAlarm},25.6
15-Aug-25 5:45:00 AM WEST,{ },{unackedAlarm},25.4
15-Aug-25 6:00:00 AM WEST,{ },{unackedAlarm},25.4
15-Aug-25 6:15:00 AM WEST,{ },{unackedAlarm},25.6
15-Aug-25 6:30:00 AM WEST,{ },{unackedAlarm},25.7
