history:GTC_Multisite_Inwi/Etat de la porte MOH_ONE

Timestamp,Trend Flags,Status,Value
20-Nov-24 12:04:14 AM WEST,{start},{ok},Fermé
20-Nov-24 12:10:44 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 2:42:16 PM WEST,{ },{unackedAlarm},Fermé
20-Nov-24 3:15:38 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Nov-24 5:10:56 PM WEST,{ },{unackedAlarm},Fermé
21-Nov-24 2:16:42 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
21-Nov-24 5:56:16 PM WEST,{ },{unackedAlarm},Fermé
22-Nov-24 2:08:08 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
22-Nov-24 3:34:15 PM WEST,{ },{unackedAlarm},Fermé
25-Nov-24 11:49:04 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Nov-24 2:39:22 PM WEST,{ },{unackedAlarm},Fermé
25-Nov-24 3:26:36 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Nov-24 3:47:47 PM WEST,{ },{unackedAlarm},Fermé
28-Nov-24 12:09:13 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 12:10:48 AM WEST,{ },{unackedAlarm},Fermé
28-Nov-24 1:59:03 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 2:01:03 AM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
28-Nov-24 2:06:05 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 2:06:06 AM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
28-Nov-24 2:06:08 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
28-Nov-24 2:44:22 AM WEST,{ },{unackedAlarm},Fermé
02-Dec-24 12:33:08 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
02-Dec-24 12:37:40 PM WEST,{ },{unackedAlarm},Fermé
02-Dec-24 12:45:42 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
02-Dec-24 12:47:27 PM WEST,{ },{unackedAlarm},Fermé
06-Dec-24 3:47:52 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
06-Dec-24 3:51:53 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
06-Dec-24 3:56:54 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
06-Dec-24 4:04:30 PM WEST,{ },"{down,alarm,unackedAlarm}",Ouvert
06-Dec-24 6:23:24 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
06-Dec-24 6:23:24 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
09-Dec-24 4:26:55 PM WEST,{ },"{fault,down,alarm,unackedAlarm}",Ouvert
09-Dec-24 4:36:58 PM WEST,{ },"{fault,alarm,unackedAlarm}",Ouvert
10-Dec-24 11:37:22 AM WEST,{ },{unackedAlarm},Fermé
13-Dec-24 3:09:29 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
13-Dec-24 3:39:41 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 1:28:35 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 1:32:04 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 1:37:48 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 1:49:37 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 1:50:02 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 1:50:46 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 2:01:18 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 2:17:07 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 2:38:14 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 6:16:03 PM WEST,{ },{unackedAlarm},Fermé
16-Dec-24 6:16:12 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
16-Dec-24 6:16:21 PM WEST,{ },{unackedAlarm},Fermé
17-Dec-24 10:53:14 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
17-Dec-24 4:50:59 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 10:21:56 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 4:40:29 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 4:40:30 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 4:40:31 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 4:46:05 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 6:01:27 PM WEST,{ },{unackedAlarm},Fermé
18-Dec-24 6:10:53 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
18-Dec-24 6:12:03 PM WEST,{ },{unackedAlarm},Fermé
19-Dec-24 11:28:38 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
19-Dec-24 5:40:12 PM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 3:00:01 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 3:02:47 PM WEST,{ },{unackedAlarm},Fermé
20-Dec-24 4:06:34 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
20-Dec-24 7:32:53 PM WEST,{ },{unackedAlarm},Fermé
22-Dec-24 8:36:10 PM WEST,{ },"{down,unackedAlarm}",Fermé
22-Dec-24 8:55:03 PM WEST,{ },{unackedAlarm},Fermé
23-Dec-24 10:02:15 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
23-Dec-24 1:55:23 PM WEST,{ },{unackedAlarm},Fermé
23-Dec-24 2:02:43 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
23-Dec-24 2:54:38 PM WEST,{ },{unackedAlarm},Fermé
24-Dec-24 9:54:37 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
24-Dec-24 5:20:59 PM WEST,{ },{unackedAlarm},Fermé
25-Dec-24 3:56:27 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Dec-24 3:58:49 PM WEST,{ },{unackedAlarm},Fermé
25-Dec-24 4:00:44 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Dec-24 4:01:18 PM WEST,{ },{unackedAlarm},Fermé
25-Dec-24 6:06:42 PM WEST,{ },"{alarm,unackedAlarm}",Ouvert
25-Dec-24 6:07:47 PM WEST,{ },{unackedAlarm},Fermé
31-Dec-24 9:30:09 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
31-Dec-24 9:32:39 AM WEST,{ },{unackedAlarm},Fermé
31-Dec-24 9:54:33 AM WEST,{ },"{alarm,unackedAlarm}",Ouvert
31-Dec-24 2:25:04 PM WEST,{ },{unackedAlarm},Fermé
