history:GTC_Multisite_Inwi/MOH-ONE Power_Total_Clim

Timestamp,Trend Flags,Status,Value (kW)
22-Jul-24 1:00:00 PM WEST,{start},{ok},0.07
22-Jul-24 1:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 1:30:00 PM WEST,{ },{ok},0.06
22-Jul-24 1:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 2:00:00 PM WEST,{ },{ok},0.08
22-Jul-24 2:15:00 PM WEST,{ },{ok},0.08
22-Jul-24 2:30:00 PM WEST,{ },{ok},0.07
22-Jul-24 2:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 3:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 3:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 3:30:00 PM WEST,{ },{ok},0.08
22-Jul-24 3:45:00 PM WEST,{ },{ok},0.08
22-Jul-24 4:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 4:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 4:30:00 PM WEST,{ },{ok},0.07
22-Jul-24 4:45:00 PM WEST,{ },{ok},0.08
22-Jul-24 5:00:00 PM WEST,{ },{ok},0.08
22-Jul-24 5:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 5:30:00 PM WEST,{ },{ok},0.06
22-Jul-24 5:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 6:00:00 PM WEST,{ },{ok},0.08
22-Jul-24 6:15:00 PM WEST,{ },{ok},0.08
22-Jul-24 6:30:00 PM WEST,{ },{ok},0.08
22-Jul-24 6:45:00 PM WEST,{ },{ok},0.06
22-Jul-24 7:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 7:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 7:30:00 PM WEST,{ },{ok},0.07
22-Jul-24 7:45:00 PM WEST,{ },{ok},0.08
22-Jul-24 8:00:00 PM WEST,{ },{ok},0.06
22-Jul-24 8:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 8:30:00 PM WEST,{ },{ok},0.06
22-Jul-24 8:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 9:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 9:15:00 PM WEST,{ },{ok},0.08
22-Jul-24 9:30:00 PM WEST,{ },{ok},0.06
22-Jul-24 9:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 10:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 10:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 10:30:00 PM WEST,{ },{ok},0.08
22-Jul-24 10:45:00 PM WEST,{ },{ok},0.07
22-Jul-24 11:00:00 PM WEST,{ },{ok},0.07
22-Jul-24 11:15:00 PM WEST,{ },{ok},0.07
22-Jul-24 11:30:00 PM WEST,{ },{ok},0.07
22-Jul-24 11:45:00 PM WEST,{ },{ok},0.07
23-Jul-24 12:00:00 AM WEST,{ },{ok},0.07
23-Jul-24 12:15:00 AM WEST,{ },{ok},0.07
23-Jul-24 12:30:00 AM WEST,{ },{ok},0.07
23-Jul-24 12:45:00 AM WEST,{ },{ok},0.08
23-Jul-24 1:00:00 AM WEST,{ },{ok},0.07
23-Jul-24 1:15:00 AM WEST,{ },{ok},0.08
23-Jul-24 1:30:00 AM WEST,{ },{ok},0.06
23-Jul-24 1:45:00 AM WEST,{ },{ok},0.09
23-Jul-24 2:00:00 AM WEST,{ },{ok},0.07
23-Jul-24 2:15:00 AM WEST,{ },{ok},0.08
23-Jul-24 2:30:00 AM WEST,{ },{ok},0.07
23-Jul-24 2:45:00 AM WEST,{ },{ok},0.07
23-Jul-24 3:00:00 AM WEST,{ },{ok},0.09
23-Jul-24 3:15:00 AM WEST,{ },{ok},0.06
23-Jul-24 3:30:00 AM WEST,{ },{ok},0.10
23-Jul-24 3:45:00 AM WEST,{ },{ok},0.10
23-Jul-24 4:00:00 AM WEST,{ },{ok},0.07
23-Jul-24 4:15:00 AM WEST,{ },{ok},0.09
23-Jul-24 4:30:00 AM WEST,{ },{ok},0.06
23-Jul-24 4:45:00 AM WEST,{ },{ok},0.07
23-Jul-24 5:00:00 AM WEST,{ },{ok},0.10
23-Jul-24 5:15:00 AM WEST,{ },{ok},0.08
23-Jul-24 5:30:00 AM WEST,{ },{ok},0.09
23-Jul-24 5:45:01 AM WEST,{ },{ok},0.06
