history:GTC_Multisite_Inwi/MOH-ONE Power_Total_ARRIVE

Timestamp,Trend Flags,Status,Value (kW)
22-Jul-24 1:00:00 PM WEST,{start},{ok},1.71
22-Jul-24 1:15:00 PM WEST,{ },{ok},0.36
22-Jul-24 1:30:00 PM WEST,{ },{ok},1.02
22-Jul-24 1:45:00 PM WEST,{ },{ok},1.04
22-Jul-24 2:00:00 PM WEST,{ },{ok},0.34
22-Jul-24 2:15:00 PM WEST,{ },{ok},1.04
22-Jul-24 2:30:00 PM WEST,{ },{ok},1.03
22-Jul-24 2:45:00 PM WEST,{ },{ok},0.35
22-Jul-24 3:00:00 PM WEST,{ },{ok},1.09
22-Jul-24 3:15:00 PM WEST,{ },{ok},1.73
22-Jul-24 3:30:00 PM WEST,{ },{ok},0.37
22-Jul-24 3:45:00 PM WEST,{ },{ok},1.05
22-Jul-24 4:00:00 PM WEST,{ },{ok},1.74
22-Jul-24 4:15:00 PM WEST,{ },{ok},0.34
22-Jul-24 4:30:00 PM WEST,{ },{ok},1.63
22-Jul-24 4:45:00 PM WEST,{ },{ok},0.34
22-Jul-24 5:00:00 PM WEST,{ },{ok},1.61
22-Jul-24 5:15:00 PM WEST,{ },{ok},0.49
22-Jul-24 5:30:00 PM WEST,{ },{ok},1.67
22-Jul-24 5:45:00 PM WEST,{ },{ok},1.62
22-Jul-24 6:00:00 PM WEST,{ },{ok},0.30
22-Jul-24 6:15:00 PM WEST,{ },{ok},1.54
22-Jul-24 6:30:00 PM WEST,{ },{ok},0.31
22-Jul-24 6:45:00 PM WEST,{ },{ok},1.65
22-Jul-24 7:00:00 PM WEST,{ },{ok},0.29
22-Jul-24 7:15:00 PM WEST,{ },{ok},0.98
22-Jul-24 7:30:00 PM WEST,{ },{ok},1.65
22-Jul-24 7:45:00 PM WEST,{ },{ok},0.37
22-Jul-24 8:00:00 PM WEST,{ },{ok},1.71
22-Jul-24 8:15:00 PM WEST,{ },{ok},0.31
22-Jul-24 8:30:00 PM WEST,{ },{ok},1.65
22-Jul-24 8:45:00 PM WEST,{ },{ok},1.63
22-Jul-24 9:00:00 PM WEST,{ },{ok},1.60
22-Jul-24 9:15:00 PM WEST,{ },{ok},0.29
22-Jul-24 9:30:00 PM WEST,{ },{ok},1.64
22-Jul-24 9:45:00 PM WEST,{ },{ok},0.29
22-Jul-24 10:00:00 PM WEST,{ },{ok},1.00
22-Jul-24 10:15:00 PM WEST,{ },{ok},1.64
22-Jul-24 10:30:00 PM WEST,{ },{ok},0.30
22-Jul-24 10:45:00 PM WEST,{ },{ok},0.99
22-Jul-24 11:00:00 PM WEST,{ },{ok},0.95
22-Jul-24 11:15:00 PM WEST,{ },{ok},0.97
22-Jul-24 11:30:00 PM WEST,{ },{ok},1.60
22-Jul-24 11:45:00 PM WEST,{ },{ok},1.67
23-Jul-24 12:00:00 AM WEST,{ },{ok},1.63
23-Jul-24 12:15:00 AM WEST,{ },{ok},0.35
23-Jul-24 12:30:00 AM WEST,{ },{ok},1.62
23-Jul-24 12:45:00 AM WEST,{ },{ok},0.30
23-Jul-24 1:00:00 AM WEST,{ },{ok},1.63
23-Jul-24 1:15:00 AM WEST,{ },{ok},0.29
23-Jul-24 1:30:00 AM WEST,{ },{ok},1.53
23-Jul-24 1:45:00 AM WEST,{ },{ok},0.24
23-Jul-24 2:00:00 AM WEST,{ },{ok},1.57
23-Jul-24 2:15:00 AM WEST,{ },{ok},0.28
23-Jul-24 2:30:00 AM WEST,{ },{ok},1.56
23-Jul-24 2:45:00 AM WEST,{ },{ok},0.25
23-Jul-24 3:00:00 AM WEST,{ },{ok},0.24
23-Jul-24 3:15:00 AM WEST,{ },{ok},1.54
23-Jul-24 3:30:00 AM WEST,{ },{ok},0.20
23-Jul-24 3:45:00 AM WEST,{ },{ok},0.18
23-Jul-24 4:00:00 AM WEST,{ },{ok},1.53
23-Jul-24 4:15:00 AM WEST,{ },{ok},0.19
23-Jul-24 4:30:00 AM WEST,{ },{ok},1.54
23-Jul-24 4:45:00 AM WEST,{ },{ok},1.48
23-Jul-24 5:00:00 AM WEST,{ },{ok},0.21
23-Jul-24 5:15:00 AM WEST,{ },{ok},0.85
23-Jul-24 5:30:00 AM WEST,{ },{ok},0.19
23-Jul-24 5:45:01 AM WEST,{ },{ok},1.54
23-Jul-24 6:00:00 AM WEST,{ },{ok},1.52
23-Jul-24 6:15:00 AM WEST,{ },{ok},0.20
23-Jul-24 6:30:00 AM WEST,{ },{ok},1.52
23-Jul-24 6:45:00 AM WEST,{ },{ok},0.22
23-Jul-24 7:00:00 AM WEST,{ },{ok},1.52
23-Jul-24 7:15:00 AM WEST,{ },{ok},0.87
23-Jul-24 7:30:00 AM WEST,{ },{ok},0.90
23-Jul-24 7:45:00 AM WEST,{ },{ok},0.87
23-Jul-24 8:00:01 AM WEST,{ },{ok},0.25
23-Jul-24 8:15:00 AM WEST,{ },{ok},0.91
23-Jul-24 8:30:00 AM WEST,{ },{ok},0.28
23-Jul-24 8:45:00 AM WEST,{ },{ok},1.65
23-Jul-24 9:00:00 AM WEST,{ },{ok},0.33
23-Jul-24 9:15:00 AM WEST,{ },{ok},0.94
23-Jul-24 9:30:00 AM WEST,{ },{ok},0.31
23-Jul-24 9:45:00 AM WEST,{ },{ok},1.63
23-Jul-24 10:00:00 AM WEST,{ },{ok},0.32
23-Jul-24 10:15:00 AM WEST,{ },{ok},1.64
23-Jul-24 10:30:00 AM WEST,{ },{ok},0.33
23-Jul-24 10:45:00 AM WEST,{ },{ok},0.98
23-Jul-24 11:00:00 AM WEST,{ },{ok},1.68
23-Jul-24 11:15:00 AM WEST,{ },{ok},0.34
23-Jul-24 11:30:00 AM WEST,{ },{ok},1.73
23-Jul-24 11:45:01 AM WEST,{ },{ok},1.02
23-Jul-24 12:00:00 PM WEST,{ },{ok},0.36
23-Jul-24 12:15:00 PM WEST,{ },{ok},1.03
23-Jul-24 12:30:00 PM WEST,{ },{ok},1.02
23-Jul-24 12:45:00 PM WEST,{ },{ok},1.10
23-Jul-24 1:00:00 PM WEST,{ },{ok},0.34
23-Jul-24 1:15:00 PM WEST,{ },{ok},1.77
23-Jul-24 1:30:00 PM WEST,{ },{ok},0.31
23-Jul-24 1:45:00 PM WEST,{ },{ok},1.00
23-Jul-24 2:00:00 PM WEST,{ },{ok},1.00
23-Jul-24 2:15:00 PM WEST,{ },{ok},1.71
23-Jul-24 2:30:00 PM WEST,{ },{ok},0.99
23-Jul-24 2:45:00 PM WEST,{ },{ok},1.05
23-Jul-24 3:00:00 PM WEST,{ },{ok},1.65
23-Jul-24 3:15:00 PM WEST,{ },{ok},1.04
23-Jul-24 3:30:00 PM WEST,{ },{ok},0.35
23-Jul-24 3:45:01 PM WEST,{ },{ok},1.02
23-Jul-24 4:00:00 PM WEST,{ },{ok},1.68
23-Jul-24 4:15:00 PM WEST,{ },{ok},0.35
23-Jul-24 4:30:00 PM WEST,{ },{ok},1.59
23-Jul-24 4:45:00 PM WEST,{ },{ok},1.56
23-Jul-24 5:00:00 PM WEST,{ },{ok},0.30
23-Jul-24 5:15:01 PM WEST,{ },{ok},0.99
23-Jul-24 5:30:00 PM WEST,{ },{ok},1.55
23-Jul-24 5:45:00 PM WEST,{ },{ok},0.27
23-Jul-24 6:00:00 PM WEST,{ },{ok},1.60
23-Jul-24 6:15:00 PM WEST,{ },{ok},0.29
23-Jul-24 6:30:00 PM WEST,{ },{ok},1.68
23-Jul-24 6:45:00 PM WEST,{ },{ok},1.03
23-Jul-24 7:00:00 PM WEST,{ },{ok},0.99
23-Jul-24 7:15:00 PM WEST,{ },{ok},0.92
23-Jul-24 7:30:01 PM WEST,{ },{ok},1.70
23-Jul-24 7:45:01 PM WEST,{ },{ok},0.24
23-Jul-24 8:00:01 PM WEST,{ },{ok},1.63
23-Jul-24 8:15:00 PM WEST,{ },{ok},1.68
23-Jul-24 8:30:00 PM WEST,{ },{ok},1.02
23-Jul-24 8:45:00 PM WEST,{ },{ok},0.29
23-Jul-24 9:00:01 PM WEST,{ },{ok},0.96
23-Jul-24 9:15:00 PM WEST,{ },{ok},1.66
23-Jul-24 9:30:00 PM WEST,{ },{ok},0.32
23-Jul-24 9:45:00 PM WEST,{ },{ok},1.03
23-Jul-24 10:00:00 PM WEST,{ },{ok},1.67
23-Jul-24 10:15:00 PM WEST,{ },{ok},0.30
23-Jul-24 10:30:00 PM WEST,{ },{ok},1.62
23-Jul-24 10:45:00 PM WEST,{ },{ok},1.62
23-Jul-24 11:00:00 PM WEST,{ },{ok},0.30
23-Jul-24 11:15:00 PM WEST,{ },{ok},1.68
23-Jul-24 11:30:01 PM WEST,{ },{ok},1.02
23-Jul-24 11:45:00 PM WEST,{ },{ok},0.33
24-Jul-24 12:00:00 AM WEST,{ },{ok},1.70
24-Jul-24 12:15:00 AM WEST,{ },{ok},1.60
24-Jul-24 12:30:00 AM WEST,{ },{ok},0.28
24-Jul-24 12:45:00 AM WEST,{ },{ok},1.62
24-Jul-24 1:00:00 AM WEST,{ },{ok},0.27
24-Jul-24 1:15:00 AM WEST,{ },{ok},1.60
24-Jul-24 1:30:00 AM WEST,{ },{ok},0.29
24-Jul-24 1:45:00 AM WEST,{ },{ok},0.89
24-Jul-24 2:00:00 AM WEST,{ },{ok},0.24
24-Jul-24 2:15:00 AM WEST,{ },{ok},0.89
24-Jul-24 2:30:00 AM WEST,{ },{ok},0.83
24-Jul-24 2:45:00 AM WEST,{ },{ok},0.84
24-Jul-24 3:00:00 AM WEST,{ },{ok},0.20
24-Jul-24 3:15:00 AM WEST,{ },{ok},0.90
24-Jul-24 3:30:00 AM WEST,{ },{ok},0.23
24-Jul-24 3:45:01 AM WEST,{ },{ok},0.20
24-Jul-24 4:00:00 AM WEST,{ },{ok},1.56
24-Jul-24 4:15:00 AM WEST,{ },{ok},0.20
24-Jul-24 4:30:00 AM WEST,{ },{ok},1.52
24-Jul-24 4:45:00 AM WEST,{ },{ok},1.49
24-Jul-24 5:00:00 AM WEST,{ },{ok},0.16
24-Jul-24 5:15:00 AM WEST,{ },{ok},0.86
24-Jul-24 5:30:00 AM WEST,{ },{ok},0.20
24-Jul-24 5:45:00 AM WEST,{ },{ok},0.21
24-Jul-24 6:00:01 AM WEST,{ },{ok},1.54
