history:GTC_Multisite_Inwi/SAFI-MCO Active Power-Clim

Timestamp,Trend Flags,Status,Value (kW)
06-Aug-24 3:30:00 PM WEST,{start},{ok},6.66
06-Aug-24 3:45:00 PM WEST,{ },{ok},6.35
06-Aug-24 4:00:00 PM WEST,{ },{ok},6.96
06-Aug-24 4:15:00 PM WEST,{ },{ok},6.44
06-Aug-24 4:30:00 PM WEST,{ },{ok},3.80
06-Aug-24 4:45:00 PM WEST,{ },{ok},3.62
06-Aug-24 5:00:00 PM WEST,{ },{ok},6.36
06-Aug-24 5:15:00 PM WEST,{ },{ok},6.34
06-Aug-24 5:30:00 PM WEST,{ },{ok},3.72
06-Aug-24 5:45:00 PM WEST,{ },{ok},3.67
06-Aug-24 6:00:00 PM WEST,{ },{ok},5.55
06-Aug-24 6:15:00 PM WEST,{ },{ok},6.70
06-Aug-24 6:30:00 PM WEST,{ },{ok},3.96
06-Aug-24 6:45:00 PM WEST,{ },{ok},3.90
06-Aug-24 7:00:00 PM WEST,{ },{ok},6.93
06-Aug-24 7:15:00 PM WEST,{ },{ok},9.70
06-Aug-24 7:30:00 PM WEST,{ },{ok},6.31
06-Aug-24 7:45:00 PM WEST,{ },{ok},0.80
06-Aug-24 8:00:01 PM WEST,{ },{ok},6.82
06-Aug-24 8:15:00 PM WEST,{ },{ok},4.05
06-Aug-24 8:30:00 PM WEST,{ },{ok},6.92
06-Aug-24 8:45:00 PM WEST,{ },{ok},3.76
06-Aug-24 9:00:00 PM WEST,{ },{ok},3.89
06-Aug-24 9:15:00 PM WEST,{ },{ok},4.05
06-Aug-24 9:30:00 PM WEST,{ },{ok},6.98
06-Aug-24 9:45:00 PM WEST,{ },{ok},6.59
06-Aug-24 10:00:00 PM WEST,{ },{ok},3.92
06-Aug-24 10:15:00 PM WEST,{ },{ok},3.94
06-Aug-24 10:30:00 PM WEST,{ },{ok},7.17
06-Aug-24 10:45:01 PM WEST,{ },{ok},6.61
06-Aug-24 11:00:00 PM WEST,{ },{ok},0.98
06-Aug-24 11:15:00 PM WEST,{ },{ok},0.94
06-Aug-24 11:30:00 PM WEST,{ },{ok},6.93
06-Aug-24 11:45:01 PM WEST,{ },{ok},6.94
07-Aug-24 12:00:00 AM WEST,{ },{ok},6.61
07-Aug-24 12:15:00 AM WEST,{ },{ok},3.94
07-Aug-24 12:30:00 AM WEST,{ },{ok},3.93
07-Aug-24 12:45:01 AM WEST,{ },{ok},6.94
