history:GTC_Multisite_Inwi/SAFI-MCO Active Power-Arrivé

Timestamp,Trend Flags,Status,Value (kW)
06-Aug-24 3:30:00 PM WEST,{start},{ok},20.66
06-Aug-24 3:45:00 PM WEST,{ },{ok},19.86
06-Aug-24 4:00:00 PM WEST,{ },{ok},20.54
06-Aug-24 4:15:00 PM WEST,{ },{ok},19.73
06-Aug-24 4:30:00 PM WEST,{ },{ok},17.05
06-Aug-24 4:45:00 PM WEST,{ },{ok},17.33
06-Aug-24 5:00:00 PM WEST,{ },{ok},20.02
06-Aug-24 5:15:00 PM WEST,{ },{ok},20.05
06-Aug-24 5:30:00 PM WEST,{ },{ok},17.39
06-Aug-24 5:45:00 PM WEST,{ },{ok},17.32
06-Aug-24 6:00:00 PM WEST,{ },{ok},19.15
06-Aug-24 6:15:00 PM WEST,{ },{ok},20.07
06-Aug-24 6:30:00 PM WEST,{ },{ok},17.43
06-Aug-24 6:45:00 PM WEST,{ },{ok},17.09
06-Aug-24 7:00:00 PM WEST,{ },{ok},20.12
06-Aug-24 7:15:00 PM WEST,{ },{ok},22.99
06-Aug-24 7:30:00 PM WEST,{ },{ok},19.68
06-Aug-24 7:45:00 PM WEST,{ },{ok},14.57
06-Aug-24 8:00:01 PM WEST,{ },{ok},20.88
06-Aug-24 8:15:00 PM WEST,{ },{ok},18.00
06-Aug-24 8:30:00 PM WEST,{ },{ok},20.53
06-Aug-24 8:45:00 PM WEST,{ },{ok},17.38
06-Aug-24 9:00:00 PM WEST,{ },{ok},17.56
06-Aug-24 9:15:00 PM WEST,{ },{ok},18.09
06-Aug-24 9:30:00 PM WEST,{ },{ok},20.69
06-Aug-24 9:45:00 PM WEST,{ },{ok},20.38
06-Aug-24 10:00:00 PM WEST,{ },{ok},17.68
06-Aug-24 10:15:00 PM WEST,{ },{ok},17.40
06-Aug-24 10:30:00 PM WEST,{ },{ok},20.75
06-Aug-24 10:45:01 PM WEST,{ },{ok},20.29
06-Aug-24 11:00:00 PM WEST,{ },{ok},14.73
06-Aug-24 11:15:00 PM WEST,{ },{ok},14.47
06-Aug-24 11:30:00 PM WEST,{ },{ok},20.62
06-Aug-24 11:45:01 PM WEST,{ },{ok},20.43
07-Aug-24 12:00:00 AM WEST,{ },{ok},20.36
07-Aug-24 12:15:00 AM WEST,{ },{ok},17.18
07-Aug-24 12:30:00 AM WEST,{ },{ok},17.37
07-Aug-24 12:45:01 AM WEST,{ },{ok},20.20
07-Aug-24 1:00:00 AM WEST,{ },{ok},16.84
07-Aug-24 1:15:00 AM WEST,{ },{ok},17.06
07-Aug-24 1:30:00 AM WEST,{ },{ok},19.92
