history:GTC_Multisite_Inwi/Etat de la Porte SAF_ONE

Timestamp,Trend Flags,Status,Value
20-Nov-24 6:33:33 AM WEST,{start},{ok},Fermé
22-Nov-24 4:30:32 AM WEST,{ },{down},Fermé
22-Nov-24 4:35:36 AM WEST,{ },{ok},Fermé
22-Nov-24 4:35:36 AM WEST,{ },{stale},Ouvert
22-Nov-24 4:35:38 AM WEST,{ },{ok},Fermé
23-Nov-24 9:13:15 AM WEST,{ },{down},Fermé
23-Nov-24 9:18:18 AM WEST,{ },{ok},Fermé
23-Nov-24 9:18:18 AM WEST,{ },{stale},Ouvert
23-Nov-24 9:18:20 AM WEST,{ },{ok},Fermé
24-Nov-24 12:40:08 PM WEST,{ },{down},Fermé
24-Nov-24 12:45:11 PM WEST,{ },{ok},Fermé
24-Nov-24 12:45:12 PM WEST,{ },{stale},Ouvert
24-Nov-24 12:45:14 PM WEST,{ },{ok},Fermé
24-Nov-24 2:57:32 PM WEST,{ },{ok},Ouvert
24-Nov-24 2:58:38 PM WEST,{ },{ok},Fermé
27-Nov-24 4:03:51 PM WEST,{ },{ok},Ouvert
27-Nov-24 4:31:40 PM WEST,{ },{ok},Fermé
27-Nov-24 11:52:15 PM WEST,{ },{ok},Ouvert
28-Nov-24 1:06:04 AM WEST,{ },{ok},Fermé
29-Nov-24 11:50:15 AM WEST,{ },{ok},Ouvert
29-Nov-24 12:03:45 PM WEST,{ },{down},Ouvert
29-Nov-24 4:10:13 PM WEST,{ },{ok},Ouvert
29-Nov-24 4:10:13 PM WEST,{ },{stale},Ouvert
29-Nov-24 4:10:15 PM WEST,{ },{ok},Ouvert
30-Nov-24 10:27:26 AM WEST,{ },{ok},Fermé
30-Nov-24 10:27:32 AM WEST,{ },{fault},Fermé
10-Dec-24 4:56:49 PM WEST,{ },{ok},Fermé
19-Dec-24 11:51:16 PM WEST,{ },{ok},Ouvert
20-Dec-24 12:29:14 AM WEST,{ },{down},Ouvert
27-Dec-24 3:35:38 PM WEST,{ },{ok},Ouvert
27-Dec-24 3:54:41 PM WEST,{ },{ok},Fermé
27-Dec-24 4:10:10 PM WEST,{ },{ok},Ouvert
27-Dec-24 5:20:43 PM WEST,{ },{ok},Fermé
27-Dec-24 5:20:50 PM WEST,{ },{ok},Ouvert
27-Dec-24 5:25:44 PM WEST,{ },{ok},Fermé
29-Dec-24 12:49:48 PM WEST,{ },{ok},Ouvert
29-Dec-24 12:53:30 PM WEST,{ },{ok},Fermé
30-Dec-24 4:38:43 PM WEST,{ },{ok},Ouvert
30-Dec-24 4:59:37 PM WEST,{ },{ok},Fermé
30-Dec-24 5:10:47 PM WEST,{ },{ok},Ouvert
30-Dec-24 5:12:48 PM WEST,{ },{ok},Fermé
02-Jan-25 12:20:00 PM WEST,{ },{ok},Ouvert
02-Jan-25 1:01:06 PM WEST,{ },{ok},Fermé
02-Jan-25 1:08:50 PM WEST,{ },{ok},Ouvert
02-Jan-25 1:09:13 PM WEST,{ },{ok},Fermé
02-Jan-25 1:12:33 PM WEST,{ },{ok},Ouvert
02-Jan-25 1:17:18 PM WEST,{ },{ok},Fermé
02-Jan-25 1:30:24 PM WEST,{ },{ok},Ouvert
02-Jan-25 6:22:39 PM WEST,{ },{down},Ouvert
17-Jan-25 1:05:48 PM WEST,{start},"{down,stale}",Ouvert
28-Jan-25 4:53:15 PM WEST,{start},"{down,stale}",Ouvert
29-Jan-25 9:27:28 AM WEST,{start},"{down,stale}",Ouvert
30-Jan-25 10:07:53 PM WEST,{start},"{down,stale}",Ouvert
11-Feb-25 11:37:26 AM WEST,{start},"{down,stale}",Ouvert
13-Feb-25 3:38:41 PM WEST,{start},"{down,stale}",Ouvert
13-Feb-25 4:42:34 PM WEST,{start},"{down,stale}",Ouvert
14-Feb-25 9:28:32 AM WEST,{start},"{down,stale}",Ouvert
20-Feb-25 8:58:49 AM WEST,{start},"{down,stale}",Ouvert
20-Feb-25 9:00:30 AM WEST,{start},"{down,stale}",Ouvert
28-Feb-25 5:09:36 AM WET,{ },{stale},Ouvert
28-Feb-25 5:09:36 AM WET,{ },{ok},Fermé
28-Feb-25 5:28:52 AM WET,{ },{down},Fermé
28-Feb-25 5:44:38 AM WET,{ },{ok},Fermé
28-Feb-25 5:47:34 AM WET,{ },{ok},Ouvert
28-Feb-25 5:51:08 AM WET,{ },{ok},Fermé
28-Feb-25 6:28:58 AM WET,{ },{ok},Ouvert
28-Feb-25 6:32:22 AM WET,{ },{ok},Fermé
28-Feb-25 6:37:51 AM WET,{ },{ok},Ouvert
28-Feb-25 8:15:52 AM WET,{ },{ok},Fermé
28-Feb-25 8:25:00 AM WET,{ },{ok},Ouvert
28-Feb-25 8:25:15 AM WET,{ },{ok},Fermé
28-Feb-25 8:25:30 AM WET,{ },{ok},Ouvert
28-Feb-25 8:25:37 AM WET,{ },{ok},Fermé
28-Feb-25 9:29:18 AM WET,{ },{ok},Ouvert
28-Feb-25 9:29:24 AM WET,{ },{ok},Fermé
28-Feb-25 9:31:57 AM WET,{ },{ok},Ouvert
28-Feb-25 10:02:42 AM WET,{ },{ok},Fermé
28-Feb-25 10:54:07 AM WET,{ },{ok},Ouvert
28-Feb-25 10:55:11 AM WET,{ },{ok},Fermé
28-Feb-25 11:00:39 AM WET,{ },{ok},Ouvert
28-Feb-25 11:03:57 AM WET,{ },{ok},Fermé
28-Feb-25 4:53:55 PM WET,{ },{down},Fermé
28-Feb-25 5:09:42 PM WET,{ },{ok},Fermé
28-Feb-25 8:08:32 PM WET,{ },{ok},Ouvert
28-Feb-25 8:12:27 PM WET,{ },{ok},Fermé
04-Mar-25 9:39:06 PM WET,{ },{ok},Ouvert
04-Mar-25 9:40:57 PM WET,{ },{ok},Fermé
07-Mar-25 5:33:24 PM WET,{ },{ok},Ouvert
07-Mar-25 6:06:56 PM WET,{ },{ok},Fermé
07-Mar-25 6:07:17 PM WET,{ },{ok},Ouvert
07-Mar-25 6:26:08 PM WET,{ },{ok},Fermé
07-Mar-25 9:41:03 PM WET,{ },{ok},Ouvert
07-Mar-25 9:41:15 PM WET,{ },{ok},Fermé
07-Mar-25 9:41:33 PM WET,{ },{ok},Ouvert
07-Mar-25 9:41:56 PM WET,{ },{ok},Fermé
07-Mar-25 9:42:01 PM WET,{ },{ok},Ouvert
07-Mar-25 9:42:16 PM WET,{ },{ok},Fermé
07-Mar-25 9:42:22 PM WET,{ },{ok},Ouvert
07-Mar-25 9:42:28 PM WET,{ },{ok},Fermé
07-Mar-25 9:42:31 PM WET,{ },{ok},Ouvert
07-Mar-25 9:42:34 PM WET,{ },{ok},Fermé
07-Mar-25 9:42:42 PM WET,{ },{ok},Ouvert
07-Mar-25 10:11:06 PM WET,{ },{ok},Fermé
07-Mar-25 10:11:27 PM WET,{ },{ok},Ouvert
07-Mar-25 10:11:38 PM WET,{ },{ok},Fermé
07-Mar-25 10:12:00 PM WET,{ },{ok},Ouvert
07-Mar-25 10:12:03 PM WET,{ },{ok},Fermé
07-Mar-25 10:12:14 PM WET,{ },{ok},Ouvert
07-Mar-25 10:12:22 PM WET,{ },{ok},Fermé
07-Mar-25 10:12:44 PM WET,{ },{ok},Ouvert
07-Mar-25 10:23:30 PM WET,{ },{ok},Fermé
13-Mar-25 6:37:08 PM WET,{ },{down},Fermé
13-Mar-25 6:42:12 PM WET,{ },{ok},Fermé
14-Mar-25 2:59:15 AM WET,{ },{ok},Ouvert
14-Mar-25 3:00:33 AM WET,{ },{down},Ouvert
14-Mar-25 3:05:37 AM WET,{ },{ok},Ouvert
14-Mar-25 3:29:31 AM WET,{ },{ok},Fermé
19-Mar-25 1:10:58 PM WET,{ },{ok},Ouvert
19-Mar-25 1:58:19 PM WET,{ },{ok},Fermé
19-Mar-25 2:19:21 PM WET,{ },{ok},Ouvert
19-Mar-25 2:59:26 PM WET,{ },{ok},Fermé
20-Mar-25 12:05:17 PM WET,{ },{ok},Ouvert
20-Mar-25 12:46:54 PM WET,{ },{ok},Fermé
26-Mar-25 1:05:08 PM WET,{ },{ok},Ouvert
26-Mar-25 1:10:13 PM WET,{ },{ok},Fermé
26-Mar-25 1:10:14 PM WET,{ },{ok},Ouvert
26-Mar-25 1:10:19 PM WET,{ },{ok},Fermé
26-Mar-25 3:51:39 PM WET,{ },{ok},Ouvert
26-Mar-25 3:53:35 PM WET,{ },{down},Ouvert
26-Mar-25 4:36:06 PM WET,{ },{ok},Ouvert
26-Mar-25 5:04:26 PM WET,{ },{ok},Fermé
28-Mar-25 2:51:44 PM WET,{ },{ok},Ouvert
28-Mar-25 3:52:33 PM WET,{ },{ok},Fermé
29-Mar-25 12:25:18 PM WET,{ },{ok},Ouvert
29-Mar-25 12:40:55 PM WET,{ },{ok},Fermé
29-Mar-25 4:20:26 PM WET,{ },{ok},Ouvert
29-Mar-25 4:27:46 PM WET,{ },{ok},Fermé
03-Apr-25 5:44:47 PM WET,{ },{ok},Ouvert
03-Apr-25 6:05:40 PM WET,{ },{ok},Fermé
06-Apr-25 4:10:53 PM WEST,{ },{ok},Ouvert
06-Apr-25 4:22:42 PM WEST,{ },{ok},Fermé
06-Apr-25 4:25:13 PM WEST,{ },{ok},Ouvert
06-Apr-25 4:29:34 PM WEST,{ },{ok},Fermé
06-Apr-25 4:37:08 PM WEST,{ },{ok},Ouvert
06-Apr-25 4:40:18 PM WEST,{ },{ok},Fermé
06-Apr-25 7:36:08 PM WEST,{ },{ok},Ouvert
06-Apr-25 7:36:49 PM WEST,{ },{ok},Fermé
06-Apr-25 7:42:08 PM WEST,{ },{ok},Ouvert
06-Apr-25 7:43:31 PM WEST,{ },{ok},Fermé
07-Apr-25 5:06:01 PM WEST,{ },{ok},Ouvert
07-Apr-25 5:08:26 PM WEST,{ },{down},Ouvert
07-Apr-25 5:13:30 PM WEST,{ },{ok},Ouvert
