history:GTC_Multisite_Inwi/SAF-ONE Active Power-Arrivé

Timestamp,Trend Flags,Status,Value (kW)
01-Aug-24 3:15:00 PM WEST,{start},{ok},11.64
01-Aug-24 3:30:00 PM WEST,{ },{ok},11.38
01-Aug-24 3:45:00 PM WEST,{ },{ok},11.40
01-Aug-24 4:00:00 PM WEST,{ },{ok},11.26
01-Aug-24 4:15:00 PM WEST,{ },{ok},11.26
01-Aug-24 4:30:00 PM WEST,{ },{ok},14.57
01-Aug-24 4:45:00 PM WEST,{ },{ok},14.04
01-Aug-24 5:00:00 PM WEST,{ },{ok},8.45
01-Aug-24 5:15:00 PM WEST,{ },{ok},8.26
01-Aug-24 5:30:00 PM WEST,{ },{ok},14.22
01-Aug-24 5:45:00 PM WEST,{ },{ok},14.11
01-Aug-24 6:00:00 PM WEST,{ },{ok},13.83
01-Aug-24 6:15:00 PM WEST,{ },{ok},8.32
01-Aug-24 6:30:00 PM WEST,{ },{ok},14.19
01-Aug-24 6:45:01 PM WEST,{ },{ok},14.12
01-Aug-24 7:00:00 PM WEST,{ },{ok},13.77
01-Aug-24 7:15:00 PM WEST,{ },{ok},8.42
01-Aug-24 7:30:00 PM WEST,{ },{ok},11.26
01-Aug-24 7:45:00 PM WEST,{ },{ok},11.32
01-Aug-24 8:00:00 PM WEST,{ },{ok},11.26
01-Aug-24 8:15:00 PM WEST,{ },{ok},11.27
01-Aug-24 8:30:00 PM WEST,{ },{ok},11.28
01-Aug-24 8:45:00 PM WEST,{ },{ok},11.20
01-Aug-24 9:00:00 PM WEST,{ },{ok},11.11
01-Aug-24 9:15:00 PM WEST,{ },{ok},11.78
01-Aug-24 9:30:00 PM WEST,{ },{ok},11.43
01-Aug-24 9:45:00 PM WEST,{ },{ok},14.48
01-Aug-24 10:00:00 PM WEST,{ },{ok},13.74
01-Aug-24 10:15:00 PM WEST,{ },{ok},8.58
01-Aug-24 10:30:00 PM WEST,{ },{ok},14.39
01-Aug-24 10:45:00 PM WEST,{ },{ok},14.44
01-Aug-24 11:00:00 PM WEST,{ },{ok},14.42
01-Aug-24 11:15:00 PM WEST,{ },{ok},8.50
01-Aug-24 11:30:00 PM WEST,{ },{ok},8.40
01-Aug-24 11:45:00 PM WEST,{ },{ok},14.34
02-Aug-24 12:00:00 AM WEST,{ },{ok},14.37
02-Aug-24 12:15:00 AM WEST,{ },{ok},11.33
02-Aug-24 12:30:00 AM WEST,{ },{ok},8.43
02-Aug-24 12:45:00 AM WEST,{ },{ok},13.68
