history:GTC_Multisite_Inwi/Etat de la porte SETAT_ONCF

Timestamp,Trend Flags,Status,Value
18-Nov-24 6:53:40 PM WEST,{start},"{alarm,unackedAlarm}",Ouvert
18-Nov-24 7:08:27 PM WEST,{ },{ok},Ouvert
18-Nov-24 8:03:18 PM WEST,{ },{down},Ouvert
18-Nov-24 8:08:21 PM WEST,{ },{ok},Ouvert
18-Nov-24 8:08:21 PM WEST,{ },{stale},Ouvert
18-Nov-24 8:08:23 PM WEST,{ },{ok},Ouvert
18-Nov-24 8:18:41 PM WEST,{ },{down},Ouvert
18-Nov-24 8:24:05 PM WEST,{ },{ok},Ouvert
18-Nov-24 8:24:05 PM WEST,{ },{stale},Ouvert
18-Nov-24 8:24:07 PM WEST,{ },{ok},Ouvert
18-Nov-24 10:36:03 PM WEST,{ },{down},Ouvert
18-Nov-24 10:41:05 PM WEST,{ },{ok},Ouvert
18-Nov-24 10:41:06 PM WEST,{ },{stale},Ouvert
18-Nov-24 10:41:08 PM WEST,{ },{ok},Ouvert
27-Nov-24 3:03:40 PM WEST,{ },{down},Ouvert
27-Nov-24 5:02:51 PM WEST,{ },{ok},Ouvert
27-Nov-24 5:02:51 PM WEST,{ },{stale},Ouvert
27-Nov-24 5:02:53 PM WEST,{ },{ok},Ouvert
27-Nov-24 5:08:32 PM WEST,{ },{down},Ouvert
27-Nov-24 5:18:50 PM WEST,{ },{ok},Ouvert
27-Nov-24 5:18:51 PM WEST,{ },{stale},Ouvert
27-Nov-24 5:18:53 PM WEST,{ },{ok},Ouvert
28-Nov-24 11:25:16 AM WEST,{ },{down},Ouvert
28-Nov-24 11:30:30 AM WEST,{ },{ok},Ouvert
28-Nov-24 11:30:31 AM WEST,{ },{stale},Ouvert
28-Nov-24 11:30:32 AM WEST,{ },{ok},Ouvert
22-Dec-24 8:36:10 PM WEST,{ },{down},Ouvert
22-Dec-24 8:55:28 PM WEST,{ },{ok},Ouvert
