history:GTC_Multisite_Inwi/SETAT-ONCF Active Power-CLIM

Timestamp,Trend Flags,Status,Value (kW)
31-Jul-24 4:15:00 PM WEST,{start},{ok},2.92
31-Jul-24 4:30:00 PM WEST,{ },{ok},0.07
31-Jul-24 4:45:00 PM WEST,{ },{ok},2.89
31-Jul-24 5:00:00 PM WEST,{ },{ok},0.01
31-Jul-24 5:15:00 PM WEST,{ },{ok},3.14
31-Jul-24 5:30:00 PM WEST,{ },{ok},0.09
31-Jul-24 5:45:00 PM WEST,{ },{ok},3.06
31-Jul-24 6:00:00 PM WEST,{ },{ok},0.09
31-Jul-24 6:15:00 PM WEST,{ },{ok},2.98
31-Jul-24 6:30:00 PM WEST,{ },{ok},2.96
31-Jul-24 6:45:00 PM WEST,{ },{ok},0.09
31-Jul-24 7:00:00 PM WEST,{ },{ok},2.88
31-Jul-24 7:15:00 PM WEST,{ },{ok},0.09
31-Jul-24 7:30:00 PM WEST,{ },{ok},0.09
31-Jul-24 7:45:00 PM WEST,{ },{ok},2.74
31-Jul-24 8:00:00 PM WEST,{ },{ok},2.72
31-Jul-24 8:15:00 PM WEST,{ },{ok},2.68
31-Jul-24 8:30:00 PM WEST,{ },{ok},0.10
31-Jul-24 8:45:00 PM WEST,{ },{ok},0.10
31-Jul-24 9:00:00 PM WEST,{ },{ok},0.10
31-Jul-24 9:15:00 PM WEST,{ },{ok},0.10
31-Jul-24 9:30:00 PM WEST,{ },{ok},0.10
31-Jul-24 9:45:00 PM WEST,{ },{ok},0.10
31-Jul-24 10:00:00 PM WEST,{ },{ok},0.10
31-Jul-24 10:15:00 PM WEST,{ },{ok},0.10
31-Jul-24 10:30:00 PM WEST,{ },{ok},0.10
31-Jul-24 10:45:00 PM WEST,{ },{ok},0.10
31-Jul-24 11:00:00 PM WEST,{ },{ok},0.10
31-Jul-24 11:15:00 PM WEST,{ },{ok},0.07
31-Jul-24 11:30:01 PM WEST,{ },{ok},2.42
31-Jul-24 11:45:00 PM WEST,{ },{ok},0.08
01-Aug-24 12:00:00 AM WEST,{ },{ok},0.07
01-Aug-24 12:15:00 AM WEST,{ },{ok},0.07
01-Aug-24 12:30:00 AM WEST,{ },{ok},0.07
01-Aug-24 12:45:00 AM WEST,{ },{ok},0.07
01-Aug-24 1:00:00 AM WEST,{ },{ok},0.07
01-Aug-24 1:15:00 AM WEST,{ },{ok},0.07
01-Aug-24 1:30:00 AM WEST,{ },{ok},2.54
01-Aug-24 1:45:00 AM WEST,{ },{ok},2.23
01-Aug-24 2:00:00 AM WEST,{ },{ok},2.28
01-Aug-24 2:15:00 AM WEST,{ },{ok},2.34
01-Aug-24 2:30:00 AM WEST,{ },{ok},2.35
01-Aug-24 2:45:00 AM WEST,{ },{ok},2.33
01-Aug-24 3:00:00 AM WEST,{ },{ok},0.07
01-Aug-24 3:15:00 AM WEST,{ },{ok},0.07
01-Aug-24 3:30:00 AM WEST,{ },{ok},0.07
01-Aug-24 3:45:00 AM WEST,{ },{ok},0.07
01-Aug-24 4:00:00 AM WEST,{ },{ok},0.07
01-Aug-24 4:15:00 AM WEST,{ },{ok},0.07
01-Aug-24 4:30:00 AM WEST,{ },{ok},0.07
01-Aug-24 4:45:00 AM WEST,{ },{ok},0.07
01-Aug-24 5:00:00 AM WEST,{ },{ok},0.07
01-Aug-24 5:15:00 AM WEST,{ },{ok},0.10
01-Aug-24 5:30:00 AM WEST,{ },{ok},0.10
01-Aug-24 5:45:00 AM WEST,{ },{ok},0.10
01-Aug-24 6:00:00 AM WEST,{ },{ok},0.11
01-Aug-24 6:15:00 AM WEST,{ },{ok},2.48
01-Aug-24 6:30:00 AM WEST,{ },{ok},2.49
01-Aug-24 6:45:00 AM WEST,{ },{ok},2.51
01-Aug-24 7:00:00 AM WEST,{ },{ok},2.48
01-Aug-24 7:15:00 AM WEST,{ },{ok},2.47
01-Aug-24 7:30:01 AM WEST,{ },{ok},0.10
