history:GTC_Multisite_Inwi/SETAT-ONCF Active Power-ARRIVE

Timestamp,Trend Flags,Status,Value (kW)
31-Jul-24 4:15:00 PM WEST,{start},{ok},5.52
31-Jul-24 4:30:00 PM WEST,{ },{ok},2.80
31-Jul-24 4:45:00 PM WEST,{ },{ok},5.63
31-Jul-24 5:00:00 PM WEST,{ },{ok},2.72
31-Jul-24 5:15:00 PM WEST,{ },{ok},5.80
31-Jul-24 5:30:00 PM WEST,{ },{ok},2.83
31-Jul-24 5:45:00 PM WEST,{ },{ok},5.77
31-Jul-24 6:00:00 PM WEST,{ },{ok},2.80
31-Jul-24 6:15:00 PM WEST,{ },{ok},5.69
31-Jul-24 6:30:00 PM WEST,{ },{ok},5.64
31-Jul-24 6:45:00 PM WEST,{ },{ok},2.79
31-Jul-24 7:00:00 PM WEST,{ },{ok},5.60
31-Jul-24 7:15:00 PM WEST,{ },{ok},2.83
31-Jul-24 7:30:00 PM WEST,{ },{ok},2.82
31-Jul-24 7:45:00 PM WEST,{ },{ok},5.46
31-Jul-24 8:00:00 PM WEST,{ },{ok},5.43
31-Jul-24 8:15:00 PM WEST,{ },{ok},5.42
31-Jul-24 8:30:00 PM WEST,{ },{ok},2.79
31-Jul-24 8:45:00 PM WEST,{ },{ok},2.86
31-Jul-24 9:00:00 PM WEST,{ },{ok},2.78
31-Jul-24 9:15:00 PM WEST,{ },{ok},2.85
31-Jul-24 9:30:00 PM WEST,{ },{ok},2.84
31-Jul-24 9:45:00 PM WEST,{ },{ok},2.85
31-Jul-24 10:00:00 PM WEST,{ },{ok},2.84
31-Jul-24 10:15:00 PM WEST,{ },{ok},2.84
31-Jul-24 10:30:00 PM WEST,{ },{ok},2.84
31-Jul-24 10:45:00 PM WEST,{ },{ok},2.79
31-Jul-24 11:00:00 PM WEST,{ },{ok},2.83
31-Jul-24 11:15:00 PM WEST,{ },{ok},2.76
31-Jul-24 11:30:01 PM WEST,{ },{ok},5.22
31-Jul-24 11:45:00 PM WEST,{ },{ok},2.84
01-Aug-24 12:00:00 AM WEST,{ },{ok},2.79
01-Aug-24 12:15:00 AM WEST,{ },{ok},2.81
01-Aug-24 12:30:00 AM WEST,{ },{ok},2.88
01-Aug-24 12:45:00 AM WEST,{ },{ok},2.78
01-Aug-24 1:00:00 AM WEST,{ },{ok},2.77
01-Aug-24 1:15:00 AM WEST,{ },{ok},2.75
01-Aug-24 1:30:00 AM WEST,{ },{ok},5.21
01-Aug-24 1:45:00 AM WEST,{ },{ok},4.93
01-Aug-24 2:00:00 AM WEST,{ },{ok},5.02
01-Aug-24 2:15:00 AM WEST,{ },{ok},5.09
01-Aug-24 2:30:00 AM WEST,{ },{ok},5.15
01-Aug-24 2:45:00 AM WEST,{ },{ok},5.07
01-Aug-24 3:00:00 AM WEST,{ },{ok},2.79
01-Aug-24 3:15:00 AM WEST,{ },{ok},2.81
01-Aug-24 3:30:00 AM WEST,{ },{ok},2.80
01-Aug-24 3:45:00 AM WEST,{ },{ok},2.82
01-Aug-24 4:00:00 AM WEST,{ },{ok},2.79
01-Aug-24 4:15:00 AM WEST,{ },{ok},2.81
01-Aug-24 4:30:00 AM WEST,{ },{ok},2.78
01-Aug-24 4:45:00 AM WEST,{ },{ok},2.83
01-Aug-24 5:00:00 AM WEST,{ },{ok},2.79
01-Aug-24 5:15:00 AM WEST,{ },{ok},2.85
01-Aug-24 5:30:00 AM WEST,{ },{ok},2.84
01-Aug-24 5:45:00 AM WEST,{ },{ok},2.86
01-Aug-24 6:00:00 AM WEST,{ },{ok},2.87
01-Aug-24 6:15:00 AM WEST,{ },{ok},5.21
01-Aug-24 6:30:00 AM WEST,{ },{ok},5.20
01-Aug-24 6:45:00 AM WEST,{ },{ok},5.23
01-Aug-24 7:00:00 AM WEST,{ },{ok},5.23
01-Aug-24 7:15:00 AM WEST,{ },{ok},5.10
01-Aug-24 7:30:01 AM WEST,{ },{ok},2.82
01-Aug-24 7:45:00 AM WEST,{ },{ok},2.81
01-Aug-24 8:00:00 AM WEST,{ },{ok},2.85
01-Aug-24 8:15:00 AM WEST,{ },{ok},2.79
01-Aug-24 8:30:00 AM WEST,{ },{ok},2.83
01-Aug-24 8:45:00 AM WEST,{ },{ok},2.81
01-Aug-24 9:00:00 AM WEST,{ },{ok},2.82
01-Aug-24 9:15:00 AM WEST,{ },{ok},2.84
01-Aug-24 9:30:00 AM WEST,{ },{ok},2.77
01-Aug-24 9:45:00 AM WEST,{ },{ok},2.81
01-Aug-24 10:00:00 AM WEST,{ },{ok},2.82
01-Aug-24 10:15:00 AM WEST,{ },{ok},5.46
01-Aug-24 10:30:00 AM WEST,{ },{ok},5.43
01-Aug-24 10:45:00 AM WEST,{ },{ok},2.83
01-Aug-24 11:00:00 AM WEST,{ },{ok},2.84
01-Aug-24 11:15:00 AM WEST,{ },{ok},2.79
01-Aug-24 11:30:00 AM WEST,{ },{ok},5.48
01-Aug-24 11:45:00 AM WEST,{ },{ok},5.37
01-Aug-24 12:00:00 PM WEST,{ },{ok},5.41
01-Aug-24 12:15:00 PM WEST,{ },{ok},5.40
01-Aug-24 12:30:00 PM WEST,{ },{ok},2.82
01-Aug-24 12:45:00 PM WEST,{ },{ok},2.80
01-Aug-24 1:00:00 PM WEST,{ },{ok},5.53
01-Aug-24 1:15:00 PM WEST,{ },{ok},5.42
01-Aug-24 1:30:01 PM WEST,{ },{ok},2.83
01-Aug-24 1:45:00 PM WEST,{ },{ok},5.54
01-Aug-24 2:00:00 PM WEST,{ },{ok},2.79
01-Aug-24 2:15:00 PM WEST,{ },{ok},5.49
01-Aug-24 2:30:00 PM WEST,{ },{ok},5.64
01-Aug-24 2:45:00 PM WEST,{ },{ok},5.57
01-Aug-24 3:00:00 PM WEST,{ },{ok},5.73
01-Aug-24 3:15:00 PM WEST,{ },{ok},5.72
01-Aug-24 3:30:00 PM WEST,{ },{ok},5.59
01-Aug-24 3:45:00 PM WEST,{ },{ok},5.70
01-Aug-24 4:00:00 PM WEST,{ },{ok},5.49
01-Aug-24 4:15:00 PM WEST,{ },{ok},5.63
01-Aug-24 4:30:00 PM WEST,{ },{ok},5.63
01-Aug-24 4:45:00 PM WEST,{ },{ok},5.58
01-Aug-24 5:00:00 PM WEST,{ },{ok},2.74
01-Aug-24 5:15:00 PM WEST,{ },{ok},5.76
01-Aug-24 5:30:00 PM WEST,{ },{ok},2.82
01-Aug-24 5:45:00 PM WEST,{ },{ok},5.70
01-Aug-24 6:00:00 PM WEST,{ },{ok},5.73
01-Aug-24 6:15:00 PM WEST,{ },{ok},2.82
01-Aug-24 6:30:00 PM WEST,{ },{ok},5.66
01-Aug-24 6:45:01 PM WEST,{ },{ok},2.83
01-Aug-24 7:00:00 PM WEST,{ },{ok},2.96
01-Aug-24 7:15:00 PM WEST,{ },{ok},5.58
01-Aug-24 7:30:00 PM WEST,{ },{ok},2.81
01-Aug-24 7:45:00 PM WEST,{ },{ok},2.82
01-Aug-24 8:00:00 PM WEST,{ },{ok},2.83
01-Aug-24 8:15:00 PM WEST,{ },{ok},5.42
01-Aug-24 8:30:00 PM WEST,{ },{ok},5.40
01-Aug-24 8:45:00 PM WEST,{ },{ok},5.26
01-Aug-24 9:00:00 PM WEST,{ },{ok},5.31
01-Aug-24 9:15:00 PM WEST,{ },{ok},5.29
01-Aug-24 9:30:00 PM WEST,{ },{ok},5.24
01-Aug-24 9:45:00 PM WEST,{ },{ok},5.33
01-Aug-24 10:00:00 PM WEST,{ },{ok},5.31
01-Aug-24 10:15:00 PM WEST,{ },{ok},5.25
01-Aug-24 10:30:00 PM WEST,{ },{ok},5.22
01-Aug-24 10:45:00 PM WEST,{ },{ok},5.26
01-Aug-24 11:00:00 PM WEST,{ },{ok},5.23
01-Aug-24 11:15:00 PM WEST,{ },{ok},2.79
01-Aug-24 11:30:00 PM WEST,{ },{ok},2.81
01-Aug-24 11:45:00 PM WEST,{ },{ok},2.80
02-Aug-24 12:00:00 AM WEST,{ },{ok},2.81
02-Aug-24 12:15:00 AM WEST,{ },{ok},5.22
02-Aug-24 12:30:00 AM WEST,{ },{ok},5.05
02-Aug-24 12:45:00 AM WEST,{ },{ok},4.98
02-Aug-24 1:00:00 AM WEST,{ },{ok},5.01
02-Aug-24 1:15:00 AM WEST,{ },{ok},5.12
02-Aug-24 1:30:00 AM WEST,{ },{ok},5.02
02-Aug-24 1:45:00 AM WEST,{ },{ok},5.05
02-Aug-24 2:00:00 AM WEST,{ },{ok},2.83
02-Aug-24 2:15:00 AM WEST,{ },{ok},2.79
02-Aug-24 2:30:00 AM WEST,{ },{ok},2.83
02-Aug-24 2:45:00 AM WEST,{ },{ok},2.81
02-Aug-24 3:00:00 AM WEST,{ },{ok},2.81
02-Aug-24 3:15:00 AM WEST,{ },{ok},2.80
02-Aug-24 3:30:00 AM WEST,{ },{ok},2.79
02-Aug-24 3:45:00 AM WEST,{ },{ok},2.81
02-Aug-24 4:00:00 AM WEST,{ },{ok},2.82
02-Aug-24 4:15:01 AM WEST,{ },{ok},2.80
02-Aug-24 4:30:00 AM WEST,{ },{ok},2.77
02-Aug-24 4:45:00 AM WEST,{ },{ok},2.88
02-Aug-24 5:00:00 AM WEST,{ },{ok},2.82
02-Aug-24 5:15:00 AM WEST,{ },{ok},2.83
02-Aug-24 5:30:00 AM WEST,{ },{ok},2.90
02-Aug-24 5:45:00 AM WEST,{ },{ok},2.87
02-Aug-24 6:00:00 AM WEST,{ },{ok},5.20
02-Aug-24 6:15:00 AM WEST,{ },{ok},5.20
02-Aug-24 6:30:01 AM WEST,{ },{ok},2.82
02-Aug-24 6:45:01 AM WEST,{ },{ok},2.82
02-Aug-24 7:00:00 AM WEST,{ },{ok},2.70
02-Aug-24 7:15:00 AM WEST,{ },{ok},2.81
02-Aug-24 7:30:00 AM WEST,{ },{ok},2.81
02-Aug-24 7:45:00 AM WEST,{ },{ok},2.80
02-Aug-24 8:00:00 AM WEST,{ },{ok},5.15
02-Aug-24 8:15:00 AM WEST,{ },{ok},5.24
02-Aug-24 8:30:00 AM WEST,{ },{ok},5.21
02-Aug-24 8:45:00 AM WEST,{ },{ok},5.27
02-Aug-24 9:00:00 AM WEST,{ },{ok},5.23
02-Aug-24 9:15:00 AM WEST,{ },{ok},5.32
02-Aug-24 9:30:00 AM WEST,{ },{ok},5.35
02-Aug-24 9:45:00 AM WEST,{ },{ok},5.35
02-Aug-24 10:00:01 AM WEST,{ },{ok},2.82
02-Aug-24 10:15:00 AM WEST,{ },{ok},2.82
02-Aug-24 10:30:00 AM WEST,{ },{ok},2.90
02-Aug-24 10:45:00 AM WEST,{ },{ok},5.45
02-Aug-24 11:00:00 AM WEST,{ },{ok},5.57
02-Aug-24 11:15:00 AM WEST,{ },{ok},2.77
02-Aug-24 11:30:00 AM WEST,{ },{ok},5.47
02-Aug-24 11:45:00 AM WEST,{ },{ok},5.40
02-Aug-24 12:00:00 PM WEST,{ },{ok},5.48
02-Aug-24 12:15:00 PM WEST,{ },{ok},5.32
02-Aug-24 12:30:00 PM WEST,{ },{ok},5.81
