history:GTC_Multisite_Inwi/Etat Marche Split D TME-ONE

Timestamp,Trend Flags,Status,Value
30-Aug-24 5:00:00 PM WEST,{ },{ok},ON
30-Aug-24 6:00:00 PM WEST,{ },{ok},OFF
30-Aug-24 7:00:00 PM WEST,{ },{ok},ON
30-Aug-24 8:00:00 PM WEST,{ },{ok},OFF
30-Aug-24 9:00:00 PM WEST,{ },{ok},ON
30-Aug-24 10:00:00 PM WEST,{ },{ok},OFF
30-Aug-24 11:00:00 PM WEST,{ },{ok},ON
31-Aug-24 12:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 1:00:00 AM WEST,{ },{ok},ON
31-Aug-24 2:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 3:00:00 AM WEST,{ },{ok},ON
31-Aug-24 4:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 5:00:00 AM WEST,{ },{ok},ON
31-Aug-24 6:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 7:00:00 AM WEST,{ },{ok},ON
31-Aug-24 8:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 9:00:00 AM WEST,{ },{ok},ON
31-Aug-24 10:00:00 AM WEST,{ },{ok},OFF
31-Aug-24 11:00:00 AM WEST,{ },{ok},ON
31-Aug-24 12:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 1:00:00 PM WEST,{ },{ok},ON
31-Aug-24 2:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 3:00:00 PM WEST,{ },{ok},ON
31-Aug-24 4:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 5:00:00 PM WEST,{ },{ok},ON
31-Aug-24 6:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 7:00:00 PM WEST,{ },{ok},ON
31-Aug-24 8:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 9:00:00 PM WEST,{ },{ok},ON
31-Aug-24 10:00:00 PM WEST,{ },{ok},OFF
31-Aug-24 11:00:00 PM WEST,{ },{ok},ON
01-Sep-24 12:00:00 AM WEST,{ },{ok},OFF
01-Sep-24 1:00:00 AM WEST,{ },{ok},ON
01-Sep-24 2:00:00 AM WEST,{ },{ok},OFF
01-Sep-24 3:00:00 AM WEST,{ },{ok},ON
01-Sep-24 4:00:00 AM WEST,{ },{ok},OFF
01-Sep-24 5:00:00 AM WEST,{ },{ok},ON
01-Sep-24 6:00:00 AM WEST,{ },{ok},OFF
01-Sep-24 7:00:00 AM WEST,{ },{ok},ON
01-Sep-24 8:00:00 AM WEST,{ },{ok},OFF
