history:GTC_Multisite_Inwi/TME-ONE Active Power Total-TGBT

Timestamp,Trend Flags,Status,Value (kW)
11-Jul-24 3:15:00 PM WEST,{start},{ok},26.23
11-Jul-24 3:30:00 PM WEST,{ },{ok},26.17
11-Jul-24 3:45:00 PM WEST,{ },{ok},25.62
11-Jul-24 4:00:00 PM WEST,{ },{ok},25.60
11-Jul-24 4:15:00 PM WEST,{ },{ok},26.50
11-Jul-24 4:30:00 PM WEST,{ },{ok},25.54
11-Jul-24 4:45:00 PM WEST,{ },{ok},26.98
11-Jul-24 5:00:00 PM WEST,{ },{ok},26.89
11-Jul-24 5:15:00 PM WEST,{ },{ok},25.66
11-Jul-24 5:30:00 PM WEST,{ },{ok},25.65
11-Jul-24 5:45:00 PM WEST,{ },{ok},25.40
11-Jul-24 6:00:00 PM WEST,{ },{ok},25.66
11-Jul-24 6:15:00 PM WEST,{ },{ok},27.68
11-Jul-24 6:30:00 PM WEST,{ },{ok},27.03
11-Jul-24 6:45:00 PM WEST,{ },{ok},26.97
11-Jul-24 7:00:00 PM WEST,{ },{ok},27.10
11-Jul-24 7:15:00 PM WEST,{ },{ok},25.17
11-Jul-24 7:30:01 PM WEST,{ },{ok},25.85
11-Jul-24 7:45:00 PM WEST,{ },{ok},25.68
11-Jul-24 8:00:00 PM WEST,{ },{ok},26.90
11-Jul-24 8:15:00 PM WEST,{ },{ok},26.33
11-Jul-24 8:30:00 PM WEST,{ },{ok},26.28
11-Jul-24 8:45:00 PM WEST,{ },{ok},26.51
11-Jul-24 9:00:00 PM WEST,{ },{ok},26.97
11-Jul-24 9:15:00 PM WEST,{ },{ok},20.44
11-Jul-24 9:30:00 PM WEST,{ },{ok},26.07
11-Jul-24 9:45:00 PM WEST,{ },{ok},26.39
11-Jul-24 10:00:00 PM WEST,{ },{ok},28.07
11-Jul-24 10:15:00 PM WEST,{ },{ok},26.28
11-Jul-24 10:30:00 PM WEST,{ },{ok},26.64
11-Jul-24 10:45:00 PM WEST,{ },{ok},26.70
11-Jul-24 11:00:00 PM WEST,{ },{ok},25.59
11-Jul-24 11:15:00 PM WEST,{ },{ok},21.68
11-Jul-24 11:30:01 PM WEST,{ },{ok},27.16
