history:GTC_Multisite_Inwi/Etat de la porte TZR_ONE

Timestamp,Trend Flags,Status,Value
20-Nov-24 7:11:48 AM WEST,{start},{ok},Fermé
21-Nov-24 7:57:15 AM WEST,{ },{down},Fermé
21-Nov-24 8:02:18 AM WEST,{ },{ok},Fermé
21-Nov-24 8:02:18 AM WEST,{ },{stale},Ouvert
21-Nov-24 8:02:20 AM WEST,{ },{ok},Fermé
21-Nov-24 1:13:34 PM WEST,{ },{ok},Ouvert
21-Nov-24 1:43:43 PM WEST,{ },{ok},Fermé
21-Nov-24 3:11:33 PM WEST,{ },{ok},Ouvert
21-Nov-24 3:13:10 PM WEST,{ },{ok},Fermé
25-Nov-24 4:35:16 PM WEST,{ },{ok},Ouvert
25-Nov-24 5:49:18 PM WEST,{ },{ok},Fermé
28-Nov-24 8:06:43 AM WEST,{ },{down},Fermé
28-Nov-24 8:11:46 AM WEST,{ },{ok},Fermé
28-Nov-24 8:11:46 AM WEST,{ },{stale},Ouvert
28-Nov-24 8:11:48 AM WEST,{ },{ok},Fermé
04-Dec-24 4:05:41 PM WEST,{ },{ok},Ouvert
04-Dec-24 4:05:51 PM WEST,{ },{ok},Fermé
04-Dec-24 4:06:14 PM WEST,{ },{ok},Ouvert
04-Dec-24 4:06:16 PM WEST,{ },{ok},Fermé
04-Dec-24 4:08:07 PM WEST,{ },{ok},Ouvert
04-Dec-24 4:08:26 PM WEST,{ },{ok},Fermé
04-Dec-24 4:56:40 PM WEST,{ },{ok},Ouvert
04-Dec-24 4:56:50 PM WEST,{ },{ok},Fermé
04-Dec-24 5:35:17 PM WEST,{ },{ok},Ouvert
04-Dec-24 6:10:12 PM WEST,{ },{ok},Fermé
05-Dec-24 3:40:14 PM WEST,{ },{ok},Ouvert
05-Dec-24 3:40:20 PM WEST,{ },{ok},Fermé
05-Dec-24 3:44:11 PM WEST,{ },{ok},Ouvert
05-Dec-24 3:44:13 PM WEST,{ },{ok},Fermé
05-Dec-24 3:44:14 PM WEST,{ },{ok},Ouvert
05-Dec-24 3:44:17 PM WEST,{ },{ok},Fermé
05-Dec-24 3:44:48 PM WEST,{ },{ok},Ouvert
05-Dec-24 3:55:41 PM WEST,{ },{ok},Fermé
06-Dec-24 1:14:07 PM WEST,{ },{ok},Ouvert
