history:GTC_Multisite_Inwi/DAK-MCO Etat Contact de Porte

Timestamp,Trend Flags,Status,Value
10-Feb-25 6:44:49 PM WEST,{start},"{alarm,unackedAlarm}",Fermé
11-Feb-25 11:37:28 AM WEST,{start},"{alarm,unackedAlarm}",Fermé
12-Feb-25 2:26:07 AM WEST,{ },"{down,alarm,unackedAlarm}",Fermé
12-Feb-25 2:54:23 AM WEST,{ },"{alarm,unackedAlarm}",Fermé
13-Feb-25 3:38:42 PM WEST,{start},"{alarm,unackedAlarm}",Fermé
13-Feb-25 4:42:35 PM WEST,{start},"{alarm,unackedAlarm}",Fermé
14-Feb-25 9:28:34 AM WEST,{start},"{alarm,unackedAlarm}",Fermé
16-Feb-25 1:06:07 PM WEST,{ },"{down,alarm,unackedAlarm}",Fermé
16-Feb-25 1:11:48 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
16-Feb-25 1:11:48 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
16-Feb-25 1:11:50 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
16-Feb-25 2:25:02 PM WEST,{ },"{down,alarm,unackedAlarm}",Fermé
16-Feb-25 2:30:05 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
16-Feb-25 2:30:05 PM WEST,{ },"{alarm,stale,unackedAlarm}",Ouvert
16-Feb-25 2:30:07 PM WEST,{ },"{alarm,unackedAlarm}",Fermé
20-Feb-25 8:58:50 AM WEST,{start},"{alarm,unackedAlarm}",Fermé
20-Feb-25 9:00:32 AM WEST,{start},"{alarm,unackedAlarm}",Fermé
24-Feb-25 3:31:20 AM WET,{ },"{down,alarm,unackedAlarm}",Fermé
24-Feb-25 3:36:22 AM WET,{ },"{alarm,unackedAlarm}",Fermé
24-Feb-25 3:36:23 AM WET,{ },"{alarm,stale,unackedAlarm}",Ouvert
24-Feb-25 3:36:24 AM WET,{ },"{alarm,unackedAlarm}",Fermé
26-Feb-25 2:16:39 AM WET,{ },"{down,alarm,unackedAlarm}",Fermé
26-Feb-25 2:21:49 AM WET,{ },"{alarm,unackedAlarm}",Fermé
28-Feb-25 1:52:58 AM WET,{ },"{down,alarm,unackedAlarm}",Fermé
28-Feb-25 1:58:08 AM WET,{ },"{alarm,unackedAlarm}",Fermé
04-Mar-25 8:12:56 PM WET,{ },"{down,alarm,unackedAlarm}",Fermé
04-Mar-25 8:23:03 PM WET,{ },"{alarm,unackedAlarm}",Fermé
04-Mar-25 8:23:03 PM WET,{ },"{alarm,stale,unackedAlarm}",Ouvert
04-Mar-25 8:23:05 PM WET,{ },"{alarm,unackedAlarm}",Fermé
