history:GTC_Multisite_Inwi/LAAY-MCO Contact PORTE

Timestamp,Trend Flags,Status,Value
10-Apr-25 2:32:24 PM WEST,{start},{unackedAlarm},Fermé
10-Apr-25 2:37:51 PM WEST,{ },{ok},Fermé
10-Apr-25 7:28:26 PM WEST,{ },{down},Fermé
10-Apr-25 7:33:55 PM WEST,{ },{ok},Fermé
10-Apr-25 7:33:56 PM WEST,{ },{stale},Ouvert
10-Apr-25 7:33:58 PM WEST,{ },{ok},Fermé
12-Apr-25 6:54:02 PM WEST,{ },{ok},Ouvert
12-Apr-25 6:54:21 PM WEST,{ },{ok},Fermé
12-Apr-25 9:01:17 PM WEST,{ },{down},Fermé
12-Apr-25 9:38:12 PM WEST,{ },{ok},Fermé
12-Apr-25 9:38:13 PM WEST,{ },{stale},Ouvert
12-Apr-25 9:38:14 PM WEST,{ },{ok},Ouvert
12-Apr-25 9:40:04 PM WEST,{ },{down},Ouvert
12-Apr-25 9:50:36 PM WEST,{ },{ok},Ouvert
12-Apr-25 9:50:36 PM WEST,{ },{stale},Ouvert
12-Apr-25 9:50:38 PM WEST,{ },{ok},Ouvert
12-Apr-25 10:01:41 PM WEST,{ },{ok},Fermé
13-Apr-25 12:22:58 PM WEST,{ },{down},Fermé
13-Apr-25 12:28:13 PM WEST,{ },{ok},Fermé
13-Apr-25 12:28:16 PM WEST,{ },{stale},Ouvert
13-Apr-25 12:28:17 PM WEST,{ },{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
13-Apr-25 9:09:56 PM WEST,{ },{ok},Ouvert
13-Apr-25 9:10:13 PM WEST,{ },{ok},Fermé
17-Apr-25 7:39:31 PM WEST,{ },{ok},Ouvert
17-Apr-25 7:39:53 PM WEST,{ },{ok},Fermé
17-Apr-25 7:44:52 PM WEST,{ },{ok},Ouvert
17-Apr-25 7:50:11 PM WEST,{ },{ok},Fermé
17-Apr-25 7:52:17 PM WEST,{ },{ok},Ouvert
17-Apr-25 7:52:23 PM WEST,{ },{ok},Fermé
17-Apr-25 7:54:54 PM WEST,{ },{ok},Ouvert
17-Apr-25 7:54:59 PM WEST,{ },{ok},Fermé
17-Apr-25 7:57:28 PM WEST,{ },{ok},Ouvert
17-Apr-25 8:03:41 PM WEST,{ },{ok},Fermé
