history:GTC_Multisite_Inwi/BGU-ONCF Contact PORTE

Timestamp,Trend Flags,Status,Value
18-Dec-24 2:05:08 PM WEST,{start},{ok},Fermé
19-Dec-24 11:21:34 AM WEST,{ },{ok},Ouvert
19-Dec-24 1:04:39 PM WEST,{ },{ok},Fermé
19-Dec-24 1:05:47 PM WEST,{ },{ok},Ouvert
19-Dec-24 1:07:36 PM WEST,{ },{ok},Fermé
19-Dec-24 1:08:29 PM WEST,{ },{ok},Ouvert
19-Dec-24 1:08:30 PM WEST,{ },{ok},Fermé
25-Dec-24 10:56:36 AM WEST,{ },{ok},Ouvert
25-Dec-24 11:01:18 AM WEST,{ },{ok},Fermé
31-Dec-24 1:25:32 PM WEST,{ },{ok},Ouvert
31-Dec-24 1:40:30 PM WEST,{ },{down},Ouvert
31-Dec-24 1:50:55 PM WEST,{ },{ok},Ouvert
31-Dec-24 3:44:59 PM WEST,{ },{ok},Fermé
03-Jan-25 12:03:45 PM WEST,{ },{ok},Ouvert
03-Jan-25 12:31:45 PM WEST,{ },{ok},Fermé
03-Jan-25 1:02:14 PM WEST,{ },{ok},Ouvert
03-Jan-25 1:03:01 PM WEST,{ },{ok},Fermé
03-Jan-25 3:08:39 PM WEST,{ },{ok},Ouvert
03-Jan-25 3:43:52 PM WEST,{ },{ok},Fermé
03-Jan-25 3:43:53 PM WEST,{ },{ok},Ouvert
03-Jan-25 3:43:56 PM WEST,{ },{ok},Fermé
03-Jan-25 3:43:58 PM WEST,{ },{ok},Ouvert
03-Jan-25 3:44:00 PM WEST,{ },{ok},Fermé
03-Jan-25 3:44:03 PM WEST,{ },{ok},Ouvert
03-Jan-25 3:44:10 PM WEST,{ },{ok},Fermé
03-Jan-25 3:44:11 PM WEST,{ },{ok},Ouvert
03-Jan-25 3:44:12 PM WEST,{ },{ok},Fermé
03-Jan-25 4:21:01 PM WEST,{ },{ok},Ouvert
03-Jan-25 5:02:47 PM WEST,{ },{ok},Fermé
03-Jan-25 5:25:20 PM WEST,{ },{ok},Ouvert
03-Jan-25 5:26:08 PM WEST,{ },{ok},Fermé
03-Jan-25 5:26:11 PM WEST,{ },{ok},Ouvert
03-Jan-25 5:26:26 PM WEST,{ },{ok},Fermé
05-Jan-25 11:24:21 AM WEST,{ },{ok},Ouvert
05-Jan-25 11:37:59 AM WEST,{ },{ok},Fermé
05-Jan-25 11:43:06 AM WEST,{ },{ok},Ouvert
05-Jan-25 11:59:04 AM WEST,{ },{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
23-Jan-25 11:09:54 AM WEST,{ },{ok},Ouvert
23-Jan-25 11:36:21 AM WEST,{ },{ok},Fermé
23-Jan-25 11:36:49 AM WEST,{ },{ok},Ouvert
23-Jan-25 11:36:54 AM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
03-Feb-25 11:23:08 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:31:40 AM WEST,{ },{ok},Fermé
11-Feb-25 11:37:27 AM WEST,{start},{ok},Fermé
11-Feb-25 5:04:20 PM WEST,{ },{ok},Ouvert
11-Feb-25 5:21:00 PM WEST,{ },{ok},Fermé
12-Feb-25 2:26:15 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:21 AM WEST,{ },{ok},Fermé
12-Feb-25 11:35:06 AM WEST,{ },{ok},Ouvert
12-Feb-25 11:44:31 AM WEST,{ },{ok},Fermé
12-Feb-25 11:44:32 AM WEST,{ },{ok},Ouvert
12-Feb-25 11:54:47 AM WEST,{ },{ok},Fermé
12-Feb-25 11:55:04 AM WEST,{ },{ok},Ouvert
12-Feb-25 11:55:42 AM WEST,{ },{ok},Fermé
12-Feb-25 11:58:20 AM WEST,{ },{ok},Ouvert
12-Feb-25 12:05:16 PM WEST,{ },{ok},Fermé
12-Feb-25 12:23:56 PM WEST,{ },{ok},Ouvert
12-Feb-25 12:28:40 PM WEST,{ },{ok},Fermé
12-Feb-25 12:50:06 PM WEST,{ },{ok},Ouvert
12-Feb-25 12:56:07 PM WEST,{ },{ok},Fermé
12-Feb-25 1:05:31 PM WEST,{ },{ok},Ouvert
12-Feb-25 1:31:15 PM WEST,{ },{ok},Fermé
12-Feb-25 1:46:10 PM WEST,{ },{ok},Ouvert
12-Feb-25 1:49:35 PM WEST,{ },{ok},Fermé
12-Feb-25 1:49:54 PM WEST,{ },{ok},Ouvert
12-Feb-25 2:39:22 PM WEST,{ },{ok},Fermé
12-Feb-25 2:59:30 PM WEST,{ },{ok},Ouvert
12-Feb-25 4:08:13 PM WEST,{ },{ok},Fermé
12-Feb-25 4:14:34 PM WEST,{ },{ok},Ouvert
12-Feb-25 4:51:03 PM WEST,{ },{ok},Fermé
12-Feb-25 4:53:54 PM WEST,{ },{ok},Ouvert
12-Feb-25 5:08:06 PM WEST,{ },{ok},Fermé
12-Feb-25 5:08:08 PM WEST,{ },{ok},Ouvert
12-Feb-25 5:08:10 PM WEST,{ },{ok},Fermé
12-Feb-25 5:19:04 PM WEST,{ },{ok},Ouvert
12-Feb-25 5:30:33 PM WEST,{ },{ok},Fermé
12-Feb-25 5:51:37 PM WEST,{ },{ok},Ouvert
12-Feb-25 5:51:39 PM WEST,{ },{ok},Fermé
12-Feb-25 5:51:42 PM WEST,{ },{ok},Ouvert
12-Feb-25 6:23:42 PM WEST,{ },{ok},Fermé
13-Feb-25 2:43:25 PM WEST,{ },{ok},Ouvert
13-Feb-25 3:05:00 PM WEST,{ },{ok},Fermé
13-Feb-25 3:06:37 PM WEST,{ },{ok},Ouvert
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 3:43:22 PM WEST,{ },{ok},Ouvert
13-Feb-25 3:44:34 PM WEST,{ },{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
13-Feb-25 7:22:27 PM WEST,{ },{ok},Ouvert
13-Feb-25 7:27:44 PM WEST,{ },{ok},Fermé
13-Feb-25 8:52:19 PM WEST,{ },{ok},Ouvert
13-Feb-25 8:52:45 PM WEST,{ },{ok},Fermé
13-Feb-25 8:52:46 PM WEST,{ },{ok},Ouvert
13-Feb-25 8:52:47 PM WEST,{ },{ok},Fermé
13-Feb-25 8:52:48 PM WEST,{ },{ok},Ouvert
13-Feb-25 8:53:49 PM WEST,{ },{ok},Fermé
13-Feb-25 9:39:06 PM WEST,{ },{ok},Ouvert
13-Feb-25 10:32:41 PM WEST,{ },{ok},Fermé
13-Feb-25 10:39:48 PM WEST,{ },{ok},Ouvert
13-Feb-25 10:40:22 PM WEST,{ },{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
