history:GTC_Multisite_Inwi/BGU-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
23-Dec-24 4:16:43 PM WEST,{start},{ok},Fermé
16-Jan-25 12:38:53 PM WEST,{ },{ok},Ouvert
16-Jan-25 12:40:44 PM WEST,{ },{ok},Fermé
16-Jan-25 12:50:07 PM WEST,{ },{ok},Ouvert
16-Jan-25 3:36:42 PM WEST,{ },{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
20-Jan-25 2:00:09 PM WEST,{ },{ok},Ouvert
20-Jan-25 2:01:36 PM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:29 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:55 PM WEST,{start},{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:26 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:51 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
21-Feb-25 12:36:28 AM WEST,{ },{ok},Ouvert
21-Feb-25 12:36:29 AM WEST,{ },{ok},Fermé
21-Feb-25 12:36:33 AM WEST,{ },{ok},Ouvert
21-Feb-25 12:36:36 AM WEST,{ },{ok},Fermé
21-Feb-25 12:36:50 AM WEST,{ },{ok},Ouvert
21-Feb-25 1:40:38 AM WEST,{ },{ok},Fermé
21-Feb-25 11:40:12 AM WEST,{ },{ok},Ouvert
21-Feb-25 1:40:55 PM WEST,{ },{ok},Fermé
21-Feb-25 2:51:00 PM WEST,{ },{ok},Ouvert
21-Feb-25 2:59:35 PM WEST,{ },{ok},Fermé
21-Feb-25 3:13:14 PM WEST,{ },{ok},Ouvert
21-Feb-25 3:13:15 PM WEST,{ },{ok},Fermé
21-Feb-25 3:13:25 PM WEST,{ },{ok},Ouvert
21-Feb-25 4:34:51 PM WEST,{ },{ok},Fermé
21-Feb-25 4:35:05 PM WEST,{ },{ok},Ouvert
21-Feb-25 6:58:35 PM WEST,{ },{ok},Fermé
24-Feb-25 12:40:02 PM WET,{ },{ok},Ouvert
24-Feb-25 12:51:11 PM WET,{ },{ok},Fermé
24-Feb-25 12:59:05 PM WET,{ },{ok},Ouvert
24-Feb-25 12:59:16 PM WET,{ },{ok},Fermé
24-Feb-25 12:59:30 PM WET,{ },{ok},Ouvert
24-Feb-25 1:53:10 PM WET,{ },{ok},Fermé
24-Feb-25 1:55:19 PM WET,{ },{ok},Ouvert
24-Feb-25 2:32:44 PM WET,{ },{ok},Fermé
24-Feb-25 2:34:42 PM WET,{ },{ok},Ouvert
24-Feb-25 2:34:43 PM WET,{ },{ok},Fermé
24-Feb-25 2:35:29 PM WET,{ },{ok},Ouvert
24-Feb-25 3:27:00 PM WET,{ },{ok},Fermé
24-Feb-25 11:53:09 PM WET,{ },{ok},Ouvert
24-Feb-25 11:53:10 PM WET,{ },{ok},Fermé
24-Feb-25 11:53:12 PM WET,{ },{ok},Ouvert
25-Feb-25 1:53:20 AM WET,{ },{down},Ouvert
25-Feb-25 2:30:48 AM WET,{ },{ok},Ouvert
25-Feb-25 2:36:10 AM WET,{ },{down},Ouvert
25-Feb-25 2:52:14 AM WET,{ },{ok},Ouvert
25-Feb-25 2:54:47 AM WET,{ },{down},Ouvert
25-Feb-25 3:42:43 AM WET,{ },{ok},Ouvert
25-Feb-25 3:49:26 AM WET,{ },{down},Ouvert
25-Feb-25 4:05:14 AM WET,{ },{ok},Ouvert
25-Feb-25 4:19:45 AM WET,{ },{ok},Fermé
26-Feb-25 2:16:39 AM WET,{ },{down},Fermé
26-Feb-25 2:21:45 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:55 AM WET,{ },{down},Fermé
28-Feb-25 1:58:01 AM WET,{ },{ok},Fermé
02-Mar-25 11:09:56 AM WET,{ },{ok},Ouvert
02-Mar-25 11:34:16 AM WET,{ },{ok},Fermé
02-Mar-25 11:34:41 AM WET,{ },{ok},Ouvert
02-Mar-25 11:39:40 AM WET,{ },{ok},Fermé
05-Mar-25 1:36:38 PM WET,{ },{ok},Ouvert
05-Mar-25 1:51:34 PM WET,{ },{ok},Fermé
06-Mar-25 1:38:27 PM WET,{ },{ok},Ouvert
06-Mar-25 1:51:22 PM WET,{ },{ok},Fermé
19-Mar-25 12:47:38 AM WET,{ },{down},Fermé
19-Mar-25 1:03:42 AM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
10-Apr-25 11:54:28 AM WEST,{ },{ok},Ouvert
10-Apr-25 11:57:30 AM WEST,{ },{ok},Fermé
11-Apr-25 2:55:14 AM WEST,{ },{down},Fermé
11-Apr-25 3:00:15 AM WEST,{ },{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
17-Apr-25 12:42:30 PM WEST,{ },{ok},Ouvert
17-Apr-25 12:42:35 PM WEST,{ },{ok},Fermé
17-Apr-25 12:42:36 PM WEST,{ },{ok},Ouvert
17-Apr-25 12:44:56 PM WEST,{ },{down},Ouvert
17-Apr-25 1:38:13 PM WEST,{ },{ok},Ouvert
17-Apr-25 1:38:14 PM WEST,{ },{ok},Fermé
21-Apr-25 12:21:54 PM WEST,{ },{ok},Ouvert
21-Apr-25 1:24:54 PM WEST,{ },{ok},Fermé
21-Apr-25 2:36:09 PM WEST,{ },{ok},Ouvert
21-Apr-25 2:42:03 PM WEST,{ },{ok},Fermé
23-Apr-25 12:10:54 PM WEST,{start},{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
20-May-25 11:15:12 PM WEST,{ },{ok},Ouvert
20-May-25 11:16:31 PM WEST,{ },{ok},Fermé
21-May-25 2:05:56 PM WEST,{ },{ok},Ouvert
21-May-25 2:08:21 PM WEST,{ },{ok},Fermé
23-May-25 2:37:23 PM WEST,{ },{ok},Ouvert
23-May-25 2:48:18 PM WEST,{ },{ok},Fermé
23-May-25 2:55:50 PM WEST,{ },{ok},Ouvert
23-May-25 3:02:02 PM WEST,{ },{ok},Fermé
26-May-25 9:33:35 AM WEST,{ },{ok},Ouvert
26-May-25 11:22:07 AM WEST,{ },{ok},Fermé
26-May-25 3:43:30 PM WEST,{ },{ok},Ouvert
26-May-25 3:43:32 PM WEST,{ },{ok},Fermé
26-May-25 3:43:44 PM WEST,{ },{ok},Ouvert
26-May-25 3:43:46 PM WEST,{ },{ok},Fermé
26-May-25 3:43:49 PM WEST,{ },{ok},Ouvert
26-May-25 3:45:23 PM WEST,{ },{ok},Fermé
28-May-25 10:27:39 AM WEST,{ },{ok},Ouvert
28-May-25 10:34:46 AM WEST,{ },{ok},Fermé
28-May-25 10:39:34 AM WEST,{ },{ok},Ouvert
28-May-25 11:08:52 AM WEST,{ },{ok},Fermé
28-May-25 11:22:58 AM WEST,{ },{ok},Ouvert
28-May-25 12:23:47 PM WEST,{ },{ok},Fermé
