history:GTC_Multisite_Inwi/CHC-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
27-Dec-24 3:14:54 PM WEST,{start},{ok},Fermé
27-Dec-24 8:48:05 PM WEST,{ },{ok},Ouvert
27-Dec-24 9:08:41 PM WEST,{ },{ok},Fermé
27-Dec-24 9:08:42 PM WEST,{ },{ok},Ouvert
27-Dec-24 9:09:00 PM WEST,{ },{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:29 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:55 PM WEST,{start},{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:27 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
17-Feb-25 12:29:06 PM WEST,{ },{ok},Ouvert
17-Feb-25 2:26:49 PM WEST,{ },{ok},Fermé
17-Feb-25 2:27:02 PM WEST,{ },{ok},Ouvert
17-Feb-25 2:27:07 PM WEST,{ },{ok},Fermé
17-Feb-25 2:27:16 PM WEST,{ },{ok},Ouvert
17-Feb-25 2:27:20 PM WEST,{ },{ok},Fermé
17-Feb-25 2:28:06 PM WEST,{ },{ok},Ouvert
17-Feb-25 3:35:53 PM WEST,{ },{ok},Fermé
17-Feb-25 3:37:35 PM WEST,{ },{ok},Ouvert
17-Feb-25 3:37:42 PM WEST,{ },{ok},Fermé
17-Feb-25 3:38:23 PM WEST,{ },{ok},Ouvert
17-Feb-25 3:42:34 PM WEST,{ },{ok},Fermé
17-Feb-25 3:46:54 PM WEST,{ },{ok},Ouvert
17-Feb-25 4:03:39 PM WEST,{ },{ok},Fermé
17-Feb-25 4:09:19 PM WEST,{ },{ok},Ouvert
17-Feb-25 4:19:08 PM WEST,{ },{ok},Fermé
17-Feb-25 4:26:56 PM WEST,{ },{ok},Ouvert
17-Feb-25 4:27:19 PM WEST,{ },{ok},Fermé
17-Feb-25 4:27:51 PM WEST,{ },{ok},Ouvert
17-Feb-25 4:33:38 PM WEST,{ },{ok},Fermé
