history:GTC_Multisite_Inwi/ALF-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
15-Jan-25 11:52:51 AM WEST,{start},{ok},Fermé
16-Jan-25 12:02:49 PM WEST,{ },{ok},Ouvert
16-Jan-25 12:28:14 PM WEST,{ },{ok},Fermé
16-Jan-25 12:29:57 PM WEST,{ },{ok},Ouvert
16-Jan-25 12:31:53 PM WEST,{ },{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
18-Jan-25 1:14:33 PM WEST,{ },{ok},Ouvert
18-Jan-25 1:19:39 PM WEST,{ },{ok},Fermé
19-Jan-25 12:01:31 PM WEST,{ },{ok},Ouvert
19-Jan-25 12:11:13 PM WEST,{ },{ok},Fermé
19-Jan-25 12:27:23 PM WEST,{ },{ok},Ouvert
19-Jan-25 12:35:11 PM WEST,{ },{ok},Fermé
22-Jan-25 11:09:05 AM WEST,{ },{ok},Ouvert
22-Jan-25 11:14:25 AM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:29 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:34 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
26-Feb-25 2:16:35 AM WET,{ },{down},Fermé
26-Feb-25 2:21:47 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:56 AM WET,{ },{down},Fermé
28-Feb-25 1:58:03 AM WET,{ },{ok},Fermé
10-Mar-25 4:51:37 PM WET,{ },{ok},Ouvert
10-Mar-25 4:53:10 PM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
17-Apr-25 12:58:07 PM WEST,{ },{ok},Ouvert
17-Apr-25 12:58:35 PM WEST,{ },{ok},Fermé
17-Apr-25 1:00:11 PM WEST,{ },{ok},Ouvert
17-Apr-25 1:04:10 PM WEST,{ },{ok},Fermé
23-Apr-25 12:10:55 PM WEST,{start},{ok},Fermé
23-Apr-25 4:04:03 PM WEST,{ },{ok},Ouvert
23-Apr-25 4:21:10 PM WEST,{ },{ok},Fermé
12-May-25 1:23:42 PM WEST,{ },{ok},Ouvert
12-May-25 1:47:27 PM WEST,{ },{ok},Fermé
