history:GTC_Multisite_Inwi/FES-MCO Active Power Arrive

Timestamp,Trend Flags,Status,Value (kW)
09-Jan-25 1:00:01 PM WEST,{start},{ok},45.4
09-Jan-25 1:15:01 PM WEST,{ },{ok},44.3
09-Jan-25 1:30:00 PM WEST,{ },{ok},44.3
09-Jan-25 1:45:01 PM WEST,{ },{ok},44.3
09-Jan-25 2:00:00 PM WEST,{ },{ok},44.3
09-Jan-25 2:15:00 PM WEST,{ },{ok},42.6
09-Jan-25 2:30:00 PM WEST,{ },{ok},42.6
09-Jan-25 2:45:00 PM WEST,{ },{ok},45.3
09-Jan-25 3:00:01 PM WEST,{ },{ok},44.5
09-Jan-25 3:15:01 PM WEST,{ },{ok},46.6
09-Jan-25 3:30:01 PM WEST,{ },{ok},44.1
09-Jan-25 3:45:01 PM WEST,{ },{ok},47.8
09-Jan-25 4:00:01 PM WEST,{ },{ok},47.2
09-Jan-25 4:15:00 PM WEST,{ },{ok},44.7
09-Jan-25 4:30:01 PM WEST,{ },{ok},45.7
09-Jan-25 4:45:01 PM WEST,{ },{ok},49.4
09-Jan-25 5:00:00 PM WEST,{ },{ok},47.4
09-Jan-25 5:15:01 PM WEST,{ },{ok},42.6
09-Jan-25 5:30:01 PM WEST,{ },{ok},46.6
09-Jan-25 5:45:01 PM WEST,{ },{ok},44.5
09-Jan-25 6:00:01 PM WEST,{ },{ok},50.0
09-Jan-25 6:15:01 PM WEST,{ },{ok},42.5
09-Jan-25 6:30:00 PM WEST,{ },{ok},44.8
09-Jan-25 6:45:01 PM WEST,{ },{ok},42.4
09-Jan-25 7:00:01 PM WEST,{ },{ok},43.9
09-Jan-25 7:15:01 PM WEST,{ },{ok},47.6
09-Jan-25 7:30:00 PM WEST,{ },{ok},45.9
09-Jan-25 7:45:00 PM WEST,{ },{ok},46.8
09-Jan-25 8:00:02 PM WEST,{ },{ok},46.1
09-Jan-25 8:15:01 PM WEST,{ },{ok},49.0
09-Jan-25 8:30:01 PM WEST,{ },{ok},47.7
09-Jan-25 8:45:01 PM WEST,{ },{ok},54.0
09-Jan-25 9:00:01 PM WEST,{ },{ok},50.1
09-Jan-25 9:15:01 PM WEST,{ },{ok},49.9
09-Jan-25 9:30:00 PM WEST,{ },{ok},44.3
09-Jan-25 9:45:03 PM WEST,{ },{ok},49.2
09-Jan-25 10:00:01 PM WEST,{ },{ok},51.8
09-Jan-25 10:15:00 PM WEST,{ },{ok},44.5
09-Jan-25 10:30:00 PM WEST,{ },{ok},46.4
09-Jan-25 10:45:00 PM WEST,{ },{ok},42.5
09-Jan-25 11:00:00 PM WEST,{ },{ok},46.9
09-Jan-25 11:15:00 PM WEST,{ },{ok},42.0
