history:GTC_Multisite_Inwi/FES-MCO T°c Ambiante IT

Timestamp,Trend Flags,Status,Value (°C)
09-Jan-25 1:30:00 PM WEST,{start},"{alarm,unackedAlarm}",27.3
09-Jan-25 1:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 2:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.2
09-Jan-25 2:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.2
09-Jan-25 2:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.2
09-Jan-25 2:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 3:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 3:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 3:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 3:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 4:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 4:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 4:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 4:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 5:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 5:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 5:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 5:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 6:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 6:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 6:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 6:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 7:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 7:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 7:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 7:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.1
09-Jan-25 8:00:02 PM WEST,{ },"{alarm,unackedAlarm}",27.1
09-Jan-25 8:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.3
09-Jan-25 8:30:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 8:45:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 9:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 9:15:01 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 9:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 9:45:03 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 10:00:01 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 10:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 10:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 10:45:00 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 11:00:00 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 11:15:00 PM WEST,{ },"{alarm,unackedAlarm}",27.4
09-Jan-25 11:30:00 PM WEST,{ },"{alarm,unackedAlarm}",27.5
09-Jan-25 11:45:04 PM WEST,{ },"{alarm,unackedAlarm}",27.5
10-Jan-25 12:00:00 AM WEST,{ },"{alarm,unackedAlarm}",27.5
