history:GTC_Multisite_Inwi/FEZ-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
30-Dec-24 10:42:05 AM WEST,{start},{down},Fermé
30-Dec-24 10:46:35 AM WEST,{ },{ok},Fermé
30-Dec-24 11:38:08 AM WEST,{ },{down},Fermé
30-Dec-24 11:43:14 AM WEST,{ },{ok},Fermé
30-Dec-24 11:48:35 AM WEST,{ },{down},Fermé
30-Dec-24 11:59:14 AM WEST,{ },{ok},Fermé
30-Dec-24 12:04:48 PM WEST,{ },{down},Fermé
30-Dec-24 12:09:51 PM WEST,{ },{ok},Fermé
30-Dec-24 12:15:15 PM WEST,{ },{down},Fermé
30-Dec-24 12:20:51 PM WEST,{ },{ok},Fermé
30-Dec-24 12:30:10 PM WEST,{ },{down},Fermé
30-Dec-24 12:35:25 PM WEST,{ },{ok},Fermé
30-Dec-24 12:45:46 PM WEST,{ },{down},Fermé
30-Dec-24 12:56:09 PM WEST,{ },{ok},Fermé
30-Dec-24 2:10:49 PM WEST,{ },{down},Fermé
30-Dec-24 2:15:50 PM WEST,{ },{ok},Fermé
30-Dec-24 3:34:22 PM WEST,{ },{down},Fermé
30-Dec-24 3:39:31 PM WEST,{ },{ok},Fermé
30-Dec-24 4:10:01 PM WEST,{ },{down},Fermé
30-Dec-24 4:15:03 PM WEST,{ },{ok},Fermé
30-Dec-24 7:13:22 PM WEST,{ },{down},Fermé
30-Dec-24 7:18:23 PM WEST,{ },{ok},Fermé
31-Dec-24 3:56:26 AM WEST,{ },{down},Fermé
31-Dec-24 4:01:33 AM WEST,{ },{ok},Fermé
31-Dec-24 4:38:24 AM WEST,{ },{down},Fermé
31-Dec-24 4:43:52 AM WEST,{ },{ok},Fermé
31-Dec-24 5:16:39 AM WEST,{ },{down},Fermé
31-Dec-24 5:21:49 AM WEST,{ },{ok},Fermé
31-Dec-24 6:19:59 AM WEST,{ },{down},Fermé
31-Dec-24 6:25:02 AM WEST,{ },{ok},Fermé
31-Dec-24 6:49:08 AM WEST,{ },{down},Fermé
31-Dec-24 6:54:26 AM WEST,{ },{ok},Fermé
31-Dec-24 8:14:07 AM WEST,{ },{down},Fermé
31-Dec-24 8:19:08 AM WEST,{ },{ok},Fermé
31-Dec-24 8:37:33 AM WEST,{ },{down},Fermé
31-Dec-24 8:53:19 AM WEST,{ },{ok},Fermé
31-Dec-24 9:05:09 AM WEST,{ },{down},Fermé
31-Dec-24 9:10:18 AM WEST,{ },{ok},Fermé
31-Dec-24 10:00:23 AM WEST,{ },{down},Fermé
31-Dec-24 10:05:24 AM WEST,{ },{ok},Fermé
31-Dec-24 10:38:59 AM WEST,{ },{down},Fermé
31-Dec-24 10:44:07 AM WEST,{ },{ok},Fermé
31-Dec-24 11:09:09 AM WEST,{ },{down},Fermé
31-Dec-24 11:14:13 AM WEST,{ },{ok},Fermé
31-Dec-24 11:17:42 AM WEST,{ },{down},Fermé
