history:GTC_Multisite_Inwi/KMR-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
07-Jan-25 12:02:08 AM WEST,{start},{ok},Fermé
09-Jan-25 9:45:43 AM WEST,{ },{ok},Ouvert
09-Jan-25 10:33:32 AM WEST,{ },{ok},Fermé
09-Jan-25 12:13:51 PM WEST,{ },{ok},Ouvert
09-Jan-25 12:24:19 PM WEST,{ },{ok},Fermé
09-Jan-25 12:28:52 PM WEST,{ },{ok},Ouvert
09-Jan-25 12:33:49 PM WEST,{ },{ok},Fermé
13-Jan-25 12:05:40 PM WEST,{ },{ok},Ouvert
13-Jan-25 12:38:20 PM WEST,{ },{ok},Fermé
13-Jan-25 2:35:19 PM WEST,{ },{ok},Ouvert
13-Jan-25 5:16:51 PM WEST,{ },{ok},Fermé
16-Jan-25 9:34:09 AM WEST,{ },{ok},Ouvert
16-Jan-25 9:35:14 AM WEST,{ },{down},Ouvert
16-Jan-25 9:56:02 AM WEST,{ },{ok},Ouvert
16-Jan-25 9:56:03 AM WEST,{ },{ok},Fermé
17-Jan-25 1:05:50 PM WEST,{start},{ok},Fermé
19-Jan-25 9:34:06 AM WEST,{ },{ok},Ouvert
19-Jan-25 9:35:16 AM WEST,{ },{ok},Fermé
19-Jan-25 12:19:55 PM WEST,{ },{ok},Ouvert
19-Jan-25 12:20:30 PM WEST,{ },{ok},Fermé
19-Jan-25 1:41:40 PM WEST,{ },{ok},Ouvert
19-Jan-25 1:52:55 PM WEST,{ },{ok},Fermé
20-Jan-25 11:12:00 AM WEST,{ },{ok},Ouvert
20-Jan-25 11:15:48 AM WEST,{ },{ok},Fermé
20-Jan-25 11:25:40 AM WEST,{ },{ok},Ouvert
20-Jan-25 11:29:59 AM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 10:07:55 PM WEST,{start},{ok},Fermé
31-Jan-25 11:57:19 AM WEST,{ },{ok},Ouvert
31-Jan-25 12:44:41 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:27 AM WEST,{ },{ok},Fermé
12-Feb-25 5:15:04 PM WEST,{ },{ok},Ouvert
12-Feb-25 5:17:06 PM WEST,{ },{ok},Fermé
13-Feb-25 9:41:54 AM WEST,{ },{ok},Ouvert
13-Feb-25 10:37:20 AM WEST,{ },{ok},Fermé
13-Feb-25 10:38:51 AM WEST,{ },{ok},Ouvert
13-Feb-25 12:01:50 PM WEST,{ },{ok},Fermé
13-Feb-25 12:23:48 PM WEST,{ },{ok},Ouvert
13-Feb-25 12:51:34 PM WEST,{ },{ok},Fermé
13-Feb-25 3:38:43 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:36 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:34 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:51 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
20-Feb-25 4:16:41 PM WEST,{ },{ok},Ouvert
20-Feb-25 4:17:41 PM WEST,{ },{ok},Fermé
20-Feb-25 4:35:23 PM WEST,{ },{ok},Ouvert
20-Feb-25 4:35:55 PM WEST,{ },{ok},Fermé
24-Feb-25 9:15:51 AM WET,{ },{ok},Ouvert
24-Feb-25 9:22:46 AM WET,{ },{ok},Fermé
