history:GTC_Multisite_Inwi/MEK-MCO Contact PORTE IT

Timestamp,Trend Flags,Status,Value
17-Aug-25 9:28:16 PM WEST,{ },{ok},Ouvert
17-Aug-25 9:28:18 PM WEST,{ },{ok},Fermé
17-Aug-25 9:28:43 PM WEST,{ },{ok},Ouvert
18-Aug-25 3:12:07 PM WEST,{ },{ok},Fermé
18-Aug-25 3:12:32 PM WEST,{ },{ok},Ouvert
18-Aug-25 3:12:36 PM WEST,{ },{ok},Fermé
18-Aug-25 5:43:28 PM WEST,{ },{ok},Ouvert
18-Aug-25 5:43:30 PM WEST,{ },{ok},Fermé
18-Aug-25 5:43:51 PM WEST,{ },{ok},Ouvert
18-Aug-25 5:43:55 PM WEST,{ },{ok},Fermé
18-Aug-25 10:18:24 PM WEST,{ },{ok},Ouvert
18-Aug-25 10:19:47 PM WEST,{ },{ok},Fermé
18-Aug-25 11:06:26 PM WEST,{ },{ok},Ouvert
18-Aug-25 11:07:08 PM WEST,{ },{ok},Fermé
19-Aug-25 10:05:27 PM WEST,{ },{ok},Ouvert
19-Aug-25 10:07:49 PM WEST,{ },{ok},Fermé
20-Aug-25 7:23:41 AM WEST,{ },{ok},Ouvert
20-Aug-25 7:24:17 AM WEST,{ },{ok},Fermé
20-Aug-25 11:00:48 PM WEST,{ },{ok},Ouvert
21-Aug-25 8:10:39 AM WEST,{ },{ok},Fermé
21-Aug-25 10:30:15 PM WEST,{ },{ok},Ouvert
22-Aug-25 8:13:36 AM WEST,{ },{ok},Fermé
22-Aug-25 1:32:52 PM WEST,{ },{ok},Ouvert
22-Aug-25 2:53:10 PM WEST,{ },{ok},Fermé
22-Aug-25 9:59:35 PM WEST,{ },{ok},Ouvert
23-Aug-25 9:42:27 AM WEST,{ },{ok},Fermé
23-Aug-25 11:36:07 AM WEST,{ },{ok},Ouvert
23-Aug-25 11:36:20 AM WEST,{ },{ok},Fermé
23-Aug-25 11:36:25 AM WEST,{ },{ok},Ouvert
23-Aug-25 11:37:59 AM WEST,{ },{ok},Fermé
23-Aug-25 1:52:47 PM WEST,{ },{ok},Ouvert
23-Aug-25 1:52:50 PM WEST,{ },{ok},Fermé
23-Aug-25 1:53:06 PM WEST,{ },{ok},Ouvert
23-Aug-25 1:53:10 PM WEST,{ },{ok},Fermé
23-Aug-25 10:07:21 PM WEST,{ },{ok},Ouvert
24-Aug-25 9:54:17 AM WEST,{ },{ok},Fermé
24-Aug-25 9:54:24 AM WEST,{ },{ok},Ouvert
24-Aug-25 9:55:24 AM WEST,{ },{ok},Fermé
24-Aug-25 12:48:58 PM WEST,{ },{ok},Ouvert
24-Aug-25 12:49:57 PM WEST,{ },{ok},Fermé
24-Aug-25 2:07:11 PM WEST,{ },{ok},Ouvert
24-Aug-25 2:07:21 PM WEST,{ },{ok},Fermé
24-Aug-25 10:16:09 PM WEST,{ },{ok},Ouvert
24-Aug-25 10:17:17 PM WEST,{ },{ok},Fermé
24-Aug-25 11:02:04 PM WEST,{ },{ok},Ouvert
24-Aug-25 11:02:58 PM WEST,{ },{ok},Fermé
25-Aug-25 7:28:14 AM WEST,{ },{ok},Ouvert
25-Aug-25 7:28:49 AM WEST,{ },{ok},Fermé
25-Aug-25 9:34:01 AM WEST,{start},{ok},Fermé
25-Aug-25 11:28:27 AM WEST,{start},{ok},Fermé
25-Aug-25 3:03:13 PM WEST,{ },{ok},Ouvert
25-Aug-25 3:03:57 PM WEST,{ },{ok},Fermé
25-Aug-25 10:35:57 PM WEST,{ },{ok},Ouvert
25-Aug-25 10:36:32 PM WEST,{ },{ok},Fermé
25-Aug-25 11:39:18 PM WEST,{ },{ok},Ouvert
26-Aug-25 10:32:17 AM WEST,{ },{ok},Fermé
26-Aug-25 1:52:43 PM WEST,{ },{ok},Ouvert
26-Aug-25 1:57:01 PM WEST,{ },{ok},Fermé
26-Aug-25 4:22:39 PM WEST,{ },{ok},Ouvert
26-Aug-25 4:24:12 PM WEST,{ },{ok},Fermé
27-Aug-25 9:02:31 AM WEST,{start},{ok},Fermé
27-Aug-25 11:42:59 AM WEST,{ },{ok},Ouvert
27-Aug-25 11:43:48 AM WEST,{ },{ok},Fermé
28-Aug-25 2:06:31 AM WEST,{ },{ok},Ouvert
28-Aug-25 2:06:39 AM WEST,{ },{ok},Fermé
28-Aug-25 8:21:19 AM WEST,{ },{ok},Ouvert
28-Aug-25 8:23:20 AM WEST,{ },{ok},Fermé
28-Aug-25 10:18:48 AM WEST,{start},{ok},Fermé
28-Aug-25 10:31:55 AM WEST,{start},{ok},Fermé
28-Aug-25 4:56:56 PM WEST,{ },{ok},Ouvert
28-Aug-25 4:57:56 PM WEST,{ },{ok},Fermé
29-Aug-25 10:04:38 PM WEST,{ },{ok},Ouvert
29-Aug-25 10:04:41 PM WEST,{ },{ok},Fermé
29-Aug-25 10:05:29 PM WEST,{ },{ok},Ouvert
30-Aug-25 8:53:44 AM WEST,{ },{ok},Fermé
30-Aug-25 8:29:28 PM WEST,{ },{ok},Ouvert
30-Aug-25 8:29:32 PM WEST,{ },{ok},Fermé
30-Aug-25 8:30:53 PM WEST,{ },{ok},Ouvert
31-Aug-25 8:09:39 AM WEST,{ },{ok},Fermé
31-Aug-25 10:12:22 PM WEST,{ },{ok},Ouvert
01-Sep-25 8:13:04 AM WEST,{ },{ok},Fermé
01-Sep-25 5:27:03 PM WEST,{start},{ok},Fermé
01-Sep-25 9:53:31 PM WEST,{ },{ok},Ouvert
02-Sep-25 8:09:35 AM WEST,{ },{ok},Fermé
02-Sep-25 9:07:22 AM WEST,{start},{ok},Fermé
02-Sep-25 3:02:26 PM WEST,{ },{ok},Ouvert
02-Sep-25 3:02:39 PM WEST,{ },{ok},Fermé
02-Sep-25 3:03:19 PM WEST,{ },{ok},Ouvert
02-Sep-25 3:23:17 PM WEST,{ },{ok},Fermé
02-Sep-25 3:26:21 PM WEST,{ },{ok},Ouvert
