history:GTC_Multisite_Inwi/MEK-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
17-Jan-25 4:51:20 PM WEST,{start},{ok},Fermé
20-Jan-25 4:06:18 PM WEST,{ },{ok},Ouvert
20-Jan-25 4:12:10 PM WEST,{ },{ok},Fermé
23-Jan-25 12:46:24 PM WEST,{ },{ok},Ouvert
23-Jan-25 12:48:40 PM WEST,{ },{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:29 AM WEST,{start},{ok},Fermé
29-Jan-25 3:50:14 PM WEST,{ },{ok},Ouvert
29-Jan-25 3:51:42 PM WEST,{ },{ok},Fermé
29-Jan-25 3:51:44 PM WEST,{ },{ok},Ouvert
29-Jan-25 3:51:48 PM WEST,{ },{ok},Fermé
29-Jan-25 3:51:51 PM WEST,{ },{ok},Ouvert
29-Jan-25 4:41:45 PM WEST,{ },{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
06-Feb-25 10:00:46 AM WEST,{ },{ok},Ouvert
06-Feb-25 10:01:14 AM WEST,{ },{ok},Fermé
06-Feb-25 12:32:38 PM WEST,{ },{ok},Ouvert
06-Feb-25 12:33:26 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:29 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
18-Feb-25 12:27:03 PM WEST,{ },{ok},Ouvert
18-Feb-25 12:27:22 PM WEST,{ },{ok},Fermé
18-Feb-25 12:38:37 PM WEST,{ },{ok},Ouvert
18-Feb-25 12:38:56 PM WEST,{ },{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
20-Feb-25 3:44:58 PM WEST,{ },{ok},Ouvert
20-Feb-25 3:45:19 PM WEST,{ },{ok},Fermé
20-Feb-25 4:34:04 PM WEST,{ },{ok},Ouvert
20-Feb-25 4:34:26 PM WEST,{ },{ok},Fermé
26-Feb-25 2:16:35 AM WET,{ },{down},Fermé
26-Feb-25 2:21:47 AM WET,{ },{ok},Fermé
26-Feb-25 1:05:43 PM WET,{ },{ok},Ouvert
26-Feb-25 1:06:14 PM WET,{ },{ok},Fermé
26-Feb-25 1:27:17 PM WET,{ },{ok},Ouvert
26-Feb-25 2:43:11 PM WET,{ },{ok},Fermé
26-Feb-25 2:43:13 PM WET,{ },{ok},Ouvert
26-Feb-25 2:43:15 PM WET,{ },{ok},Fermé
28-Feb-25 1:52:56 AM WET,{ },{down},Fermé
28-Feb-25 1:58:03 AM WET,{ },{ok},Fermé
28-Feb-25 5:00:14 PM WET,{ },{ok},Ouvert
28-Feb-25 5:02:32 PM WET,{ },{ok},Fermé
04-Mar-25 8:38:43 AM WET,{ },{ok},Ouvert
04-Mar-25 8:38:47 AM WET,{ },{ok},Fermé
04-Mar-25 8:48:30 AM WET,{ },{ok},Ouvert
04-Mar-25 8:48:43 AM WET,{ },{ok},Fermé
04-Mar-25 8:48:48 AM WET,{ },{ok},Ouvert
04-Mar-25 8:48:50 AM WET,{ },{ok},Fermé
06-Mar-25 11:37:15 PM WET,{ },{ok},Ouvert
07-Mar-25 1:17:49 AM WET,{ },{ok},Fermé
10-Mar-25 9:46:31 AM WET,{ },{ok},Ouvert
10-Mar-25 10:52:57 AM WET,{ },{ok},Fermé
10-Mar-25 11:00:17 AM WET,{ },{ok},Ouvert
10-Mar-25 11:00:33 AM WET,{ },{ok},Fermé
10-Mar-25 11:05:57 AM WET,{ },{ok},Ouvert
10-Mar-25 11:09:03 AM WET,{ },{ok},Fermé
10-Mar-25 11:45:40 AM WET,{ },{ok},Ouvert
10-Mar-25 12:21:58 PM WET,{ },{ok},Fermé
10-Mar-25 12:22:05 PM WET,{ },{ok},Ouvert
