history:GTC_Multisite_Inwi/MEK-ONE Active Power Arrive

Timestamp,Trend Flags,Status,Value (kW)
17-Jan-25 4:45:01 PM WEST,{start},{ok},28.1
17-Jan-25 5:00:02 PM WEST,{ },{ok},26.9
17-Jan-25 5:15:01 PM WEST,{ },{ok},27.0
17-Jan-25 5:30:01 PM WEST,{ },{ok},28.5
17-Jan-25 5:45:01 PM WEST,{ },{ok},26.5
17-Jan-25 6:00:01 PM WEST,{ },{ok},28.5
17-Jan-25 6:15:01 PM WEST,{ },{ok},28.6
17-Jan-25 6:30:01 PM WEST,{ },{ok},30.7
17-Jan-25 6:45:01 PM WEST,{ },{ok},28.5
17-Jan-25 7:00:01 PM WEST,{ },{ok},23.7
17-Jan-25 7:15:02 PM WEST,{ },{ok},30.3
17-Jan-25 7:30:01 PM WEST,{ },{ok},28.6
17-Jan-25 7:45:02 PM WEST,{ },{ok},25.8
17-Jan-25 8:00:01 PM WEST,{ },{ok},27.8
17-Jan-25 8:15:01 PM WEST,{ },{ok},26.2
17-Jan-25 8:30:01 PM WEST,{ },{ok},30.2
17-Jan-25 8:45:01 PM WEST,{ },{ok},28.2
17-Jan-25 9:00:01 PM WEST,{ },{ok},24.1
17-Jan-25 9:15:02 PM WEST,{ },{ok},28.3
17-Jan-25 9:30:01 PM WEST,{ },{ok},28.6
17-Jan-25 9:45:00 PM WEST,{ },{ok},26.0
17-Jan-25 10:00:00 PM WEST,{ },{ok},30.2
17-Jan-25 10:15:00 PM WEST,{ },{ok},31.2
17-Jan-25 10:30:02 PM WEST,{ },{ok},26.3
17-Jan-25 10:45:01 PM WEST,{ },{ok},28.1
17-Jan-25 11:00:01 PM WEST,{ },{ok},24.0
17-Jan-25 11:15:01 PM WEST,{ },{ok},26.1
17-Jan-25 11:30:01 PM WEST,{ },{ok},28.3
17-Jan-25 11:45:01 PM WEST,{ },{ok},25.7
18-Jan-25 12:00:01 AM WEST,{ },{ok},29.5
18-Jan-25 12:15:02 AM WEST,{ },{ok},25.5
18-Jan-25 12:30:01 AM WEST,{ },{ok},29.5
18-Jan-25 12:45:01 AM WEST,{ },{ok},23.2
18-Jan-25 1:00:01 AM WEST,{ },{ok},25.2
18-Jan-25 1:15:01 AM WEST,{ },{ok},29.2
18-Jan-25 1:30:01 AM WEST,{ },{ok},24.8
18-Jan-25 1:45:01 AM WEST,{ },{ok},26.7
18-Jan-25 2:00:01 AM WEST,{ },{ok},24.8
18-Jan-25 2:15:01 AM WEST,{ },{ok},28.8
18-Jan-25 2:30:02 AM WEST,{ },{ok},22.4
18-Jan-25 2:45:00 AM WEST,{ },{ok},26.7
18-Jan-25 3:00:00 AM WEST,{ },{ok},24.6
18-Jan-25 3:15:01 AM WEST,{ },{ok},26.0
18-Jan-25 3:30:01 AM WEST,{ },{ok},23.9
18-Jan-25 3:45:01 AM WEST,{ },{ok},25.8
18-Jan-25 4:00:01 AM WEST,{ },{ok},25.9
18-Jan-25 4:15:01 AM WEST,{ },{ok},23.8
18-Jan-25 4:30:01 AM WEST,{ },{ok},27.9
18-Jan-25 4:45:01 AM WEST,{ },{ok},25.9
18-Jan-25 5:00:01 AM WEST,{ },{ok},21.7
18-Jan-25 5:15:01 AM WEST,{ },{ok},23.9
18-Jan-25 5:30:00 AM WEST,{ },{ok},25.8
18-Jan-25 5:45:01 AM WEST,{ },{ok},23.8
18-Jan-25 6:00:01 AM WEST,{ },{ok},25.9
18-Jan-25 6:15:02 AM WEST,{ },{ok},25.3
18-Jan-25 6:30:01 AM WEST,{ },{ok},29.3
18-Jan-25 6:45:00 AM WEST,{ },{ok},25.1
18-Jan-25 7:00:01 AM WEST,{ },{ok},26.5
18-Jan-25 7:15:00 AM WEST,{ },{ok},24.7
18-Jan-25 7:30:01 AM WEST,{ },{ok},26.4
18-Jan-25 7:45:00 AM WEST,{ },{ok},22.6
18-Jan-25 8:00:01 AM WEST,{ },{ok},26.4
18-Jan-25 8:15:00 AM WEST,{ },{ok},25.5
18-Jan-25 8:30:00 AM WEST,{ },{ok},27.1
18-Jan-25 8:45:00 AM WEST,{ },{ok},25.2
18-Jan-25 9:00:01 AM WEST,{ },{ok},25.2
18-Jan-25 9:15:01 AM WEST,{ },{ok},25.2
18-Jan-25 9:30:01 AM WEST,{ },{ok},27.4
18-Jan-25 9:45:01 AM WEST,{ },{ok},23.3
18-Jan-25 10:00:01 AM WEST,{ },{ok},27.9
18-Jan-25 10:15:01 AM WEST,{ },{ok},30.1
18-Jan-25 10:30:01 AM WEST,{ },{ok},25.9
18-Jan-25 10:45:01 AM WEST,{ },{ok},28.0
18-Jan-25 11:00:01 AM WEST,{ },{ok},30.0
18-Jan-25 11:15:01 AM WEST,{ },{ok},23.8
18-Jan-25 11:30:01 AM WEST,{ },{ok},26.2
18-Jan-25 11:45:00 AM WEST,{ },{ok},30.9
18-Jan-25 12:00:01 PM WEST,{ },{ok},23.8
18-Jan-25 12:15:01 PM WEST,{ },{ok},28.7
18-Jan-25 12:30:01 PM WEST,{ },{ok},30.7
18-Jan-25 12:45:01 PM WEST,{ },{ok},25.5
18-Jan-25 1:00:00 PM WEST,{ },{ok},30.5
18-Jan-25 1:15:02 PM WEST,{ },{ok},25.8
18-Jan-25 1:30:00 PM WEST,{ },{ok},26.7
18-Jan-25 1:45:00 PM WEST,{ },{ok},30.6
18-Jan-25 2:00:00 PM WEST,{ },{ok},23.8
18-Jan-25 2:15:00 PM WEST,{ },{ok},28.4
18-Jan-25 2:30:01 PM WEST,{ },{ok},30.5
18-Jan-25 2:45:00 PM WEST,{ },{ok},24.1
18-Jan-25 3:00:01 PM WEST,{ },{ok},30.4
18-Jan-25 3:15:00 PM WEST,{ },{ok},26.4
18-Jan-25 3:30:00 PM WEST,{ },{ok},26.9
18-Jan-25 3:45:00 PM WEST,{ },{ok},30.2
18-Jan-25 4:00:02 PM WEST,{ },{ok},26.4
18-Jan-25 4:15:00 PM WEST,{ },{ok},28.2
18-Jan-25 4:30:00 PM WEST,{ },{ok},31.0
18-Jan-25 4:45:01 PM WEST,{ },{ok},26.4
18-Jan-25 5:00:00 PM WEST,{ },{ok},31.1
18-Jan-25 5:15:00 PM WEST,{ },{ok},26.0
18-Jan-25 5:30:01 PM WEST,{ },{ok},26.7
18-Jan-25 5:45:00 PM WEST,{ },{ok},30.8
18-Jan-25 6:00:00 PM WEST,{ },{ok},24.1
18-Jan-25 6:15:00 PM WEST,{ },{ok},31.0
18-Jan-25 6:30:00 PM WEST,{ },{ok},28.4
18-Jan-25 6:45:00 PM WEST,{ },{ok},28.2
18-Jan-25 7:00:00 PM WEST,{ },{ok},30.3
18-Jan-25 7:15:01 PM WEST,{ },{ok},26.3
18-Jan-25 7:30:01 PM WEST,{ },{ok},28.2
18-Jan-25 7:45:01 PM WEST,{ },{ok},28.7
18-Jan-25 8:00:01 PM WEST,{ },{ok},26.4
18-Jan-25 8:15:01 PM WEST,{ },{ok},28.3
18-Jan-25 8:30:01 PM WEST,{ },{ok},30.5
18-Jan-25 8:45:01 PM WEST,{ },{ok},28.3
18-Jan-25 9:00:35 PM WEST,{ },{ok},28.5
18-Jan-25 9:15:01 PM WEST,{ },{ok},26.3
18-Jan-25 9:30:01 PM WEST,{ },{ok},28.1
18-Jan-25 9:45:01 PM WEST,{ },{ok},28.3
18-Jan-25 10:00:01 PM WEST,{ },{ok},26.2
18-Jan-25 10:15:00 PM WEST,{ },{ok},28.5
18-Jan-25 10:30:02 PM WEST,{ },{ok},30.4
18-Jan-25 10:45:01 PM WEST,{ },{ok},24.0
18-Jan-25 11:00:01 PM WEST,{ },{ok},28.2
18-Jan-25 11:15:01 PM WEST,{ },{ok},27.7
18-Jan-25 11:30:02 PM WEST,{ },{ok},25.8
18-Jan-25 11:45:00 PM WEST,{ },{ok},30.1
19-Jan-25 12:00:01 AM WEST,{ },{ok},25.6
19-Jan-25 12:15:02 AM WEST,{ },{ok},27.8
19-Jan-25 12:30:00 AM WEST,{ },{ok},29.5
19-Jan-25 12:45:01 AM WEST,{ },{ok},25.6
19-Jan-25 1:00:02 AM WEST,{ },{ok},27.3
19-Jan-25 1:15:01 AM WEST,{ },{ok},27.1
19-Jan-25 1:30:01 AM WEST,{ },{ok},27.0
19-Jan-25 1:45:01 AM WEST,{ },{ok},26.9
19-Jan-25 2:00:01 AM WEST,{ },{ok},22.8
19-Jan-25 2:15:01 AM WEST,{ },{ok},28.5
19-Jan-25 2:30:01 AM WEST,{ },{ok},22.4
19-Jan-25 2:45:01 AM WEST,{ },{ok},26.7
19-Jan-25 3:00:00 AM WEST,{ },{ok},26.6
19-Jan-25 3:15:01 AM WEST,{ },{ok},23.9
19-Jan-25 3:30:01 AM WEST,{ },{ok},25.9
19-Jan-25 3:45:01 AM WEST,{ },{ok},25.9
19-Jan-25 4:00:01 AM WEST,{ },{ok},23.9
19-Jan-25 4:15:01 AM WEST,{ },{ok},28.3
19-Jan-25 4:30:01 AM WEST,{ },{ok},26.3
19-Jan-25 4:45:01 AM WEST,{ },{ok},24.0
19-Jan-25 5:00:01 AM WEST,{ },{ok},22.2
19-Jan-25 5:15:01 AM WEST,{ },{ok},26.0
19-Jan-25 5:30:01 AM WEST,{ },{ok},26.0
19-Jan-25 5:45:00 AM WEST,{ },{ok},23.9
19-Jan-25 6:00:01 AM WEST,{ },{ok},25.9
19-Jan-25 6:15:01 AM WEST,{ },{ok},25.2
19-Jan-25 6:30:01 AM WEST,{ },{ok},29.3
19-Jan-25 6:45:00 AM WEST,{ },{ok},27.4
19-Jan-25 7:00:01 AM WEST,{ },{ok},24.3
19-Jan-25 7:15:01 AM WEST,{ },{ok},24.8
19-Jan-25 7:30:01 AM WEST,{ },{ok},26.8
19-Jan-25 7:45:00 AM WEST,{ },{ok},24.9
19-Jan-25 8:00:01 AM WEST,{ },{ok},27.0
19-Jan-25 8:15:01 AM WEST,{ },{ok},27.8
