history:GTC_Multisite_Inwi/OLI-ONE Contact PORTE

Timestamp,Trend Flags,Status,Value
24-Jan-25 10:51:31 AM WEST,{start},{ok},Ouvert
28-Jan-25 4:53:16 PM WEST,{start},{ok},Ouvert
29-Jan-25 9:27:30 AM WEST,{start},{ok},Ouvert
30-Jan-25 10:07:54 PM WEST,{start},{ok},Ouvert
11-Feb-25 11:37:28 AM WEST,{start},{ok},Ouvert
12-Feb-25 2:26:00 AM WEST,{ },{down},Ouvert
12-Feb-25 2:54:29 AM WEST,{ },{ok},Ouvert
13-Feb-25 3:38:42 PM WEST,{start},{ok},Ouvert
13-Feb-25 4:42:35 PM WEST,{start},{ok},Ouvert
14-Feb-25 9:28:34 AM WEST,{start},{ok},Ouvert
20-Feb-25 8:58:50 AM WEST,{start},{ok},Ouvert
20-Feb-25 9:00:33 AM WEST,{start},{ok},Ouvert
26-Feb-25 2:16:34 AM WET,{ },{down},Ouvert
26-Feb-25 2:21:38 AM WET,{ },{ok},Ouvert
28-Feb-25 1:52:58 AM WET,{ },{down},Ouvert
28-Feb-25 1:58:10 AM WET,{ },{ok},Ouvert
09-Apr-25 4:23:39 PM WEST,{start},{ok},Ouvert
13-Apr-25 8:05:42 PM WEST,{start},{ok},Ouvert
23-Apr-25 12:10:54 PM WEST,{start},{ok},Ouvert
20-May-25 9:01:32 AM WEST,{start},{ok},Ouvert
12-Jun-25 11:10:52 AM WEST,{start},{ok},Ouvert
12-Jun-25 12:16:54 PM WEST,{start},{ok},Ouvert
12-Jun-25 12:26:50 PM WEST,{start},{ok},Ouvert
12-Jun-25 12:29:23 PM WEST,{start},{ok},Ouvert
19-Jun-25 1:01:55 PM WEST,{ },{down},Ouvert
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:50:08 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:50:08 AM WEST,{ },{ok},Ouvert
25-Jun-25 9:31:42 AM WEST,{start},{ok},Ouvert
02-Jul-25 12:29:13 PM WEST,{start},{ok},Ouvert
09-Jul-25 3:49:23 PM WEST,{start},{ok},Ouvert
