history:GTC_Multisite_Inwi/AHO_MCO T°_AMBIANTE

Timestamp,Trend Flags,Status,Value (°C)
21-Jul-25 2:30:01 PM WEST,{start},{unackedAlarm},20.7
21-Jul-25 2:45:02 PM WEST,{ },{unackedAlarm},21.2
21-Jul-25 3:00:02 PM WEST,{ },{unackedAlarm},22.0
21-Jul-25 3:15:01 PM WEST,{ },{unackedAlarm},22.0
21-Jul-25 3:30:02 PM WEST,{ },{unackedAlarm},20.8
21-Jul-25 3:45:02 PM WEST,{ },{unackedAlarm},21.0
21-Jul-25 4:00:02 PM WEST,{ },{unackedAlarm},21.7
21-Jul-25 4:15:01 PM WEST,{ },{unackedAlarm},22.2
21-Jul-25 4:30:01 PM WEST,{ },{unackedAlarm},22.3
21-Jul-25 4:45:00 PM WEST,{ },{unackedAlarm},23.0
21-Jul-25 5:00:02 PM WEST,{ },{unackedAlarm},21.7
21-Jul-25 5:15:01 PM WEST,{ },{unackedAlarm},22.6
21-Jul-25 5:30:00 PM WEST,{ },{unackedAlarm},22.3
21-Jul-25 5:45:01 PM WEST,{ },{unackedAlarm},22.1
21-Jul-25 6:00:02 PM WEST,{ },{unackedAlarm},23.0
21-Jul-25 6:15:01 PM WEST,{ },{unackedAlarm},22.1
21-Jul-25 6:30:01 PM WEST,{ },{unackedAlarm},23.3
21-Jul-25 6:45:01 PM WEST,{ },{unackedAlarm},21.9
21-Jul-25 7:00:01 PM WEST,{ },{unackedAlarm},21.8
21-Jul-25 7:15:01 PM WEST,{ },{unackedAlarm},22.5
21-Jul-25 7:30:01 PM WEST,{ },{unackedAlarm},23.2
21-Jul-25 7:45:01 PM WEST,{ },{unackedAlarm},22.1
21-Jul-25 8:00:01 PM WEST,{ },{unackedAlarm},21.6
21-Jul-25 8:15:01 PM WEST,{ },{unackedAlarm},22.3
21-Jul-25 8:30:01 PM WEST,{ },{unackedAlarm},22.5
21-Jul-25 8:45:01 PM WEST,{ },{unackedAlarm},22.9
21-Jul-25 9:00:01 PM WEST,{ },{unackedAlarm},23.2
21-Jul-25 9:15:03 PM WEST,{ },{unackedAlarm},22.8
21-Jul-25 9:30:01 PM WEST,{ },{unackedAlarm},22.0
21-Jul-25 9:45:01 PM WEST,{ },{unackedAlarm},22.5
21-Jul-25 10:00:01 PM WEST,{ },{unackedAlarm},23.0
21-Jul-25 10:15:01 PM WEST,{ },{unackedAlarm},22.9
21-Jul-25 10:30:01 PM WEST,{ },{unackedAlarm},23.2
21-Jul-25 10:45:01 PM WEST,{ },{unackedAlarm},21.8
21-Jul-25 11:00:01 PM WEST,{ },{unackedAlarm},21.2
21-Jul-25 11:15:02 PM WEST,{ },{unackedAlarm},22.2
21-Jul-25 11:30:01 PM WEST,{ },{unackedAlarm},22.7
21-Jul-25 11:45:01 PM WEST,{ },{unackedAlarm},22.0
22-Jul-25 12:00:01 AM WEST,{ },{unackedAlarm},21.1
22-Jul-25 12:15:01 AM WEST,{ },{unackedAlarm},21.4
22-Jul-25 12:30:01 AM WEST,{ },{unackedAlarm},22.5
22-Jul-25 12:45:01 AM WEST,{ },{unackedAlarm},22.2
22-Jul-25 1:00:01 AM WEST,{ },{unackedAlarm},22.5
22-Jul-25 1:15:01 AM WEST,{ },{unackedAlarm},22.7
22-Jul-25 1:30:01 AM WEST,{ },{unackedAlarm},21.8
22-Jul-25 1:45:01 AM WEST,{ },{unackedAlarm},21.4
22-Jul-25 2:00:01 AM WEST,{ },{unackedAlarm},21.9
22-Jul-25 2:15:01 AM WEST,{ },{unackedAlarm},22.3
22-Jul-25 2:30:02 AM WEST,{ },{unackedAlarm},22.0
22-Jul-25 2:45:01 AM WEST,{ },{unackedAlarm},20.2
22-Jul-25 3:00:01 AM WEST,{ },{unackedAlarm},20.2
22-Jul-25 3:15:01 AM WEST,{ },{unackedAlarm},21.0
22-Jul-25 3:30:01 AM WEST,{ },{unackedAlarm},21.7
22-Jul-25 3:45:01 AM WEST,{ },{unackedAlarm},20.5
22-Jul-25 4:00:01 AM WEST,{ },{unackedAlarm},19.7
22-Jul-25 4:15:01 AM WEST,{ },{unackedAlarm},20.2
22-Jul-25 4:30:01 AM WEST,{ },{unackedAlarm},21.9
22-Jul-25 4:45:02 AM WEST,{ },{unackedAlarm},20.9
22-Jul-25 5:00:02 AM WEST,{ },{unackedAlarm},21.3
22-Jul-25 5:15:01 AM WEST,{ },{unackedAlarm},21.6
22-Jul-25 5:30:01 AM WEST,{ },{unackedAlarm},21.1
22-Jul-25 5:45:01 AM WEST,{ },{unackedAlarm},20.4
22-Jul-25 6:00:01 AM WEST,{ },{unackedAlarm},21.0
22-Jul-25 6:15:01 AM WEST,{ },{unackedAlarm},21.5
22-Jul-25 6:30:01 AM WEST,{ },{unackedAlarm},19.7
22-Jul-25 6:45:01 AM WEST,{ },{unackedAlarm},19.6
22-Jul-25 7:00:01 AM WEST,{ },{unackedAlarm},20.3
22-Jul-25 7:15:02 AM WEST,{ },{unackedAlarm},21.1
22-Jul-25 7:30:01 AM WEST,{ },{unackedAlarm},19.6
22-Jul-25 7:45:02 AM WEST,{ },{unackedAlarm},19.5
22-Jul-25 8:00:01 AM WEST,{ },{unackedAlarm},20.5
22-Jul-25 8:15:01 AM WEST,{ },{unackedAlarm},20.9
22-Jul-25 8:30:01 AM WEST,{ },{unackedAlarm},20.6
22-Jul-25 8:45:01 AM WEST,{ },{unackedAlarm},21.2
22-Jul-25 9:00:02 AM WEST,{ },{unackedAlarm},21.3
22-Jul-25 9:15:00 AM WEST,{ },{unackedAlarm},20.5
22-Jul-25 9:30:01 AM WEST,{ },{unackedAlarm},20.7
22-Jul-25 9:45:01 AM WEST,{ },{unackedAlarm},21.3
22-Jul-25 10:00:01 AM WEST,{ },{unackedAlarm},21.1
22-Jul-25 10:15:01 AM WEST,{ },{unackedAlarm},21.0
22-Jul-25 10:30:01 AM WEST,{ },{unackedAlarm},19.7
22-Jul-25 10:45:01 AM WEST,{ },{unackedAlarm},20.5
22-Jul-25 11:00:01 AM WEST,{ },{unackedAlarm},21.4
22-Jul-25 11:15:01 AM WEST,{ },{unackedAlarm},21.5
22-Jul-25 11:30:15 AM WEST,{ },{unackedAlarm},20.3
22-Jul-25 11:45:01 AM WEST,{ },{unackedAlarm},19.9
22-Jul-25 12:00:01 PM WEST,{ },{unackedAlarm},20.7
22-Jul-25 12:15:02 PM WEST,{ },{unackedAlarm},21.8
22-Jul-25 12:30:01 PM WEST,{ },{unackedAlarm},21.0
22-Jul-25 12:45:01 PM WEST,{ },{unackedAlarm},21.3
22-Jul-25 1:00:01 PM WEST,{ },{unackedAlarm},21.8
22-Jul-25 1:15:01 PM WEST,{ },{unackedAlarm},21.7
22-Jul-25 1:30:01 PM WEST,{ },{unackedAlarm},21.0
22-Jul-25 1:45:01 PM WEST,{ },{unackedAlarm},21.1
22-Jul-25 2:00:02 PM WEST,{ },{unackedAlarm},21.7
22-Jul-25 2:15:01 PM WEST,{ },{unackedAlarm},21.4
22-Jul-25 2:30:01 PM WEST,{ },{unackedAlarm},20.2
22-Jul-25 2:45:01 PM WEST,{ },{unackedAlarm},20.8
22-Jul-25 3:00:02 PM WEST,{ },{unackedAlarm},21.7
22-Jul-25 3:15:01 PM WEST,{ },{unackedAlarm},21.5
22-Jul-25 3:30:01 PM WEST,{ },{unackedAlarm},20.4
22-Jul-25 3:45:00 PM WEST,{ },{unackedAlarm},20.4
22-Jul-25 4:00:02 PM WEST,{ },{unackedAlarm},21.1
22-Jul-25 4:15:00 PM WEST,{ },{unackedAlarm},21.9
22-Jul-25 4:30:01 PM WEST,{ },{unackedAlarm},21.0
22-Jul-25 4:45:01 PM WEST,{ },{unackedAlarm},21.6
22-Jul-25 5:00:01 PM WEST,{ },{unackedAlarm},22.8
22-Jul-25 5:15:01 PM WEST,{ },{unackedAlarm},22.5
22-Jul-25 5:30:01 PM WEST,{ },{unackedAlarm},22.6
22-Jul-25 5:45:01 PM WEST,{ },{unackedAlarm},20.9
22-Jul-25 6:00:01 PM WEST,{ },{unackedAlarm},21.9
22-Jul-25 6:15:01 PM WEST,{ },{unackedAlarm},22.1
22-Jul-25 6:30:01 PM WEST,{ },{unackedAlarm},21.8
22-Jul-25 6:45:01 PM WEST,{ },{unackedAlarm},22.4
22-Jul-25 7:00:01 PM WEST,{ },{unackedAlarm},22.4
22-Jul-25 7:15:01 PM WEST,{ },{unackedAlarm},22.7
22-Jul-25 7:30:01 PM WEST,{ },{unackedAlarm},22.7
22-Jul-25 7:45:01 PM WEST,{ },{unackedAlarm},21.9
22-Jul-25 8:00:01 PM WEST,{ },{unackedAlarm},21.8
22-Jul-25 8:15:01 PM WEST,{ },{unackedAlarm},22.3
22-Jul-25 8:30:01 PM WEST,{ },{unackedAlarm},22.5
22-Jul-25 8:45:01 PM WEST,{ },{unackedAlarm},21.5
