history:GTC_Multisite_Inwi/GRC-ONE Contact porte

Timestamp,Trend Flags,Status,Value
06-Mar-25 9:09:58 AM WET,{start},{unackedAlarm},Fermé
06-Mar-25 10:15:34 AM WET,{ },"{alarm,unackedAlarm}",Ouvert
06-Mar-25 10:42:26 AM WET,{ },{unackedAlarm},Fermé
06-Mar-25 10:42:55 AM WET,{ },"{alarm,unackedAlarm}",Ouvert
06-Mar-25 1:51:05 PM WET,{ },{unackedAlarm},Fermé
06-Mar-25 1:52:27 PM WET,{ },"{alarm,unackedAlarm}",Ouvert
06-Mar-25 2:54:29 PM WET,{ },{unackedAlarm},Fermé
08-Mar-25 3:32:28 PM WET,{ },"{down,unackedAlarm}",Fermé
08-Mar-25 3:37:30 PM WET,{ },{unackedAlarm},Fermé
08-Mar-25 3:37:31 PM WET,{ },"{stale,unackedAlarm}",Ouvert
08-Mar-25 3:37:32 PM WET,{ },{unackedAlarm},Fermé
10-Mar-25 10:46:54 AM WET,{ },"{alarm,unackedAlarm}",Ouvert
10-Mar-25 2:33:27 PM WET,{ },{unackedAlarm},Fermé
13-Mar-25 8:32:14 AM WET,{ },"{down,unackedAlarm}",Fermé
13-Mar-25 8:37:17 AM WET,{ },{unackedAlarm},Fermé
13-Mar-25 8:37:17 AM WET,{ },"{stale,unackedAlarm}",Ouvert
13-Mar-25 8:37:19 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 4:45:11 AM WET,{ },"{down,unackedAlarm}",Fermé
21-Mar-25 4:50:13 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 4:50:14 AM WET,{ },"{stale,unackedAlarm}",Ouvert
21-Mar-25 4:50:16 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 4:52:50 AM WET,{ },"{down,unackedAlarm}",Fermé
21-Mar-25 5:03:03 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 5:03:03 AM WET,{ },"{stale,unackedAlarm}",Ouvert
21-Mar-25 5:03:05 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 10:15:02 AM WET,{ },"{down,unackedAlarm}",Fermé
21-Mar-25 10:20:04 AM WET,{ },{unackedAlarm},Fermé
21-Mar-25 10:20:05 AM WET,{ },"{stale,unackedAlarm}",Ouvert
21-Mar-25 10:20:06 AM WET,{ },{unackedAlarm},Fermé
24-Mar-25 8:34:40 AM WET,{ },"{down,unackedAlarm}",Fermé
24-Mar-25 8:39:42 AM WET,{ },{unackedAlarm},Fermé
24-Mar-25 8:39:43 AM WET,{ },"{stale,unackedAlarm}",Ouvert
24-Mar-25 8:39:44 AM WET,{ },{unackedAlarm},Fermé
25-Mar-25 2:25:21 PM WET,{ },"{down,unackedAlarm}",Fermé
25-Mar-25 2:30:24 PM WET,{ },{unackedAlarm},Fermé
25-Mar-25 2:30:25 PM WET,{ },"{stale,unackedAlarm}",Ouvert
