history:GTC_Multisite_Inwi/NAD-MCO Etat_Marche_Split-1

Timestamp,Trend Flags,Status,Value
28-May-25 12:00:02 PM WEST,{start},{ok},OFF
28-May-25 1:00:00 PM WEST,{ },{ok},OFF
28-May-25 2:00:01 PM WEST,{ },{ok},OFF
28-May-25 3:00:01 PM WEST,{ },{ok},OFF
28-May-25 4:00:01 PM WEST,{ },{ok},OFF
28-May-25 5:00:00 PM WEST,{ },{ok},OFF
28-May-25 6:00:00 PM WEST,{ },{ok},OFF
28-May-25 7:00:00 PM WEST,{ },{ok},OFF
28-May-25 8:00:00 PM WEST,{ },{ok},OFF
28-May-25 9:00:00 PM WEST,{ },{ok},OFF
28-May-25 10:00:00 PM WEST,{ },{ok},OFF
28-May-25 11:00:01 PM WEST,{ },{ok},OFF
29-May-25 12:00:00 AM WEST,{ },{ok},OFF
29-May-25 1:00:00 AM WEST,{ },{ok},OFF
29-May-25 2:00:01 AM WEST,{ },{ok},OFF
29-May-25 3:00:01 AM WEST,{ },{ok},OFF
29-May-25 4:00:00 AM WEST,{ },{ok},OFF
29-May-25 5:00:00 AM WEST,{ },{ok},OFF
29-May-25 6:00:00 AM WEST,{ },{ok},OFF
29-May-25 7:00:00 AM WEST,{ },{ok},OFF
29-May-25 8:00:01 AM WEST,{ },{ok},OFF
29-May-25 9:00:00 AM WEST,{ },{ok},OFF
29-May-25 10:00:00 AM WEST,{ },{ok},OFF
29-May-25 11:00:01 AM WEST,{ },{ok},OFF
29-May-25 12:00:00 PM WEST,{ },{ok},OFF
29-May-25 1:00:00 PM WEST,{ },{ok},OFF
29-May-25 2:00:00 PM WEST,{ },{ok},OFF
29-May-25 3:00:00 PM WEST,{ },{ok},OFF
29-May-25 4:00:00 PM WEST,{ },{ok},OFF
29-May-25 5:00:00 PM WEST,{ },{ok},OFF
29-May-25 6:00:01 PM WEST,{ },{ok},OFF
29-May-25 7:00:00 PM WEST,{ },{ok},OFF
29-May-25 8:00:00 PM WEST,{ },{ok},OFF
29-May-25 9:00:00 PM WEST,{ },{ok},OFF
29-May-25 10:00:01 PM WEST,{ },{ok},OFF
29-May-25 11:00:01 PM WEST,{ },{ok},OFF
30-May-25 12:00:00 AM WEST,{ },{ok},OFF
30-May-25 1:00:00 AM WEST,{ },{ok},OFF
30-May-25 2:00:00 AM WEST,{ },{ok},OFF
30-May-25 3:00:01 AM WEST,{ },{ok},OFF
30-May-25 4:00:01 AM WEST,{ },{ok},OFF
30-May-25 5:00:00 AM WEST,{ },{ok},OFF
30-May-25 6:00:00 AM WEST,{ },{ok},OFF
30-May-25 7:00:01 AM WEST,{ },{ok},OFF
