history:GTC_Multisite_Inwi/NAD-MCO Active Power Total Arrive

Timestamp,Trend Flags,Status,Value (kW)
30-Jul-25 11:00:00 AM WEST,{ },{ok},23.4
30-Jul-25 11:15:01 AM WEST,{ },{ok},22.5
30-Jul-25 11:30:00 AM WEST,{ },{ok},22.5
30-Jul-25 11:45:00 AM WEST,{ },{ok},20.2
30-Jul-25 12:00:00 PM WEST,{ },{ok},19.7
30-Jul-25 12:15:01 PM WEST,{ },{ok},17.1
30-Jul-25 12:30:00 PM WEST,{ },{ok},22.8
30-Jul-25 12:45:00 PM WEST,{ },{ok},22.9
30-Jul-25 1:00:00 PM WEST,{ },{ok},23.1
30-Jul-25 1:15:01 PM WEST,{ },{ok},22.9
30-Jul-25 1:30:00 PM WEST,{ },{ok},20.4
30-Jul-25 1:45:00 PM WEST,{ },{ok},20.1
30-Jul-25 2:00:00 PM WEST,{ },{ok},23.5
30-Jul-25 2:15:00 PM WEST,{ },{ok},23.1
30-Jul-25 2:30:00 PM WEST,{ },{ok},23.4
30-Jul-25 2:45:00 PM WEST,{ },{ok},23.6
30-Jul-25 3:00:00 PM WEST,{ },{ok},17.4
30-Jul-25 3:15:00 PM WEST,{ },{ok},23.6
30-Jul-25 3:30:00 PM WEST,{ },{ok},20.7
30-Jul-25 3:45:00 PM WEST,{ },{ok},23.3
30-Jul-25 4:00:01 PM WEST,{ },{ok},24.1
30-Jul-25 4:15:00 PM WEST,{ },{ok},26.3
30-Jul-25 4:30:00 PM WEST,{ },{ok},26.2
30-Jul-25 4:45:00 PM WEST,{ },{ok},26.2
30-Jul-25 5:00:00 PM WEST,{ },{ok},23.3
30-Jul-25 5:15:01 PM WEST,{ },{ok},26.5
30-Jul-25 5:30:01 PM WEST,{ },{ok},23.0
30-Jul-25 5:45:00 PM WEST,{ },{ok},26.1
30-Jul-25 6:00:00 PM WEST,{ },{ok},26.1
30-Jul-25 6:15:01 PM WEST,{ },{ok},20.5
30-Jul-25 6:30:01 PM WEST,{ },{ok},23.2
30-Jul-25 6:45:00 PM WEST,{ },{ok},17.7
30-Jul-25 7:00:00 PM WEST,{ },{ok},19.8
30-Jul-25 7:15:00 PM WEST,{ },{ok},17.4
30-Jul-25 7:30:00 PM WEST,{ },{ok},22.6
30-Jul-25 7:45:00 PM WEST,{ },{ok},22.7
30-Jul-25 8:00:00 PM WEST,{ },{ok},23.1
30-Jul-25 8:15:00 PM WEST,{ },{ok},23.4
30-Jul-25 8:30:00 PM WEST,{ },{ok},26.6
30-Jul-25 8:45:01 PM WEST,{ },{ok},20.7
30-Jul-25 9:00:00 PM WEST,{ },{ok},23.7
30-Jul-25 9:15:00 PM WEST,{ },{ok},18.2
30-Jul-25 9:30:01 PM WEST,{ },{ok},23.4
30-Jul-25 9:45:00 PM WEST,{ },{ok},22.6
30-Jul-25 10:00:00 PM WEST,{ },{ok},22.8
30-Jul-25 10:15:00 PM WEST,{ },{ok},20.1
30-Jul-25 10:30:00 PM WEST,{ },{ok},26.4
30-Jul-25 10:45:00 PM WEST,{ },{ok},23.5
30-Jul-25 11:00:01 PM WEST,{ },{ok},26.1
30-Jul-25 11:15:00 PM WEST,{ },{ok},20.7
30-Jul-25 11:30:00 PM WEST,{ },{ok},26.2
30-Jul-25 11:45:00 PM WEST,{ },{ok},22.9
31-Jul-25 12:00:01 AM WEST,{ },{ok},20.5
31-Jul-25 12:15:00 AM WEST,{ },{ok},20.7
31-Jul-25 12:30:01 AM WEST,{ },{ok},22.7
31-Jul-25 12:45:01 AM WEST,{ },{ok},17.6
31-Jul-25 1:00:01 AM WEST,{ },{ok},23.7
31-Jul-25 1:15:00 AM WEST,{ },{ok},17.5
31-Jul-25 1:30:00 AM WEST,{ },{ok},22.7
31-Jul-25 1:45:00 AM WEST,{ },{ok},25.8
31-Jul-25 2:00:00 AM WEST,{ },{ok},25.6
31-Jul-25 2:15:00 AM WEST,{ },{ok},20.3
31-Jul-25 2:30:00 AM WEST,{ },{ok},25.3
31-Jul-25 2:45:00 AM WEST,{ },{ok},24.4
31-Jul-25 3:00:01 AM WEST,{ },{ok},18.7
31-Jul-25 3:15:00 AM WEST,{ },{ok},21.3
31-Jul-25 3:30:01 AM WEST,{ },{ok},18.9
31-Jul-25 3:45:00 AM WEST,{ },{ok},21.4
31-Jul-25 4:00:00 AM WEST,{ },{ok},20.8
31-Jul-25 4:15:00 AM WEST,{ },{ok},15.3
31-Jul-25 4:30:00 AM WEST,{ },{ok},21.5
31-Jul-25 4:45:01 AM WEST,{ },{ok},20.9
31-Jul-25 5:00:00 AM WEST,{ },{ok},20.7
31-Jul-25 5:15:00 AM WEST,{ },{ok},20.0
31-Jul-25 5:30:00 AM WEST,{ },{ok},18.0
31-Jul-25 5:45:00 AM WEST,{ },{ok},20.4
31-Jul-25 6:00:00 AM WEST,{ },{ok},20.5
31-Jul-25 6:15:00 AM WEST,{ },{ok},15.0
31-Jul-25 6:30:00 AM WEST,{ },{ok},17.6
31-Jul-25 6:45:01 AM WEST,{ },{ok},20.5
31-Jul-25 7:00:00 AM WEST,{ },{ok},23.9
31-Jul-25 7:15:00 AM WEST,{ },{ok},23.5
31-Jul-25 7:30:00 AM WEST,{ },{ok},23.7
31-Jul-25 7:45:00 AM WEST,{ },{ok},20.8
31-Jul-25 8:00:00 AM WEST,{ },{ok},23.4
31-Jul-25 8:15:00 AM WEST,{ },{ok},20.1
31-Jul-25 8:30:00 AM WEST,{ },{ok},20.3
31-Jul-25 8:45:00 AM WEST,{ },{ok},21.6
31-Jul-25 9:00:00 AM WEST,{ },{ok},21.3
31-Jul-25 9:15:00 AM WEST,{ },{ok},20.9
31-Jul-25 9:30:01 AM WEST,{ },{ok},19.2
31-Jul-25 9:45:00 AM WEST,{ },{ok},19.1
31-Jul-25 10:00:00 AM WEST,{ },{ok},21.1
31-Jul-25 10:15:00 AM WEST,{ },{ok},15.8
31-Jul-25 10:30:01 AM WEST,{ },{ok},18.8
31-Jul-25 10:45:01 AM WEST,{ },{ok},21.7
31-Jul-25 11:00:00 AM WEST,{ },{ok},22.4
31-Jul-25 11:15:01 AM WEST,{ },{ok},22.7
31-Jul-25 11:30:00 AM WEST,{ },{ok},22.5
31-Jul-25 11:45:00 AM WEST,{ },{ok},19.6
31-Jul-25 12:00:00 PM WEST,{ },{ok},19.5
31-Jul-25 12:15:01 PM WEST,{ },{ok},17.0
31-Jul-25 12:30:00 PM WEST,{ },{ok},24.7
31-Jul-25 12:45:01 PM WEST,{ },{ok},25.3
31-Jul-25 1:00:00 PM WEST,{ },{ok},26.0
31-Jul-25 1:15:00 PM WEST,{ },{ok},25.9
31-Jul-25 1:30:01 PM WEST,{ },{ok},22.4
31-Jul-25 1:45:00 PM WEST,{ },{ok},22.9
31-Jul-25 2:00:00 PM WEST,{ },{ok},25.9
31-Jul-25 2:15:00 PM WEST,{ },{ok},20.2
31-Jul-25 2:30:01 PM WEST,{ },{ok},25.6
31-Jul-25 2:45:01 PM WEST,{ },{ok},25.8
31-Jul-25 3:00:00 PM WEST,{ },{ok},22.6
31-Jul-25 3:15:01 PM WEST,{ },{ok},23.3
31-Jul-25 3:30:00 PM WEST,{ },{ok},20.3
31-Jul-25 3:45:00 PM WEST,{ },{ok},23.3
31-Jul-25 4:00:00 PM WEST,{ },{ok},23.7
31-Jul-25 4:15:01 PM WEST,{ },{ok},20.8
31-Jul-25 4:30:00 PM WEST,{ },{ok},26.1
31-Jul-25 4:45:01 PM WEST,{ },{ok},24.1
