history:GTC_Multisite_Inwi/NAD-ONE ETAT MARCHE CLIM1

Timestamp,Trend Flags,Status,Value
24-Jun-25 9:51:52 AM WEST,{ },{ok},OFF
24-Jun-25 11:52:16 AM WEST,{ },{ok},ON
24-Jun-25 1:52:00 PM WEST,{ },{ok},OFF
24-Jun-25 3:50:56 PM WEST,{ },{ok},ON
24-Jun-25 5:52:54 PM WEST,{ },{ok},OFF
24-Jun-25 7:51:21 PM WEST,{ },{ok},ON
24-Jun-25 9:52:11 PM WEST,{ },{ok},OFF
24-Jun-25 11:52:01 PM WEST,{ },{ok},ON
25-Jun-25 1:51:44 AM WEST,{ },{ok},OFF
25-Jun-25 3:52:09 AM WEST,{ },{ok},ON
25-Jun-25 5:52:39 AM WEST,{ },{ok},OFF
25-Jun-25 7:50:03 AM WEST,{ },{ok},ON
25-Jun-25 9:31:42 AM WEST,{start},{ok},ON
25-Jun-25 9:51:55 AM WEST,{ },{ok},OFF
25-Jun-25 11:52:18 AM WEST,{ },{ok},ON
25-Jun-25 1:52:05 PM WEST,{ },{ok},OFF
25-Jun-25 3:50:55 PM WEST,{ },{ok},ON
25-Jun-25 5:53:04 PM WEST,{ },{ok},OFF
25-Jun-25 7:51:15 PM WEST,{ },{ok},ON
25-Jun-25 9:52:10 PM WEST,{ },{ok},OFF
25-Jun-25 11:52:08 PM WEST,{ },{ok},ON
26-Jun-25 1:51:51 AM WEST,{ },{ok},OFF
26-Jun-25 3:52:10 AM WEST,{ },{ok},ON
26-Jun-25 5:52:31 AM WEST,{ },{ok},OFF
26-Jun-25 7:50:03 AM WEST,{ },{ok},ON
26-Jun-25 9:52:00 AM WEST,{ },{ok},OFF
26-Jun-25 11:52:20 AM WEST,{ },{ok},ON
26-Jun-25 1:52:08 PM WEST,{ },{ok},OFF
26-Jun-25 3:51:00 PM WEST,{ },{ok},ON
26-Jun-25 5:52:58 PM WEST,{ },{ok},OFF
26-Jun-25 7:51:16 PM WEST,{ },{ok},ON
26-Jun-25 9:52:16 PM WEST,{ },{ok},OFF
26-Jun-25 11:51:58 PM WEST,{ },{ok},ON
27-Jun-25 1:51:49 AM WEST,{ },{ok},OFF
27-Jun-25 3:52:08 AM WEST,{ },{ok},ON
