history:GTC_Multisite_Inwi/NAD-ONE CONTACT DE PORTE

Timestamp,Trend Flags,Status,Value
04-Mar-25 10:39:17 AM WET,{start},{ok},Fermé
06-Mar-25 12:40:16 PM WET,{ },{ok},Ouvert
06-Mar-25 1:03:32 PM WET,{ },{down},Ouvert
06-Mar-25 1:13:39 PM WET,{ },{ok},Ouvert
06-Mar-25 1:13:39 PM WET,{ },{stale},Ouvert
06-Mar-25 1:13:41 PM WET,{ },{ok},Ouvert
06-Mar-25 1:18:30 PM WET,{ },{ok},Fermé
06-Mar-25 5:26:38 PM WET,{ },{down},Fermé
06-Mar-25 5:31:49 PM WET,{ },{ok},Fermé
06-Mar-25 5:31:49 PM WET,{ },{stale},Ouvert
06-Mar-25 5:31:51 PM WET,{ },{ok},Fermé
12-Mar-25 6:09:35 PM WET,{ },{down},Fermé
12-Mar-25 6:14:37 PM WET,{ },{ok},Fermé
13-Mar-25 12:28:22 PM WET,{ },{down},Fermé
13-Mar-25 12:33:28 PM WET,{ },{ok},Fermé
13-Mar-25 12:33:28 PM WET,{ },{stale},Ouvert
13-Mar-25 12:33:30 PM WET,{ },{ok},Fermé
14-Mar-25 10:23:30 AM WET,{ },{ok},Ouvert
14-Mar-25 10:48:16 AM WET,{ },{ok},Fermé
14-Mar-25 11:41:07 AM WET,{ },{ok},Ouvert
14-Mar-25 12:12:51 PM WET,{ },{ok},Fermé
14-Mar-25 1:12:19 PM WET,{ },{ok},Ouvert
14-Mar-25 2:07:48 PM WET,{ },{ok},Fermé
14-Mar-25 2:08:55 PM WET,{ },{ok},Ouvert
14-Mar-25 2:59:18 PM WET,{ },{ok},Fermé
14-Mar-25 2:59:40 PM WET,{ },{ok},Ouvert
14-Mar-25 2:59:46 PM WET,{ },{ok},Fermé
17-Mar-25 10:40:42 AM WET,{ },{ok},Ouvert
17-Mar-25 2:14:50 PM WET,{ },{ok},Fermé
18-Mar-25 10:17:21 AM WET,{ },{ok},Ouvert
18-Mar-25 10:49:20 AM WET,{ },{ok},Fermé
19-Mar-25 11:06:11 AM WET,{ },{ok},Ouvert
19-Mar-25 12:13:06 PM WET,{ },{ok},Fermé
19-Mar-25 1:41:22 PM WET,{ },{ok},Ouvert
19-Mar-25 1:42:57 PM WET,{ },{ok},Fermé
19-Mar-25 1:42:58 PM WET,{ },{ok},Ouvert
19-Mar-25 1:42:59 PM WET,{ },{ok},Fermé
23-Mar-25 4:46:44 PM WET,{ },{ok},Ouvert
23-Mar-25 4:56:57 PM WET,{ },{ok},Fermé
23-Mar-25 4:57:08 PM WET,{ },{ok},Ouvert
23-Mar-25 4:57:35 PM WET,{ },{ok},Fermé
23-Mar-25 5:06:46 PM WET,{ },{ok},Ouvert
23-Mar-25 5:11:55 PM WET,{ },{ok},Fermé
23-Mar-25 5:11:57 PM WET,{ },{ok},Ouvert
23-Mar-25 5:11:58 PM WET,{ },{ok},Fermé
26-Mar-25 12:42:38 PM WET,{ },{ok},Ouvert
26-Mar-25 12:55:06 PM WET,{ },{ok},Fermé
26-Mar-25 12:55:21 PM WET,{ },{ok},Ouvert
26-Mar-25 4:22:03 PM WET,{ },{ok},Fermé
28-Mar-25 10:52:47 AM WET,{ },{ok},Ouvert
28-Mar-25 11:07:24 AM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
10-Apr-25 3:17:31 PM WEST,{ },{down},Fermé
10-Apr-25 3:22:37 PM WEST,{ },{ok},Fermé
10-Apr-25 3:22:37 PM WEST,{ },{stale},Ouvert
10-Apr-25 3:22:39 PM WEST,{ },{ok},Fermé
10-Apr-25 3:24:14 PM WEST,{ },{ok},Ouvert
10-Apr-25 5:48:20 PM WEST,{ },{ok},Fermé
12-Apr-25 9:00:59 AM WEST,{ },{down},Fermé
12-Apr-25 9:06:05 AM WEST,{ },{ok},Fermé
12-Apr-25 9:06:05 AM WEST,{ },{stale},Ouvert
12-Apr-25 9:06:07 AM WEST,{ },{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
16-Apr-25 3:39:39 PM WEST,{ },{ok},Ouvert
16-Apr-25 3:45:32 PM WEST,{ },{ok},Fermé
17-Apr-25 3:28:14 PM WEST,{ },{ok},Ouvert
17-Apr-25 3:40:49 PM WEST,{ },{ok},Fermé
17-Apr-25 5:59:25 PM WEST,{ },{ok},Ouvert
17-Apr-25 6:03:08 PM WEST,{ },{ok},Fermé
23-Apr-25 12:10:55 PM WEST,{start},{ok},Fermé
28-Apr-25 11:34:04 AM WEST,{ },{down},Fermé
28-Apr-25 11:39:14 AM WEST,{ },{ok},Fermé
28-Apr-25 11:39:14 AM WEST,{ },{stale},Ouvert
28-Apr-25 11:39:16 AM WEST,{ },{ok},Fermé
29-Apr-25 5:58:18 PM WEST,{ },{ok},Ouvert
29-Apr-25 6:14:28 PM WEST,{ },{ok},Fermé
29-Apr-25 6:16:24 PM WEST,{ },{ok},Ouvert
29-Apr-25 6:20:35 PM WEST,{ },{ok},Fermé
06-May-25 5:47:10 PM WEST,{ },{down},Fermé
06-May-25 5:52:17 PM WEST,{ },{ok},Fermé
06-May-25 5:52:17 PM WEST,{ },{stale},Ouvert
06-May-25 5:52:19 PM WEST,{ },{ok},Fermé
07-May-25 10:43:04 AM WEST,{ },{ok},Ouvert
07-May-25 11:31:20 AM WEST,{ },{ok},Fermé
07-May-25 11:33:29 AM WEST,{ },{ok},Ouvert
07-May-25 11:42:08 AM WEST,{ },{ok},Fermé
08-May-25 10:12:27 AM WEST,{ },{ok},Ouvert
08-May-25 10:42:48 AM WEST,{ },{ok},Fermé
11-May-25 7:26:18 AM WEST,{ },{down},Fermé
11-May-25 7:31:23 AM WEST,{ },{ok},Fermé
11-May-25 7:31:24 AM WEST,{ },{stale},Ouvert
11-May-25 7:31:26 AM WEST,{ },{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
