history:GTC_Multisite_Inwi/NAD-ONE T°-EXTERIEURE

Timestamp,Trend Flags,Status,Value (°C)
30-Jul-25 5:15:02 AM WEST,{ },{ok},25.3
30-Jul-25 5:30:02 AM WEST,{ },{ok},25.2
30-Jul-25 5:45:01 AM WEST,{ },{ok},25.2
30-Jul-25 6:00:01 AM WEST,{ },{ok},25.1
30-Jul-25 6:15:01 AM WEST,{ },{ok},25.1
30-Jul-25 6:30:02 AM WEST,{ },{ok},25.1
30-Jul-25 6:45:01 AM WEST,{ },{ok},25.0
30-Jul-25 7:00:01 AM WEST,{ },{ok},25.1
30-Jul-25 7:15:01 AM WEST,{ },{ok},25.3
30-Jul-25 7:30:01 AM WEST,{ },{ok},25.6
30-Jul-25 7:45:01 AM WEST,{ },{ok},25.8
30-Jul-25 8:00:01 AM WEST,{ },{ok},26.0
30-Jul-25 8:15:01 AM WEST,{ },{ok},26.3
30-Jul-25 8:30:01 AM WEST,{ },{ok},26.8
30-Jul-25 8:45:02 AM WEST,{ },{ok},27.2
30-Jul-25 9:00:01 AM WEST,{ },{ok},27.4
30-Jul-25 9:15:01 AM WEST,{ },{ok},27.6
30-Jul-25 9:30:02 AM WEST,{ },{ok},27.7
30-Jul-25 9:45:01 AM WEST,{ },{ok},28.2
30-Jul-25 10:00:01 AM WEST,{ },{ok},28.6
30-Jul-25 10:15:01 AM WEST,{ },{ok},29.2
30-Jul-25 10:30:01 AM WEST,{ },{ok},29.8
30-Jul-25 10:45:01 AM WEST,{ },{ok},30.4
30-Jul-25 11:00:01 AM WEST,{ },{ok},30.7
30-Jul-25 11:15:01 AM WEST,{ },{ok},31.1
30-Jul-25 11:30:01 AM WEST,{ },{ok},31.7
30-Jul-25 11:45:01 AM WEST,{ },{ok},32.2
30-Jul-25 12:00:01 PM WEST,{ },{ok},32.6
30-Jul-25 12:15:02 PM WEST,{ },{ok},32.9
30-Jul-25 12:30:01 PM WEST,{ },{ok},33.2
30-Jul-25 12:45:01 PM WEST,{ },{ok},33.1
30-Jul-25 1:00:01 PM WEST,{ },{ok},33.2
30-Jul-25 1:15:02 PM WEST,{ },{ok},33.2
30-Jul-25 1:30:01 PM WEST,{ },{ok},33.4
30-Jul-25 1:45:01 PM WEST,{ },{ok},33.2
30-Jul-25 2:00:01 PM WEST,{ },{ok},32.5
30-Jul-25 2:15:01 PM WEST,{ },{ok},32.7
