history:GTC_Multisite_Inwi/OUJ-MCO Act Power Total-CLIM-A

Timestamp,Trend Flags,Status,Value (kW)
18-Sep-24 7:00:00 PM WEST,{start},{ok},4.5
18-Sep-24 7:15:00 PM WEST,{ },{ok},1.3
18-Sep-24 7:30:00 PM WEST,{ },{ok},1.3
18-Sep-24 7:45:00 PM WEST,{ },{ok},1.2
18-Sep-24 8:00:00 PM WEST,{ },{ok},4.0
18-Sep-24 8:15:00 PM WEST,{ },{ok},1.2
18-Sep-24 8:30:00 PM WEST,{ },{ok},4.3
18-Sep-24 8:45:00 PM WEST,{ },{ok},4.1
18-Sep-24 9:00:00 PM WEST,{ },{ok},1.0
18-Sep-24 9:15:01 PM WEST,{ },{ok},4.0
18-Sep-24 9:30:01 PM WEST,{ },{ok},1.0
18-Sep-24 9:45:01 PM WEST,{ },{ok},1.0
18-Sep-24 10:00:00 PM WEST,{ },{ok},4.7
18-Sep-24 10:15:00 PM WEST,{ },{ok},3.9
18-Sep-24 10:30:00 PM WEST,{ },{ok},1.0
18-Sep-24 10:45:00 PM WEST,{ },{ok},3.9
18-Sep-24 11:00:00 PM WEST,{ },{ok},1.0
18-Sep-24 11:15:00 PM WEST,{ },{ok},1.0
18-Sep-24 11:30:00 PM WEST,{ },{ok},1.0
18-Sep-24 11:45:00 PM WEST,{ },{ok},3.3
19-Sep-24 12:00:00 AM WEST,{ },{ok},4.0
19-Sep-24 12:15:00 AM WEST,{ },{ok},1.1
19-Sep-24 12:30:00 AM WEST,{ },{ok},1.0
19-Sep-24 12:45:00 AM WEST,{ },{ok},3.4
19-Sep-24 1:00:00 AM WEST,{ },{ok},3.9
19-Sep-24 1:15:01 AM WEST,{ },{ok},3.8
19-Sep-24 1:30:00 AM WEST,{ },{ok},3.9
19-Sep-24 1:45:00 AM WEST,{ },{ok},1.0
19-Sep-24 2:00:00 AM WEST,{ },{ok},1.0
19-Sep-24 2:15:00 AM WEST,{ },{ok},1.0
19-Sep-24 2:30:00 AM WEST,{ },{ok},0.9
19-Sep-24 2:45:00 AM WEST,{ },{ok},3.8
19-Sep-24 3:00:00 AM WEST,{ },{ok},0.9
19-Sep-24 3:15:01 AM WEST,{ },{ok},0.9
19-Sep-24 3:30:00 AM WEST,{ },{ok},1.0
19-Sep-24 3:45:00 AM WEST,{ },{ok},0.9
19-Sep-24 4:00:00 AM WEST,{ },{ok},3.1
19-Sep-24 4:15:00 AM WEST,{ },{ok},0.9
19-Sep-24 4:30:00 AM WEST,{ },{ok},3.7
19-Sep-24 4:45:00 AM WEST,{ },{ok},0.9
19-Sep-24 5:00:00 AM WEST,{ },{ok},0.9
19-Sep-24 5:15:00 AM WEST,{ },{ok},3.8
19-Sep-24 5:30:01 AM WEST,{ },{ok},3.6
19-Sep-24 5:45:00 AM WEST,{ },{ok},1.0
19-Sep-24 6:00:00 AM WEST,{ },{ok},0.9
19-Sep-24 6:15:00 AM WEST,{ },{ok},3.7
19-Sep-24 6:30:00 AM WEST,{ },{ok},3.6
19-Sep-24 6:45:00 AM WEST,{ },{ok},0.9
19-Sep-24 7:00:00 AM WEST,{ },{ok},1.0
19-Sep-24 7:15:01 AM WEST,{ },{ok},3.6
19-Sep-24 7:30:00 AM WEST,{ },{ok},3.8
19-Sep-24 7:45:00 AM WEST,{ },{ok},0.9
19-Sep-24 8:00:00 AM WEST,{ },{ok},0.9
19-Sep-24 8:15:00 AM WEST,{ },{ok},1.0
19-Sep-24 8:30:00 AM WEST,{ },{ok},3.9
19-Sep-24 8:45:00 AM WEST,{ },{ok},1.7
19-Sep-24 9:00:00 AM WEST,{ },{ok},0.9
19-Sep-24 9:15:01 AM WEST,{ },{ok},3.8
19-Sep-24 9:30:00 AM WEST,{ },{ok},0.9
19-Sep-24 9:45:01 AM WEST,{ },{down},0.9
19-Sep-24 10:00:00 AM WEST,{ },{ok},3.9
19-Sep-24 10:15:00 AM WEST,{ },{ok},1.2
19-Sep-24 10:30:00 AM WEST,{ },{ok},3.9
19-Sep-24 10:45:00 AM WEST,{ },{ok},1.0
19-Sep-24 11:00:01 AM WEST,{ },{ok},1.1
19-Sep-24 11:15:00 AM WEST,{ },{ok},0.9
19-Sep-24 11:30:00 AM WEST,{ },{ok},1.0
19-Sep-24 11:45:00 AM WEST,{ },{ok},5.2
19-Sep-24 12:00:00 PM WEST,{ },{ok},0.9
19-Sep-24 12:15:00 PM WEST,{ },{ok},0.9
19-Sep-24 12:30:01 PM WEST,{ },{ok},0.8
19-Sep-24 12:45:00 PM WEST,{ },{ok},1.0
19-Sep-24 1:00:00 PM WEST,{ },{ok},1.0
19-Sep-24 1:15:00 PM WEST,{ },{ok},1.0
19-Sep-24 1:30:00 PM WEST,{ },{ok},1.2
19-Sep-24 1:45:00 PM WEST,{ },{ok},3.6
19-Sep-24 2:00:00 PM WEST,{ },{ok},3.7
19-Sep-24 2:15:00 PM WEST,{ },{ok},4.0
19-Sep-24 2:30:00 PM WEST,{ },{ok},3.9
19-Sep-24 2:45:01 PM WEST,{ },{ok},3.9
19-Sep-24 3:00:00 PM WEST,{ },{ok},1.1
19-Sep-24 3:15:00 PM WEST,{ },{ok},1.2
19-Sep-24 3:30:00 PM WEST,{ },{ok},1.2
19-Sep-24 3:45:01 PM WEST,{ },{ok},1.1
19-Sep-24 4:00:00 PM WEST,{ },{ok},1.3
19-Sep-24 4:15:00 PM WEST,{ },{ok},4.5
19-Sep-24 4:30:00 PM WEST,{ },{ok},1.1
19-Sep-24 4:45:01 PM WEST,{ },{ok},1.2
19-Sep-24 5:00:00 PM WEST,{ },{ok},4.2
19-Sep-24 5:15:00 PM WEST,{ },{ok},1.2
19-Sep-24 5:30:00 PM WEST,{ },{ok},4.6
19-Sep-24 5:45:00 PM WEST,{ },{ok},1.3
19-Sep-24 6:00:00 PM WEST,{ },{ok},1.3
19-Sep-24 6:15:00 PM WEST,{ },{ok},1.3
19-Sep-24 6:30:00 PM WEST,{ },{ok},1.3
19-Sep-24 6:45:00 PM WEST,{ },{ok},1.2
19-Sep-24 7:00:00 PM WEST,{ },{ok},1.2
19-Sep-24 7:15:00 PM WEST,{ },{ok},4.3
19-Sep-24 7:30:00 PM WEST,{ },{ok},1.2
19-Sep-24 7:45:00 PM WEST,{ },{ok},4.2
19-Sep-24 8:00:01 PM WEST,{ },{ok},1.2
19-Sep-24 8:15:00 PM WEST,{ },{ok},4.1
19-Sep-24 8:30:01 PM WEST,{ },{ok},1.2
19-Sep-24 8:45:00 PM WEST,{ },{ok},1.0
19-Sep-24 9:00:00 PM WEST,{ },{ok},0.8
19-Sep-24 9:15:00 PM WEST,{ },{ok},1.0
19-Sep-24 9:30:00 PM WEST,{ },{ok},3.7
19-Sep-24 9:45:00 PM WEST,{ },{ok},1.0
19-Sep-24 10:00:00 PM WEST,{ },{ok},3.4
19-Sep-24 10:15:00 PM WEST,{ },{ok},1.0
19-Sep-24 10:30:00 PM WEST,{ },{ok},4.5
19-Sep-24 10:45:01 PM WEST,{start},{ok},1.0
19-Sep-24 11:00:00 PM WEST,{ },{ok},1.0
19-Sep-24 11:15:00 PM WEST,{ },{ok},1.0
19-Sep-24 11:30:00 PM WEST,{ },{ok},3.6
19-Sep-24 11:45:00 PM WEST,{ },{ok},0.9
20-Sep-24 12:00:00 AM WEST,{ },{ok},1.0
20-Sep-24 12:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 12:30:00 AM WEST,{ },{ok},1.0
20-Sep-24 12:45:00 AM WEST,{ },{ok},3.8
20-Sep-24 1:00:00 AM WEST,{ },{ok},1.0
20-Sep-24 1:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 1:30:00 AM WEST,{ },{ok},3.7
20-Sep-24 1:45:00 AM WEST,{ },{ok},1.0
20-Sep-24 2:00:00 AM WEST,{ },{ok},3.7
20-Sep-24 2:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 2:30:00 AM WEST,{ },{ok},0.9
20-Sep-24 2:45:00 AM WEST,{ },{ok},1.0
20-Sep-24 3:00:00 AM WEST,{ },{ok},3.6
20-Sep-24 3:15:00 AM WEST,{ },{ok},1.1
20-Sep-24 3:30:00 AM WEST,{ },{ok},1.1
20-Sep-24 3:45:01 AM WEST,{ },{ok},0.9
20-Sep-24 4:00:00 AM WEST,{ },{ok},0.9
20-Sep-24 4:15:00 AM WEST,{ },{ok},0.8
20-Sep-24 4:30:00 AM WEST,{ },{ok},0.9
20-Sep-24 4:45:00 AM WEST,{ },{ok},3.5
20-Sep-24 5:00:00 AM WEST,{ },{ok},0.8
20-Sep-24 5:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 5:30:00 AM WEST,{ },{ok},0.9
20-Sep-24 5:45:00 AM WEST,{ },{ok},3.7
20-Sep-24 6:00:00 AM WEST,{ },{ok},3.4
20-Sep-24 6:15:01 AM WEST,{ },{ok},1.0
20-Sep-24 6:30:00 AM WEST,{ },{ok},0.9
20-Sep-24 6:45:00 AM WEST,{ },{ok},3.6
20-Sep-24 7:00:00 AM WEST,{ },{ok},0.9
20-Sep-24 7:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 7:30:00 AM WEST,{ },{ok},0.9
20-Sep-24 7:45:01 AM WEST,{ },{ok},0.8
20-Sep-24 8:00:01 AM WEST,{ },{ok},1.0
20-Sep-24 8:15:00 AM WEST,{ },{ok},1.0
20-Sep-24 8:30:00 AM WEST,{ },{ok},1.0
20-Sep-24 8:45:00 AM WEST,{ },{ok},3.8
20-Sep-24 9:00:00 AM WEST,{ },{ok},1.0
20-Sep-24 9:15:00 AM WEST,{ },{ok},1.1
20-Sep-24 9:30:00 AM WEST,{ },{ok},1.0
20-Sep-24 9:45:00 AM WEST,{ },{ok},1.1
20-Sep-24 10:00:00 AM WEST,{ },{ok},1.1
20-Sep-24 10:15:00 AM WEST,{ },{ok},1.1
20-Sep-24 10:30:01 AM WEST,{ },{ok},4.5
20-Sep-24 10:45:00 AM WEST,{ },{ok},2.8
20-Sep-24 11:00:00 AM WEST,{ },{ok},1.2
20-Sep-24 11:15:00 AM WEST,{ },{ok},4.4
20-Sep-24 11:30:00 AM WEST,{ },{ok},4.4
20-Sep-24 11:45:00 AM WEST,{ },{ok},1.2
20-Sep-24 12:00:00 PM WEST,{ },{ok},1.2
20-Sep-24 12:15:00 PM WEST,{ },{ok},1.2
20-Sep-24 12:30:00 PM WEST,{ },{ok},1.2
20-Sep-24 12:45:00 PM WEST,{ },{ok},1.2
20-Sep-24 1:00:00 PM WEST,{ },{ok},4.6
