history:GTC_Multisite_Inwi/OUJ-ONE Active Power Arrivé

Timestamp,Trend Flags,Status,Value (kW)
26-May-25 10:15:00 AM WEST,{start},"{down,stale}",0.0
26-May-25 10:30:03 AM WEST,{ },"{down,stale}",0.0
26-May-25 10:45:01 AM WEST,{ },"{down,stale}",0.0
26-May-25 11:00:02 AM WEST,{ },"{down,stale}",0.0
26-May-25 11:15:02 AM WEST,{ },"{down,stale}",0.0
26-May-25 11:30:01 AM WEST,{ },"{down,stale}",0.0
26-May-25 11:45:00 AM WEST,{ },"{down,stale}",0.0
26-May-25 12:00:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 12:15:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 12:30:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 12:45:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 1:00:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 1:15:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 1:30:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 1:45:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 2:00:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 2:15:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 2:30:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 2:45:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 3:00:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 3:15:02 PM WEST,{ },"{down,stale}",0.0
26-May-25 3:30:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 3:45:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 4:00:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 4:15:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 4:30:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 4:45:01 PM WEST,{ },"{down,stale}",0.0
26-May-25 5:00:01 PM WEST,{ },"{down,stale}",0.0
