history:GTC_Multisite_Inwi/OUJ-ONE T°c Exterieur

Timestamp,Trend Flags,Status,Value (°C)
07-Jan-25 11:15:01 AM WEST,{start},{ok},11.6
07-Jan-25 11:30:00 AM WEST,{ },{ok},11.7
07-Jan-25 11:45:01 AM WEST,{ },{ok},12.1
07-Jan-25 12:00:01 PM WEST,{ },{ok},12.6
07-Jan-25 12:15:01 PM WEST,{ },{ok},13.0
07-Jan-25 12:30:00 PM WEST,{ },{ok},13.4
07-Jan-25 12:45:01 PM WEST,{ },{ok},13.8
07-Jan-25 1:00:01 PM WEST,{ },{ok},14.3
07-Jan-25 1:15:01 PM WEST,{ },{ok},14.9
07-Jan-25 1:30:01 PM WEST,{ },{ok},15.7
07-Jan-25 1:45:01 PM WEST,{ },{ok},16.2
07-Jan-25 2:00:01 PM WEST,{ },{ok},16.4
07-Jan-25 2:15:00 PM WEST,{ },{ok},16.6
07-Jan-25 2:30:01 PM WEST,{ },{ok},16.8
07-Jan-25 2:45:01 PM WEST,{ },{ok},16.9
07-Jan-25 3:00:01 PM WEST,{ },{ok},17.1
07-Jan-25 3:15:01 PM WEST,{ },{ok},17.1
07-Jan-25 3:30:02 PM WEST,{ },{ok},17.5
07-Jan-25 3:45:01 PM WEST,{ },{ok},17.8
07-Jan-25 4:00:01 PM WEST,{ },{ok},17.8
07-Jan-25 4:15:01 PM WEST,{ },{ok},18.0
07-Jan-25 4:30:01 PM WEST,{ },{ok},18.1
07-Jan-25 4:45:01 PM WEST,{ },{ok},17.9
07-Jan-25 5:00:01 PM WEST,{ },{ok},17.8
07-Jan-25 5:15:01 PM WEST,{ },{ok},16.8
07-Jan-25 5:30:01 PM WEST,{ },{ok},15.8
07-Jan-25 5:45:00 PM WEST,{ },{ok},15.3
07-Jan-25 6:00:01 PM WEST,{ },{ok},15.0
07-Jan-25 6:15:00 PM WEST,{ },{ok},14.7
07-Jan-25 6:30:02 PM WEST,{ },{ok},14.4
07-Jan-25 6:45:01 PM WEST,{ },{ok},14.1
07-Jan-25 7:00:01 PM WEST,{ },{ok},13.9
07-Jan-25 7:15:01 PM WEST,{ },{ok},13.6
07-Jan-25 7:30:01 PM WEST,{ },{ok},13.3
07-Jan-25 7:45:01 PM WEST,{ },{ok},13.0
07-Jan-25 8:00:01 PM WEST,{ },{ok},12.6
07-Jan-25 8:15:01 PM WEST,{ },{ok},12.4
07-Jan-25 8:30:01 PM WEST,{ },{ok},12.2
07-Jan-25 8:45:01 PM WEST,{ },{ok},12.0
07-Jan-25 9:00:01 PM WEST,{ },{ok},11.9
07-Jan-25 9:15:01 PM WEST,{ },{ok},11.6
07-Jan-25 9:30:01 PM WEST,{ },{ok},11.3
07-Jan-25 9:45:01 PM WEST,{ },{ok},11.0
07-Jan-25 10:00:01 PM WEST,{ },{ok},10.7
07-Jan-25 10:15:01 PM WEST,{ },{ok},10.6
07-Jan-25 10:30:01 PM WEST,{ },{ok},10.4
07-Jan-25 10:45:01 PM WEST,{ },{ok},10.4
07-Jan-25 11:00:01 PM WEST,{ },{ok},10.3
07-Jan-25 11:15:01 PM WEST,{ },{ok},10.3
07-Jan-25 11:30:01 PM WEST,{ },{ok},10.3
07-Jan-25 11:45:01 PM WEST,{ },{ok},10.1
08-Jan-25 12:00:01 AM WEST,{ },{ok},9.9
08-Jan-25 12:15:00 AM WEST,{ },{ok},9.9
08-Jan-25 12:30:02 AM WEST,{ },{ok},9.7
08-Jan-25 12:45:02 AM WEST,{ },{ok},9.6
08-Jan-25 1:00:01 AM WEST,{ },{ok},9.4
08-Jan-25 1:15:01 AM WEST,{ },{ok},9.1
08-Jan-25 1:30:01 AM WEST,{ },{ok},9.2
08-Jan-25 1:45:01 AM WEST,{ },{ok},9.3
08-Jan-25 2:00:01 AM WEST,{ },{ok},9.5
08-Jan-25 2:15:01 AM WEST,{ },{ok},9.4
08-Jan-25 2:30:01 AM WEST,{ },{ok},9.4
08-Jan-25 2:45:01 AM WEST,{ },{ok},9.4
08-Jan-25 3:00:01 AM WEST,{ },{ok},9.5
08-Jan-25 3:15:00 AM WEST,{ },{ok},9.9
08-Jan-25 3:30:01 AM WEST,{ },{ok},10.0
08-Jan-25 3:45:01 AM WEST,{ },{ok},10.1
08-Jan-25 4:00:00 AM WEST,{ },{ok},10.0
08-Jan-25 4:15:01 AM WEST,{ },{ok},9.9
08-Jan-25 4:30:01 AM WEST,{ },{ok},9.8
08-Jan-25 4:45:01 AM WEST,{ },{ok},9.8
08-Jan-25 5:00:01 AM WEST,{ },{ok},9.7
08-Jan-25 5:15:01 AM WEST,{ },{ok},9.7
08-Jan-25 5:30:00 AM WEST,{ },{ok},9.6
08-Jan-25 5:45:01 AM WEST,{ },{ok},9.4
08-Jan-25 6:00:01 AM WEST,{ },{ok},9.2
08-Jan-25 6:15:01 AM WEST,{ },{ok},8.9
