history:GTC_Multisite_Inwi/KEN-MCO Etat Marche Split 6

Timestamp,Trend Flags,Status,Value
29-Jan-25 5:23:24 PM WEST,{start},{ok},ON
29-Jan-25 7:25:03 PM WEST,{ },{ok},OFF
29-Jan-25 11:22:49 PM WEST,{ },{ok},ON
30-Jan-25 3:22:53 AM WEST,{ },{ok},OFF
30-Jan-25 7:23:16 AM WEST,{ },{ok},ON
30-Jan-25 11:25:11 AM WEST,{ },{ok},OFF
30-Jan-25 2:54:24 PM WEST,{ },{ok},ON
30-Jan-25 7:25:59 PM WEST,{ },{ok},OFF
30-Jan-25 10:07:54 PM WEST,{start},{ok},OFF
30-Jan-25 11:22:56 PM WEST,{ },{ok},ON
31-Jan-25 3:24:22 AM WEST,{ },{ok},OFF
31-Jan-25 7:23:04 AM WEST,{ },{ok},ON
31-Jan-25 11:23:36 AM WEST,{ },{ok},OFF
31-Jan-25 2:54:11 PM WEST,{ },{ok},ON
31-Jan-25 7:24:51 PM WEST,{ },{ok},OFF
31-Jan-25 11:23:10 PM WEST,{ },{ok},ON
01-Feb-25 3:25:17 AM WEST,{ },{ok},OFF
01-Feb-25 7:23:08 AM WEST,{ },{ok},ON
01-Feb-25 11:25:21 AM WEST,{ },{ok},OFF
01-Feb-25 2:53:42 PM WEST,{ },{ok},ON
01-Feb-25 7:23:27 PM WEST,{ },{ok},OFF
01-Feb-25 11:22:59 PM WEST,{ },{ok},ON
02-Feb-25 3:24:11 AM WEST,{ },{ok},OFF
02-Feb-25 7:23:24 AM WEST,{ },{ok},ON
02-Feb-25 11:26:18 AM WEST,{ },{ok},OFF
02-Feb-25 2:53:48 PM WEST,{ },{ok},ON
02-Feb-25 7:25:01 PM WEST,{ },{ok},OFF
02-Feb-25 11:22:40 PM WEST,{ },{ok},ON
03-Feb-25 3:22:43 AM WEST,{ },{ok},OFF
03-Feb-25 7:23:11 AM WEST,{ },{ok},ON
03-Feb-25 11:25:14 AM WEST,{ },{ok},OFF
03-Feb-25 2:54:17 PM WEST,{ },{ok},ON
03-Feb-25 7:25:58 PM WEST,{ },{ok},OFF
03-Feb-25 11:22:45 PM WEST,{ },{ok},ON
04-Feb-25 3:24:20 AM WEST,{ },{ok},OFF
04-Feb-25 7:22:57 AM WEST,{ },{ok},ON
04-Feb-25 11:23:33 AM WEST,{ },{ok},OFF
04-Feb-25 2:54:05 PM WEST,{ },{ok},ON
04-Feb-25 7:24:51 PM WEST,{ },{ok},OFF
04-Feb-25 11:23:04 PM WEST,{ },{ok},ON
05-Feb-25 3:25:13 AM WEST,{ },{ok},OFF
