history:GTC_Multisite_Inwi/KEN-MCO Etat de PORTE

Timestamp,Trend Flags,Status,Value
12-Dec-24 4:38:26 PM WEST,{start},{ok},Fermé
12-Dec-24 5:19:15 PM WEST,{ },{ok},Ouvert
12-Dec-24 5:19:19 PM WEST,{ },{ok},Fermé
12-Dec-24 5:23:57 PM WEST,{ },{ok},Ouvert
12-Dec-24 5:24:01 PM WEST,{ },{ok},Fermé
12-Dec-24 6:07:15 PM WEST,{ },{ok},Ouvert
12-Dec-24 6:07:18 PM WEST,{ },{ok},Fermé
12-Dec-24 6:35:54 PM WEST,{ },{ok},Ouvert
12-Dec-24 6:35:57 PM WEST,{ },{ok},Fermé
12-Dec-24 6:38:34 PM WEST,{ },{ok},Ouvert
12-Dec-24 6:38:38 PM WEST,{ },{ok},Fermé
13-Dec-24 6:12:29 AM WEST,{ },{ok},Ouvert
13-Dec-24 6:31:02 AM WEST,{ },{ok},Fermé
13-Dec-24 6:32:20 AM WEST,{ },{ok},Ouvert
13-Dec-24 6:37:17 AM WEST,{ },{ok},Fermé
13-Dec-24 6:40:31 AM WEST,{ },{ok},Ouvert
13-Dec-24 6:40:38 AM WEST,{ },{ok},Fermé
13-Dec-24 7:18:45 AM WEST,{ },{ok},Ouvert
13-Dec-24 7:24:34 AM WEST,{ },{ok},Fermé
13-Dec-24 11:03:34 AM WEST,{ },{ok},Ouvert
13-Dec-24 11:03:37 AM WEST,{ },{ok},Fermé
13-Dec-24 1:36:17 PM WEST,{ },{ok},Ouvert
13-Dec-24 1:42:34 PM WEST,{ },{ok},Fermé
13-Dec-24 3:00:04 PM WEST,{ },{ok},Ouvert
13-Dec-24 3:05:27 PM WEST,{ },{ok},Fermé
13-Dec-24 3:48:36 PM WEST,{ },{ok},Ouvert
13-Dec-24 3:48:46 PM WEST,{ },{ok},Fermé
13-Dec-24 4:07:10 PM WEST,{ },{ok},Ouvert
13-Dec-24 4:07:16 PM WEST,{ },{ok},Fermé
13-Dec-24 4:08:22 PM WEST,{ },{ok},Ouvert
13-Dec-24 4:13:13 PM WEST,{ },{ok},Fermé
13-Dec-24 5:59:32 PM WEST,{ },{ok},Ouvert
13-Dec-24 5:59:47 PM WEST,{ },{ok},Fermé
13-Dec-24 6:15:57 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:16:05 PM WEST,{ },{ok},Fermé
13-Dec-24 6:16:42 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:16:47 PM WEST,{ },{ok},Fermé
13-Dec-24 6:27:50 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:27:55 PM WEST,{ },{ok},Fermé
13-Dec-24 6:27:57 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:28:04 PM WEST,{ },{ok},Fermé
13-Dec-24 6:33:26 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:33:31 PM WEST,{ },{ok},Fermé
13-Dec-24 6:33:32 PM WEST,{ },{ok},Ouvert
13-Dec-24 6:33:34 PM WEST,{ },{ok},Fermé
14-Dec-24 6:25:59 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:26:08 AM WEST,{ },{ok},Fermé
14-Dec-24 6:33:56 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:34:12 AM WEST,{ },{ok},Fermé
14-Dec-24 6:40:47 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:40:48 AM WEST,{ },{ok},Fermé
14-Dec-24 6:41:23 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:41:26 AM WEST,{ },{ok},Fermé
14-Dec-24 6:41:31 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:41:32 AM WEST,{ },{ok},Fermé
14-Dec-24 6:41:57 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:41:58 AM WEST,{ },{ok},Fermé
14-Dec-24 6:50:18 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:50:29 AM WEST,{ },{ok},Fermé
14-Dec-24 6:56:34 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:56:37 AM WEST,{ },{ok},Fermé
14-Dec-24 6:56:38 AM WEST,{ },{ok},Ouvert
14-Dec-24 6:56:39 AM WEST,{ },{ok},Fermé
14-Dec-24 7:08:16 AM WEST,{ },{ok},Ouvert
14-Dec-24 7:08:23 AM WEST,{ },{ok},Fermé
14-Dec-24 7:16:16 AM WEST,{ },{ok},Ouvert
14-Dec-24 7:16:21 AM WEST,{ },{ok},Fermé
14-Dec-24 7:16:24 AM WEST,{ },{ok},Ouvert
14-Dec-24 7:16:29 AM WEST,{ },{ok},Fermé
14-Dec-24 9:03:36 AM WEST,{ },{ok},Ouvert
14-Dec-24 9:03:37 AM WEST,{ },{ok},Fermé
14-Dec-24 9:21:40 AM WEST,{ },{ok},Ouvert
14-Dec-24 9:21:44 AM WEST,{ },{ok},Fermé
14-Dec-24 10:16:11 AM WEST,{ },{ok},Ouvert
14-Dec-24 10:16:16 AM WEST,{ },{ok},Fermé
14-Dec-24 10:16:17 AM WEST,{ },{ok},Ouvert
14-Dec-24 10:16:18 AM WEST,{ },{ok},Fermé
14-Dec-24 10:21:38 AM WEST,{ },{ok},Ouvert
14-Dec-24 10:21:42 AM WEST,{ },{ok},Fermé
14-Dec-24 10:21:43 AM WEST,{ },{ok},Ouvert
14-Dec-24 10:21:48 AM WEST,{ },{ok},Fermé
14-Dec-24 10:55:34 AM WEST,{ },{ok},Ouvert
14-Dec-24 10:55:40 AM WEST,{ },{ok},Fermé
14-Dec-24 11:07:59 AM WEST,{ },{ok},Ouvert
14-Dec-24 11:08:03 AM WEST,{ },{ok},Fermé
14-Dec-24 11:08:05 AM WEST,{ },{ok},Ouvert
14-Dec-24 11:08:08 AM WEST,{ },{ok},Fermé
14-Dec-24 11:21:15 AM WEST,{ },{ok},Ouvert
14-Dec-24 11:21:16 AM WEST,{ },{ok},Fermé
14-Dec-24 11:21:43 AM WEST,{ },{ok},Ouvert
14-Dec-24 11:21:48 AM WEST,{ },{ok},Fermé
14-Dec-24 12:55:15 PM WEST,{ },{ok},Ouvert
14-Dec-24 12:55:16 PM WEST,{ },{ok},Fermé
14-Dec-24 1:20:36 PM WEST,{ },{ok},Ouvert
