history:GTC_Multisite_Inwi/KEN_ONE Température Extérieur

Timestamp,Trend Flags,Status,Value (°C)
05-Jul-25 8:15:00 AM WEST,{ },{ok},24.4
05-Jul-25 8:30:01 AM WEST,{ },{ok},24.5
05-Jul-25 8:45:00 AM WEST,{ },{ok},24.8
05-Jul-25 9:00:00 AM WEST,{ },{ok},25.1
05-Jul-25 9:15:00 AM WEST,{ },{ok},25.5
05-Jul-25 9:30:01 AM WEST,{ },{ok},26.2
05-Jul-25 9:45:01 AM WEST,{ },{ok},26.2
05-Jul-25 10:00:00 AM WEST,{ },{ok},26.1
05-Jul-25 10:15:00 AM WEST,{ },{ok},26.3
05-Jul-25 10:30:00 AM WEST,{ },{ok},26.6
05-Jul-25 10:45:01 AM WEST,{ },{ok},27.0
05-Jul-25 11:00:00 AM WEST,{ },{ok},27.4
05-Jul-25 11:15:00 AM WEST,{ },{ok},27.7
05-Jul-25 11:30:01 AM WEST,{ },{ok},27.9
05-Jul-25 11:45:01 AM WEST,{ },{ok},28.2
05-Jul-25 12:00:00 PM WEST,{ },{ok},28.3
05-Jul-25 12:15:01 PM WEST,{ },{ok},28.4
05-Jul-25 12:30:01 PM WEST,{ },{ok},28.6
05-Jul-25 12:45:00 PM WEST,{ },{ok},28.9
05-Jul-25 1:00:00 PM WEST,{ },{ok},29.1
05-Jul-25 1:15:00 PM WEST,{ },{ok},29.6
05-Jul-25 1:30:00 PM WEST,{ },{ok},30.2
05-Jul-25 1:45:00 PM WEST,{ },{ok},30.5
05-Jul-25 2:00:00 PM WEST,{ },{ok},30.8
05-Jul-25 2:15:00 PM WEST,{ },{ok},30.8
05-Jul-25 2:30:01 PM WEST,{ },{ok},31.2
05-Jul-25 2:45:00 PM WEST,{ },{ok},31.6
05-Jul-25 3:00:00 PM WEST,{ },{ok},31.7
05-Jul-25 3:15:00 PM WEST,{ },{ok},31.9
05-Jul-25 3:30:00 PM WEST,{ },{ok},32.2
05-Jul-25 3:45:01 PM WEST,{ },{ok},32.0
05-Jul-25 4:00:01 PM WEST,{ },{ok},32.0
05-Jul-25 4:15:01 PM WEST,{ },{ok},32.2
05-Jul-25 4:30:01 PM WEST,{ },{ok},32.2
05-Jul-25 4:45:01 PM WEST,{ },{ok},32.2
05-Jul-25 5:00:01 PM WEST,{ },{ok},32.3
05-Jul-25 5:15:01 PM WEST,{ },{ok},32.4
05-Jul-25 5:30:00 PM WEST,{ },{ok},32.2
05-Jul-25 5:45:00 PM WEST,{ },{ok},32.1
05-Jul-25 6:00:00 PM WEST,{ },{ok},32.2
05-Jul-25 6:15:00 PM WEST,{ },{ok},32.1
05-Jul-25 6:30:00 PM WEST,{ },{ok},31.7
05-Jul-25 6:45:00 PM WEST,{ },{ok},31.4
05-Jul-25 7:00:01 PM WEST,{ },{ok},31.2
05-Jul-25 7:15:00 PM WEST,{ },{ok},31.1
05-Jul-25 7:30:00 PM WEST,{ },{ok},30.9
05-Jul-25 7:45:00 PM WEST,{ },{ok},30.2
05-Jul-25 8:00:00 PM WEST,{ },{ok},29.4
05-Jul-25 8:15:00 PM WEST,{ },{ok},28.0
05-Jul-25 8:30:00 PM WEST,{ },{ok},27.1
05-Jul-25 8:45:00 PM WEST,{ },{ok},26.5
05-Jul-25 9:00:00 PM WEST,{ },{ok},26.0
05-Jul-25 9:15:00 PM WEST,{ },{ok},25.7
05-Jul-25 9:30:00 PM WEST,{ },{ok},25.3
05-Jul-25 9:45:01 PM WEST,{ },{ok},25.1
05-Jul-25 10:00:02 PM WEST,{ },{ok},24.8
05-Jul-25 10:15:00 PM WEST,{ },{ok},24.7
05-Jul-25 10:30:00 PM WEST,{ },{ok},24.5
05-Jul-25 10:45:01 PM WEST,{ },{ok},24.3
05-Jul-25 11:00:00 PM WEST,{ },{ok},24.1
05-Jul-25 11:15:00 PM WEST,{ },{ok},24.1
05-Jul-25 11:30:01 PM WEST,{ },{ok},24.0
05-Jul-25 11:45:01 PM WEST,{ },{ok},24.0
06-Jul-25 12:00:00 AM WEST,{ },{ok},23.9
06-Jul-25 12:15:00 AM WEST,{ },{ok},23.8
06-Jul-25 12:30:00 AM WEST,{ },{ok},23.7
06-Jul-25 12:45:00 AM WEST,{ },{ok},23.7
06-Jul-25 1:00:00 AM WEST,{ },{ok},23.7
06-Jul-25 1:15:00 AM WEST,{ },{ok},23.7
06-Jul-25 1:30:01 AM WEST,{ },{ok},23.7
06-Jul-25 1:45:00 AM WEST,{ },{ok},23.8
06-Jul-25 2:00:00 AM WEST,{ },{ok},23.8
06-Jul-25 2:15:00 AM WEST,{ },{ok},23.7
06-Jul-25 2:30:01 AM WEST,{ },{ok},23.6
06-Jul-25 2:45:00 AM WEST,{ },{ok},23.6
06-Jul-25 3:00:00 AM WEST,{ },{ok},23.6
06-Jul-25 3:15:00 AM WEST,{ },{ok},23.5
06-Jul-25 3:30:00 AM WEST,{ },{ok},23.3
06-Jul-25 3:45:00 AM WEST,{ },{ok},23.1
06-Jul-25 4:00:00 AM WEST,{ },{ok},23.0
06-Jul-25 4:15:00 AM WEST,{ },{ok},22.7
06-Jul-25 4:30:00 AM WEST,{ },{ok},22.5
06-Jul-25 4:45:00 AM WEST,{ },{ok},22.6
06-Jul-25 5:00:00 AM WEST,{ },{ok},22.6
06-Jul-25 5:15:00 AM WEST,{ },{ok},22.7
