history:GTC_Multisite_Inwi/RAB-MCO OF-DJ-CLIM-4

Timestamp,Trend Flags,Status,Value
31-Jan-25 2:09:00 PM WEST,{start},"{alarm,unackedAlarm}",ON
04-Feb-25 12:52:44 PM WEST,{ },{alarm},ON
06-Feb-25 10:56:08 AM WEST,{ },"{down,alarm}",ON
06-Feb-25 11:01:11 AM WEST,{ },{alarm},ON
11-Feb-25 11:37:28 AM WEST,{start},{alarm},ON
12-Feb-25 2:26:00 AM WEST,{ },"{down,alarm}",ON
12-Feb-25 2:54:17 AM WEST,{ },{alarm},ON
13-Feb-25 11:50:16 AM WEST,{ },{unackedAlarm},OFF
13-Feb-25 3:38:42 PM WEST,{start},{unackedAlarm},OFF
13-Feb-25 4:42:35 PM WEST,{start},{unackedAlarm},OFF
14-Feb-25 9:28:33 AM WEST,{start},{unackedAlarm},OFF
20-Feb-25 8:58:50 AM WEST,{start},{unackedAlarm},OFF
20-Feb-25 9:00:32 AM WEST,{start},{unackedAlarm},OFF
26-Feb-25 2:16:38 AM WET,{ },"{down,unackedAlarm}",OFF
26-Feb-25 2:21:44 AM WET,{ },{unackedAlarm},OFF
28-Feb-25 1:52:54 AM WET,{ },"{down,unackedAlarm}",OFF
28-Feb-25 1:57:55 AM WET,{ },{unackedAlarm},OFF
12-Mar-25 11:52:59 AM WET,{ },"{down,unackedAlarm}",OFF
12-Mar-25 12:03:24 PM WET,{ },{unackedAlarm},OFF
12-Mar-25 1:39:45 PM WET,{ },"{alarm,unackedAlarm}",ON
20-Mar-25 10:36:33 AM WET,{ },"{down,alarm,unackedAlarm}",ON
20-Mar-25 11:35:16 AM WET,{ },"{alarm,unackedAlarm}",ON
20-Mar-25 11:35:16 AM WET,{ },"{alarm,stale,unackedAlarm}",OFF
20-Mar-25 11:35:18 AM WET,{ },"{alarm,unackedAlarm}",ON
20-Mar-25 12:09:50 PM WET,{ },"{down,alarm,unackedAlarm}",ON
20-Mar-25 12:14:50 PM WET,{ },"{alarm,unackedAlarm}",ON
20-Mar-25 12:14:50 PM WET,{ },"{alarm,stale,unackedAlarm}",OFF
20-Mar-25 12:14:52 PM WET,{ },"{alarm,unackedAlarm}",ON
09-Apr-25 4:23:38 PM WEST,{start},"{alarm,unackedAlarm}",ON
13-Apr-25 8:05:42 PM WEST,{start},"{alarm,unackedAlarm}",ON
23-Apr-25 12:10:54 PM WEST,{start},"{alarm,unackedAlarm}",ON
28-Apr-25 10:23:43 PM WEST,{ },{alarm},ON
20-May-25 9:01:32 AM WEST,{start},{alarm},ON
29-May-25 6:15:23 PM WEST,{ },{unackedAlarm},OFF
29-May-25 6:15:33 PM WEST,{ },"{alarm,unackedAlarm}",ON
29-May-25 6:29:23 PM WEST,{ },{unackedAlarm},OFF
29-May-25 8:02:03 PM WEST,{ },"{alarm,unackedAlarm}",ON
30-May-25 11:52:54 AM WEST,{ },{unackedAlarm},ON
12-Jun-25 11:10:52 AM WEST,{start},{unackedAlarm},ON
12-Jun-25 11:10:54 AM WEST,{ },"{alarm,unackedAlarm}",OFF
12-Jun-25 12:16:54 PM WEST,{start},"{alarm,unackedAlarm}",OFF
12-Jun-25 12:26:50 PM WEST,{start},"{alarm,unackedAlarm}",OFF
12-Jun-25 12:29:23 PM WEST,{start},"{alarm,unackedAlarm}",OFF
14-Jun-25 4:36:28 PM WEST,{ },{unackedAlarm},ON
14-Jun-25 4:36:38 PM WEST,{ },"{alarm,unackedAlarm}",OFF
14-Jun-25 4:36:57 PM WEST,{ },{unackedAlarm},ON
14-Jun-25 4:38:08 PM WEST,{ },"{alarm,unackedAlarm}",OFF
14-Jun-25 5:04:18 PM WEST,{ },{unackedAlarm},ON
19-Jun-25 1:01:55 PM WEST,{ },"{down,unackedAlarm}",ON
