history:GTC_Multisite_Inwi/RAB-MCO Active Power Total Arrive

Timestamp,Trend Flags,Status,Value (kW)
28-Apr-25 10:00:01 PM WEST,{start},{ok},57.2
28-Apr-25 10:15:01 PM WEST,{ },{ok},52.2
28-Apr-25 10:30:01 PM WEST,{ },{ok},58.2
28-Apr-25 10:45:01 PM WEST,{ },{ok},57.6
28-Apr-25 11:00:01 PM WEST,{ },{ok},58.5
28-Apr-25 11:15:02 PM WEST,{ },{ok},52.0
28-Apr-25 11:30:02 PM WEST,{ },{ok},57.6
28-Apr-25 11:45:01 PM WEST,{ },{ok},51.8
29-Apr-25 12:00:01 AM WEST,{ },{ok},51.4
29-Apr-25 12:15:01 AM WEST,{ },{ok},51.8
29-Apr-25 12:30:00 AM WEST,{ },{ok},52.9
29-Apr-25 12:45:01 AM WEST,{ },{ok},57.6
29-Apr-25 1:00:01 AM WEST,{ },{ok},58.2
29-Apr-25 1:15:01 AM WEST,{ },{ok},62.6
29-Apr-25 1:30:01 AM WEST,{ },{ok},51.8
29-Apr-25 1:45:01 AM WEST,{ },{ok},56.4
29-Apr-25 2:00:01 AM WEST,{ },{ok},51.8
29-Apr-25 2:15:01 AM WEST,{ },{ok},56.8
29-Apr-25 2:30:01 AM WEST,{ },{ok},51.2
29-Apr-25 2:45:01 AM WEST,{ },{ok},57.1
29-Apr-25 3:00:01 AM WEST,{ },{ok},57.4
29-Apr-25 3:15:01 AM WEST,{ },{ok},62.6
29-Apr-25 3:30:01 AM WEST,{ },{ok},52.3
29-Apr-25 3:45:01 AM WEST,{ },{ok},57.1
29-Apr-25 4:00:01 AM WEST,{ },{ok},52.3
29-Apr-25 4:15:01 AM WEST,{ },{ok},52.3
29-Apr-25 4:30:02 AM WEST,{ },{ok},52.7
29-Apr-25 4:45:01 AM WEST,{ },{ok},51.9
29-Apr-25 5:00:01 AM WEST,{ },{ok},52.4
29-Apr-25 5:15:01 AM WEST,{ },{ok},57.4
29-Apr-25 5:30:01 AM WEST,{ },{ok},57.1
