history:GTC_Multisite_Inwi/RAB-ONE Contact de Porte

Timestamp,Trend Flags,Status,Value
12-Dec-24 11:53:45 AM WEST,{start},{ok},Fermé
22-Dec-24 8:36:09 PM WEST,{ },{down},Fermé
22-Dec-24 8:56:22 PM WEST,{ },{ok},Fermé
29-Dec-24 5:43:38 PM WEST,{ },{down},Fermé
29-Dec-24 5:48:39 PM WEST,{ },{ok},Fermé
17-Jan-25 1:05:49 PM WEST,{start},{ok},Fermé
28-Jan-25 4:53:16 PM WEST,{start},{ok},Fermé
29-Jan-25 9:27:30 AM WEST,{start},{ok},Fermé
30-Jan-25 8:32:35 AM WEST,{ },{down},Fermé
30-Jan-25 8:37:39 AM WEST,{ },{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
10-Feb-25 10:32:55 AM WEST,{ },{ok},Ouvert
10-Feb-25 10:35:54 AM WEST,{ },{ok},Fermé
10-Feb-25 10:35:58 AM WEST,{ },{ok},Ouvert
10-Feb-25 10:36:03 AM WEST,{ },{ok},Fermé
10-Feb-25 10:36:07 AM WEST,{ },{ok},Ouvert
10-Feb-25 1:54:40 PM WEST,{ },{ok},Fermé
10-Feb-25 1:54:41 PM WEST,{ },{ok},Ouvert
10-Feb-25 1:54:42 PM WEST,{ },{ok},Fermé
10-Feb-25 1:54:46 PM WEST,{ },{ok},Ouvert
10-Feb-25 5:04:01 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:28 AM WEST,{start},{ok},Fermé
11-Feb-25 11:37:30 AM WEST,{ },{ok},Ouvert
11-Feb-25 12:30:05 PM WEST,{ },{down},Ouvert
11-Feb-25 12:35:08 PM WEST,{ },{ok},Ouvert
11-Feb-25 12:38:40 PM WEST,{ },{ok},Fermé
11-Feb-25 12:38:42 PM WEST,{ },{ok},Ouvert
11-Feb-25 12:38:43 PM WEST,{ },{ok},Fermé
11-Feb-25 12:39:26 PM WEST,{ },{ok},Ouvert
11-Feb-25 2:41:00 PM WEST,{ },{ok},Fermé
11-Feb-25 2:41:01 PM WEST,{ },{ok},Ouvert
11-Feb-25 2:41:27 PM WEST,{ },{ok},Fermé
12-Feb-25 2:26:00 AM WEST,{ },{down},Fermé
12-Feb-25 2:53:47 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:50 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
26-Feb-25 2:16:35 AM WET,{ },{down},Fermé
26-Feb-25 2:21:41 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:56 AM WET,{ },{down},Fermé
28-Feb-25 1:57:58 AM WET,{ },{ok},Fermé
28-Feb-25 8:36:31 PM WET,{ },{down},Fermé
28-Feb-25 8:41:32 PM WET,{ },{ok},Fermé
11-Mar-25 11:53:40 AM WET,{ },{ok},Ouvert
11-Mar-25 12:31:42 PM WET,{ },{ok},Fermé
11-Mar-25 12:32:39 PM WET,{ },{ok},Ouvert
11-Mar-25 12:32:42 PM WET,{ },{ok},Fermé
12-Mar-25 12:20:22 PM WET,{ },{ok},Ouvert
12-Mar-25 1:28:01 PM WET,{ },{ok},Fermé
12-Mar-25 1:47:15 PM WET,{ },{ok},Ouvert
12-Mar-25 1:47:36 PM WET,{ },{ok},Fermé
12-Mar-25 3:08:56 PM WET,{ },{ok},Ouvert
12-Mar-25 3:51:36 PM WET,{ },{ok},Fermé
12-Mar-25 10:46:11 PM WET,{ },{down},Fermé
12-Mar-25 10:51:12 PM WET,{ },{ok},Fermé
19-Mar-25 11:21:39 AM WET,{ },{ok},Ouvert
19-Mar-25 11:54:21 AM WET,{ },{ok},Fermé
19-Mar-25 1:48:09 PM WET,{ },{ok},Ouvert
19-Mar-25 1:52:14 PM WET,{ },{ok},Fermé
24-Mar-25 2:06:05 PM WET,{ },{ok},Ouvert
24-Mar-25 4:25:24 PM WET,{ },{ok},Fermé
25-Mar-25 10:50:21 AM WET,{ },{ok},Ouvert
25-Mar-25 10:59:27 AM WET,{ },{ok},Fermé
25-Mar-25 11:52:28 AM WET,{ },{ok},Ouvert
25-Mar-25 1:49:21 PM WET,{ },{ok},Fermé
04-Apr-25 12:37:31 PM WET,{ },{ok},Ouvert
04-Apr-25 12:47:53 PM WET,{ },{down},Ouvert
04-Apr-25 2:23:45 PM WET,{ },{ok},Ouvert
04-Apr-25 2:23:45 PM WET,{ },{stale},Ouvert
04-Apr-25 2:23:47 PM WET,{ },{ok},Ouvert
04-Apr-25 2:35:46 PM WET,{ },{down},Ouvert
04-Apr-25 2:46:26 PM WET,{ },{ok},Ouvert
04-Apr-25 4:01:19 PM WET,{ },{ok},Fermé
04-Apr-25 4:01:21 PM WET,{ },{ok},Ouvert
