history:GTC_Multisite_Inwi/SIDI_SLIMANE_ONCF T°_AMBIANTE

Timestamp,Trend Flags,Status,Value (°C)
31-Jan-25 11:15:01 PM WEST,{start},{ok},13.8
31-Jan-25 11:30:00 PM WEST,{ },{ok},14.1
31-Jan-25 11:45:00 PM WEST,{ },{ok},14.4
01-Feb-25 12:00:01 AM WEST,{ },{ok},14.5
01-Feb-25 12:15:00 AM WEST,{ },{ok},14.4
01-Feb-25 12:30:01 AM WEST,{ },{ok},14.1
01-Feb-25 12:45:02 AM WEST,{ },{ok},13.8
01-Feb-25 1:00:02 AM WEST,{ },{ok},13.4
01-Feb-25 1:15:02 AM WEST,{ },{ok},13.1
01-Feb-25 1:30:02 AM WEST,{ },{ok},13.1
01-Feb-25 1:45:01 AM WEST,{ },{ok},13.1
01-Feb-25 2:00:02 AM WEST,{ },{ok},13.2
01-Feb-25 2:15:01 AM WEST,{ },{ok},13.4
01-Feb-25 2:30:01 AM WEST,{ },{ok},13.6
01-Feb-25 2:45:02 AM WEST,{ },{ok},13.7
01-Feb-25 3:00:01 AM WEST,{ },{ok},13.8
01-Feb-25 3:15:01 AM WEST,{ },{ok},13.9
01-Feb-25 3:30:01 AM WEST,{ },{ok},14.0
01-Feb-25 3:45:01 AM WEST,{ },{ok},14.1
01-Feb-25 4:00:00 AM WEST,{ },{ok},14.1
01-Feb-25 4:15:01 AM WEST,{ },{ok},14.1
01-Feb-25 4:30:01 AM WEST,{ },{ok},14.1
01-Feb-25 4:45:01 AM WEST,{ },{ok},14.0
01-Feb-25 5:00:01 AM WEST,{ },{ok},14.0
01-Feb-25 5:15:01 AM WEST,{ },{ok},13.6
01-Feb-25 5:30:00 AM WEST,{ },{ok},11.0
01-Feb-25 5:45:01 AM WEST,{ },{ok},13.7
01-Feb-25 6:00:01 AM WEST,{ },{ok},13.9
01-Feb-25 6:15:00 AM WEST,{ },{ok},13.1
01-Feb-25 6:30:01 AM WEST,{ },{ok},12.5
01-Feb-25 6:45:00 AM WEST,{ },{ok},13.1
