history:GTC_Multisite_Inwi/Etat de la Porte FAR_ONE

Timestamp,Trend Flags,Status,Value
30-Jan-25 4:30:48 PM WEST,{start},{unackedAlarm},Fermé
30-Jan-25 4:42:11 PM WEST,{ },{ok},Fermé
30-Jan-25 10:07:54 PM WEST,{start},{ok},Fermé
04-Feb-25 12:15:07 AM WEST,{ },{ok},Ouvert
04-Feb-25 12:15:31 AM WEST,{ },{ok},Fermé
04-Feb-25 1:25:30 AM WEST,{ },{ok},Ouvert
04-Feb-25 1:25:41 AM WEST,{ },{ok},Fermé
05-Feb-25 10:44:20 AM WEST,{ },{ok},Ouvert
05-Feb-25 12:24:25 PM WEST,{ },{ok},Fermé
05-Feb-25 12:24:39 PM WEST,{ },{ok},Ouvert
05-Feb-25 12:24:41 PM WEST,{ },{ok},Fermé
11-Feb-25 11:37:27 AM WEST,{start},{ok},Fermé
12-Feb-25 2:26:04 AM WEST,{ },{down},Fermé
12-Feb-25 2:54:12 AM WEST,{ },{ok},Fermé
13-Feb-25 3:38:42 PM WEST,{start},{ok},Fermé
13-Feb-25 4:42:35 PM WEST,{start},{ok},Fermé
14-Feb-25 9:28:33 AM WEST,{start},{ok},Fermé
20-Feb-25 8:58:51 AM WEST,{start},{ok},Fermé
20-Feb-25 9:00:32 AM WEST,{start},{ok},Fermé
20-Feb-25 10:26:57 AM WEST,{ },{ok},Ouvert
20-Feb-25 1:47:25 PM WEST,{ },{ok},Fermé
20-Feb-25 2:01:06 PM WEST,{ },{ok},Ouvert
20-Feb-25 2:54:11 PM WEST,{ },{ok},Fermé
20-Feb-25 2:54:32 PM WEST,{ },{ok},Ouvert
20-Feb-25 3:05:21 PM WEST,{ },{ok},Fermé
25-Feb-25 12:40:04 AM WET,{ },{ok},Ouvert
25-Feb-25 1:20:29 AM WET,{ },{ok},Fermé
25-Feb-25 10:53:30 AM WET,{ },{ok},Ouvert
25-Feb-25 11:39:55 AM WET,{ },{ok},Fermé
25-Feb-25 11:40:03 AM WET,{ },{ok},Ouvert
25-Feb-25 11:40:30 AM WET,{ },{ok},Fermé
26-Feb-25 2:16:37 AM WET,{ },{down},Fermé
26-Feb-25 2:21:43 AM WET,{ },{ok},Fermé
28-Feb-25 1:52:54 AM WET,{ },{down},Fermé
28-Feb-25 1:58:00 AM WET,{ },{ok},Fermé
09-Apr-25 4:23:38 PM WEST,{start},{ok},Fermé
13-Apr-25 8:05:42 PM WEST,{start},{ok},Fermé
16-Apr-25 10:39:41 AM WEST,{ },{ok},Ouvert
16-Apr-25 10:40:09 AM WEST,{ },{ok},Fermé
16-Apr-25 10:45:54 AM WEST,{ },{ok},Ouvert
16-Apr-25 10:45:58 AM WEST,{ },{ok},Fermé
16-Apr-25 10:47:29 AM WEST,{ },{ok},Ouvert
16-Apr-25 10:47:35 AM WEST,{ },{ok},Fermé
23-Apr-25 12:10:54 PM WEST,{start},{ok},Fermé
30-Apr-25 12:58:11 AM WEST,{ },{ok},Ouvert
30-Apr-25 1:01:38 AM WEST,{ },{ok},Fermé
30-Apr-25 1:02:27 AM WEST,{ },{ok},Ouvert
30-Apr-25 1:04:01 AM WEST,{ },{ok},Fermé
30-Apr-25 1:05:56 AM WEST,{ },{ok},Ouvert
30-Apr-25 1:06:17 AM WEST,{ },{ok},Fermé
30-Apr-25 1:12:12 AM WEST,{ },{ok},Ouvert
30-Apr-25 1:12:19 AM WEST,{ },{ok},Fermé
30-Apr-25 1:15:26 AM WEST,{ },{ok},Ouvert
30-Apr-25 1:15:59 AM WEST,{ },{ok},Fermé
05-May-25 12:26:31 PM WEST,{ },{ok},Ouvert
05-May-25 12:36:42 PM WEST,{ },{ok},Fermé
07-May-25 12:58:43 AM WEST,{ },{ok},Ouvert
07-May-25 3:35:30 AM WEST,{ },{ok},Fermé
08-May-25 2:40:47 PM WEST,{ },{ok},Ouvert
08-May-25 2:56:25 PM WEST,{ },{ok},Fermé
20-May-25 9:01:32 AM WEST,{start},{ok},Fermé
21-May-25 11:38:48 AM WEST,{ },{ok},Ouvert
21-May-25 12:23:44 PM WEST,{ },{ok},Fermé
22-May-25 10:01:05 AM WEST,{ },{ok},Ouvert
22-May-25 10:30:52 AM WEST,{ },{ok},Fermé
22-May-25 11:26:21 AM WEST,{ },{ok},Ouvert
22-May-25 11:26:44 AM WEST,{ },{ok},Fermé
22-May-25 11:54:03 AM WEST,{ },{ok},Ouvert
22-May-25 11:57:03 AM WEST,{ },{ok},Fermé
22-May-25 2:31:52 PM WEST,{ },{ok},Ouvert
22-May-25 6:38:59 PM WEST,{ },{down},Ouvert
22-May-25 8:31:15 PM WEST,{ },{ok},Ouvert
22-May-25 9:02:01 PM WEST,{ },{ok},Fermé
22-May-25 10:30:30 PM WEST,{ },{down},Fermé
22-May-25 10:46:18 PM WEST,{ },{ok},Fermé
26-May-25 1:50:57 PM WEST,{ },{ok},Ouvert
26-May-25 2:40:02 PM WEST,{ },{ok},Fermé
27-May-25 2:02:05 PM WEST,{ },{down},Fermé
27-May-25 2:07:07 PM WEST,{ },{ok},Fermé
12-Jun-25 11:10:52 AM WEST,{start},{ok},Fermé
12-Jun-25 12:16:54 PM WEST,{start},{ok},Fermé
12-Jun-25 12:26:50 PM WEST,{start},{ok},Fermé
12-Jun-25 12:29:23 PM WEST,{start},{ok},Fermé
19-Jun-25 1:01:54 PM WEST,{ },{down},Fermé
23-Jun-25 11:46:07 AM WEST,{start},"{down,stale}",Ouvert
23-Jun-25 11:49:58 AM WEST,{ },{stale},Ouvert
23-Jun-25 11:49:58 AM WEST,{ },{ok},Fermé
25-Jun-25 9:31:43 AM WEST,{start},{ok},Fermé
01-Jul-25 12:17:02 AM WEST,{ },{ok},Ouvert
01-Jul-25 12:40:52 AM WEST,{ },{ok},Fermé
02-Jul-25 12:29:13 PM WEST,{start},{ok},Fermé
08-Jul-25 12:15:30 PM WEST,{ },{ok},Ouvert
