history:GTC_Multisite_Inwi/Température Ambiante FAR_ONE

Timestamp,Trend Flags,Status,Value (°C)
30-Jan-25 4:45:01 PM WEST,{start},{unackedAlarm},20.7
30-Jan-25 5:00:01 PM WEST,{ },{unackedAlarm},20.5
30-Jan-25 5:15:00 PM WEST,{ },{unackedAlarm},20.8
30-Jan-25 5:30:00 PM WEST,{ },{unackedAlarm},21.0
30-Jan-25 5:45:01 PM WEST,{ },{unackedAlarm},20.7
30-Jan-25 6:00:01 PM WEST,{ },{unackedAlarm},21.4
30-Jan-25 6:15:01 PM WEST,{ },{unackedAlarm},20.8
30-Jan-25 6:30:02 PM WEST,{ },{unackedAlarm},21.6
30-Jan-25 6:45:01 PM WEST,{ },{unackedAlarm},23.7
30-Jan-25 7:00:01 PM WEST,{ },{unackedAlarm},24.1
30-Jan-25 7:15:00 PM WEST,{ },{unackedAlarm},24.0
30-Jan-25 7:30:00 PM WEST,{ },{unackedAlarm},24.0
30-Jan-25 7:45:00 PM WEST,{ },{unackedAlarm},24.2
30-Jan-25 8:00:00 PM WEST,{ },{unackedAlarm},23.6
30-Jan-25 8:15:00 PM WEST,{ },{unackedAlarm},21.5
30-Jan-25 8:30:00 PM WEST,{ },{unackedAlarm},20.9
30-Jan-25 8:45:00 PM WEST,{ },{unackedAlarm},21.1
30-Jan-25 9:00:00 PM WEST,{ },{unackedAlarm},20.8
30-Jan-25 9:15:01 PM WEST,{ },{unackedAlarm},21.2
30-Jan-25 9:30:01 PM WEST,{ },{unackedAlarm},20.8
30-Jan-25 9:45:00 PM WEST,{ },{unackedAlarm},21.1
30-Jan-25 10:15:00 PM WEST,{start},{unackedAlarm},22.9
30-Jan-25 10:30:01 PM WEST,{ },{unackedAlarm},23.4
30-Jan-25 10:45:01 PM WEST,{ },{unackedAlarm},23.6
30-Jan-25 11:00:01 PM WEST,{ },{unackedAlarm},22.9
30-Jan-25 11:15:02 PM WEST,{ },{unackedAlarm},20.9
30-Jan-25 11:30:01 PM WEST,{ },{unackedAlarm},20.6
30-Jan-25 11:45:01 PM WEST,{ },{unackedAlarm},20.9
31-Jan-25 12:00:00 AM WEST,{ },{unackedAlarm},20.2
31-Jan-25 12:15:00 AM WEST,{ },{unackedAlarm},20.5
31-Jan-25 12:30:00 AM WEST,{ },{unackedAlarm},21.5
31-Jan-25 12:45:01 AM WEST,{ },{unackedAlarm},22.4
31-Jan-25 1:00:01 AM WEST,{ },{unackedAlarm},23.2
31-Jan-25 1:15:01 AM WEST,{ },{unackedAlarm},23.4
31-Jan-25 1:30:00 AM WEST,{ },{unackedAlarm},23.5
31-Jan-25 1:45:01 AM WEST,{ },{unackedAlarm},23.5
31-Jan-25 2:00:01 AM WEST,{ },{unackedAlarm},22.4
31-Jan-25 2:15:01 AM WEST,{ },{unackedAlarm},20.4
31-Jan-25 2:30:00 AM WEST,{ },{unackedAlarm},20.3
31-Jan-25 2:45:01 AM WEST,{ },{unackedAlarm},20.9
31-Jan-25 3:00:01 AM WEST,{ },{unackedAlarm},20.0
31-Jan-25 3:15:00 AM WEST,{ },{unackedAlarm},20.0
