history:GTC_Multisite_Inwi/LAR_MCO Contact Porte

Timestamp,Trend Flags,Status,Value
01-Feb-25 7:18:39 PM WEST,{start},{ok},Fermé
01-Feb-25 7:35:13 PM WEST,{ },{ok},Ouvert
01-Feb-25 7:35:19 PM WEST,{ },{ok},Fermé
01-Feb-25 7:56:26 PM WEST,{ },{ok},Ouvert
01-Feb-25 7:56:33 PM WEST,{ },{ok},Fermé
01-Feb-25 8:47:49 PM WEST,{ },{ok},Ouvert
01-Feb-25 8:47:53 PM WEST,{ },{ok},Fermé
01-Feb-25 8:53:14 PM WEST,{ },{ok},Ouvert
01-Feb-25 8:53:17 PM WEST,{ },{ok},Fermé
01-Feb-25 8:53:35 PM WEST,{ },{ok},Ouvert
01-Feb-25 8:53:39 PM WEST,{ },{ok},Fermé
01-Feb-25 9:58:31 PM WEST,{ },{ok},Ouvert
01-Feb-25 9:58:36 PM WEST,{ },{ok},Fermé
01-Feb-25 10:48:11 PM WEST,{ },{ok},Ouvert
01-Feb-25 10:48:16 PM WEST,{ },{ok},Fermé
01-Feb-25 11:04:41 PM WEST,{ },{ok},Ouvert
01-Feb-25 11:04:49 PM WEST,{ },{ok},Fermé
01-Feb-25 11:15:14 PM WEST,{ },{ok},Ouvert
01-Feb-25 11:15:20 PM WEST,{ },{ok},Fermé
02-Feb-25 6:46:25 AM WEST,{ },{ok},Ouvert
02-Feb-25 6:46:30 AM WEST,{ },{ok},Fermé
02-Feb-25 6:58:59 AM WEST,{ },{ok},Ouvert
02-Feb-25 6:59:06 AM WEST,{ },{ok},Fermé
02-Feb-25 11:14:36 AM WEST,{ },{ok},Ouvert
02-Feb-25 11:14:41 AM WEST,{ },{ok},Fermé
02-Feb-25 11:19:12 AM WEST,{ },{ok},Ouvert
02-Feb-25 11:21:30 AM WEST,{ },{ok},Fermé
02-Feb-25 11:27:29 AM WEST,{ },{ok},Ouvert
02-Feb-25 11:27:33 AM WEST,{ },{ok},Fermé
02-Feb-25 1:07:37 PM WEST,{ },{ok},Ouvert
02-Feb-25 1:07:41 PM WEST,{ },{ok},Fermé
02-Feb-25 1:21:42 PM WEST,{ },{ok},Ouvert
02-Feb-25 1:21:47 PM WEST,{ },{ok},Fermé
02-Feb-25 1:40:23 PM WEST,{ },{ok},Ouvert
02-Feb-25 1:40:30 PM WEST,{ },{ok},Fermé
02-Feb-25 1:52:54 PM WEST,{ },{ok},Ouvert
02-Feb-25 1:52:58 PM WEST,{ },{ok},Fermé
02-Feb-25 3:36:54 PM WEST,{ },{ok},Ouvert
02-Feb-25 3:37:06 PM WEST,{ },{ok},Fermé
02-Feb-25 4:04:07 PM WEST,{ },{ok},Ouvert
02-Feb-25 4:04:30 PM WEST,{ },{ok},Fermé
02-Feb-25 4:23:30 PM WEST,{ },{ok},Ouvert
02-Feb-25 4:23:35 PM WEST,{ },{ok},Fermé
02-Feb-25 4:26:26 PM WEST,{ },{ok},Ouvert
02-Feb-25 4:26:31 PM WEST,{ },{ok},Fermé
02-Feb-25 4:34:11 PM WEST,{ },{ok},Ouvert
02-Feb-25 4:34:15 PM WEST,{ },{ok},Fermé
02-Feb-25 7:36:15 PM WEST,{ },{ok},Ouvert
02-Feb-25 7:36:34 PM WEST,{ },{ok},Fermé
02-Feb-25 7:56:47 PM WEST,{ },{ok},Ouvert
02-Feb-25 7:56:58 PM WEST,{ },{ok},Fermé
02-Feb-25 8:58:58 PM WEST,{ },{ok},Ouvert
02-Feb-25 9:01:28 PM WEST,{ },{ok},Fermé
02-Feb-25 11:14:16 PM WEST,{ },{ok},Ouvert
02-Feb-25 11:18:19 PM WEST,{ },{ok},Fermé
02-Feb-25 11:21:54 PM WEST,{ },{ok},Ouvert
02-Feb-25 11:21:57 PM WEST,{ },{ok},Fermé
02-Feb-25 11:30:39 PM WEST,{ },{ok},Ouvert
02-Feb-25 11:30:48 PM WEST,{ },{ok},Fermé
03-Feb-25 10:49:06 AM WEST,{ },{ok},Ouvert
03-Feb-25 10:49:18 AM WEST,{ },{ok},Fermé
03-Feb-25 11:01:35 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:01:40 AM WEST,{ },{ok},Fermé
03-Feb-25 11:15:40 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:15:47 AM WEST,{ },{ok},Fermé
03-Feb-25 11:23:19 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:23:23 AM WEST,{ },{ok},Fermé
03-Feb-25 11:31:51 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:32:00 AM WEST,{ },{ok},Fermé
03-Feb-25 11:37:09 AM WEST,{ },{ok},Ouvert
03-Feb-25 11:37:19 AM WEST,{ },{ok},Fermé
03-Feb-25 3:47:35 PM WEST,{ },{ok},Ouvert
03-Feb-25 3:47:42 PM WEST,{ },{ok},Fermé
03-Feb-25 3:54:18 PM WEST,{ },{ok},Ouvert
03-Feb-25 3:54:26 PM WEST,{ },{ok},Fermé
03-Feb-25 6:54:48 PM WEST,{ },{ok},Ouvert
03-Feb-25 6:54:57 PM WEST,{ },{ok},Fermé
03-Feb-25 10:00:02 PM WEST,{ },{ok},Ouvert
03-Feb-25 10:02:16 PM WEST,{ },{ok},Fermé
04-Feb-25 10:55:09 AM WEST,{ },{ok},Ouvert
04-Feb-25 10:58:40 AM WEST,{ },{ok},Fermé
04-Feb-25 11:17:15 AM WEST,{ },{ok},Ouvert
04-Feb-25 11:17:23 AM WEST,{ },{ok},Fermé
04-Feb-25 11:34:45 AM WEST,{ },{ok},Ouvert
04-Feb-25 11:35:01 AM WEST,{ },{ok},Fermé
04-Feb-25 11:38:03 AM WEST,{ },{ok},Ouvert
04-Feb-25 11:38:09 AM WEST,{ },{ok},Fermé
04-Feb-25 12:02:55 PM WEST,{ },{ok},Ouvert
04-Feb-25 12:07:40 PM WEST,{ },{ok},Fermé
04-Feb-25 1:15:19 PM WEST,{ },{ok},Ouvert
04-Feb-25 1:15:26 PM WEST,{ },{ok},Fermé
04-Feb-25 1:28:22 PM WEST,{ },{ok},Ouvert
04-Feb-25 1:28:28 PM WEST,{ },{ok},Fermé
04-Feb-25 3:27:22 PM WEST,{ },{ok},Ouvert
04-Feb-25 3:32:13 PM WEST,{ },{ok},Fermé
04-Feb-25 4:15:23 PM WEST,{ },{ok},Ouvert
04-Feb-25 4:15:29 PM WEST,{ },{ok},Fermé
04-Feb-25 4:25:23 PM WEST,{ },{ok},Ouvert
04-Feb-25 4:25:29 PM WEST,{ },{ok},Fermé
04-Feb-25 6:59:01 PM WEST,{ },{ok},Ouvert
04-Feb-25 6:59:06 PM WEST,{ },{ok},Fermé
04-Feb-25 7:07:39 PM WEST,{ },{ok},Ouvert
04-Feb-25 7:07:44 PM WEST,{ },{ok},Fermé
04-Feb-25 9:18:38 PM WEST,{ },{ok},Ouvert
04-Feb-25 9:18:41 PM WEST,{ },{ok},Fermé
04-Feb-25 9:24:42 PM WEST,{ },{ok},Ouvert
04-Feb-25 9:24:47 PM WEST,{ },{ok},Fermé
04-Feb-25 9:31:27 PM WEST,{ },{ok},Ouvert
04-Feb-25 9:31:30 PM WEST,{ },{ok},Fermé
04-Feb-25 9:42:24 PM WEST,{ },{ok},Ouvert
04-Feb-25 9:42:31 PM WEST,{ },{ok},Fermé
05-Feb-25 7:00:30 AM WEST,{ },{ok},Ouvert
05-Feb-25 7:12:49 AM WEST,{ },{ok},Fermé
05-Feb-25 10:41:59 AM WEST,{ },{ok},Ouvert
05-Feb-25 10:42:03 AM WEST,{ },{ok},Fermé
05-Feb-25 10:47:29 AM WEST,{ },{ok},Ouvert
05-Feb-25 10:47:36 AM WEST,{ },{ok},Fermé
05-Feb-25 11:25:41 AM WEST,{ },{ok},Ouvert
05-Feb-25 11:25:46 AM WEST,{ },{ok},Fermé
05-Feb-25 11:37:15 AM WEST,{ },{ok},Ouvert
05-Feb-25 11:37:25 AM WEST,{ },{ok},Fermé
05-Feb-25 12:42:18 PM WEST,{ },{ok},Ouvert
05-Feb-25 12:44:19 PM WEST,{ },{ok},Fermé
05-Feb-25 2:05:09 PM WEST,{ },{ok},Ouvert
05-Feb-25 2:59:38 PM WEST,{ },{ok},Fermé
05-Feb-25 3:01:30 PM WEST,{ },{ok},Ouvert
05-Feb-25 3:03:08 PM WEST,{ },{ok},Fermé
05-Feb-25 4:04:18 PM WEST,{ },{ok},Ouvert
05-Feb-25 4:04:52 PM WEST,{ },{ok},Fermé
05-Feb-25 4:09:30 PM WEST,{ },{ok},Ouvert
05-Feb-25 4:10:45 PM WEST,{ },{ok},Fermé
05-Feb-25 4:16:13 PM WEST,{ },{ok},Ouvert
05-Feb-25 4:16:22 PM WEST,{ },{ok},Fermé
05-Feb-25 4:21:51 PM WEST,{ },{ok},Ouvert
05-Feb-25 4:21:57 PM WEST,{ },{ok},Fermé
05-Feb-25 6:13:56 PM WEST,{ },{ok},Ouvert
05-Feb-25 6:16:29 PM WEST,{ },{ok},Fermé
05-Feb-25 7:11:06 PM WEST,{ },{ok},Ouvert
05-Feb-25 7:11:18 PM WEST,{ },{ok},Fermé
05-Feb-25 11:18:41 PM WEST,{ },{ok},Ouvert
05-Feb-25 11:18:48 PM WEST,{ },{ok},Fermé
06-Feb-25 1:27:24 AM WEST,{ },{ok},Ouvert
06-Feb-25 1:27:33 AM WEST,{ },{ok},Fermé
06-Feb-25 1:31:23 AM WEST,{ },{ok},Ouvert
06-Feb-25 1:31:31 AM WEST,{ },{ok},Fermé
06-Feb-25 9:51:12 AM WEST,{ },{ok},Ouvert
06-Feb-25 9:54:12 AM WEST,{ },{ok},Fermé
06-Feb-25 11:22:02 AM WEST,{ },{ok},Ouvert
06-Feb-25 11:22:12 AM WEST,{ },{ok},Fermé
06-Feb-25 11:29:33 AM WEST,{ },{ok},Ouvert
06-Feb-25 11:29:41 AM WEST,{ },{ok},Fermé
